Row,Hypodermis,Gonad,Glia,Pharynx,Body_wall_muscle,Neurons
BIO0001_I,0,0,0,0,0,0
BIO0001_X,0.486287822,0.486288413,0.48628843,0.486288399,0.48628843,0.486288413
BIO0002_I,0,0,0,0,0,0
BIO0002_X,1.699665089,1.699667448,1.914056717,1.699667024,1.699667146,1.933003452
BIO0003_I,0,0,0,0,0,0
BIO0003_X,0.079662316,0.079662413,0.079662411,0.079662406,0.079662411,0.079662408
BIO0004_I,0,0,0,0,0,0
BIO0004_X,0.006869748,0.006869748,0,0,0,0
BIO0005_I,0.012757841,-0.007426006,-0.008754065,0.223252636,0.258701395,0.031399125
BIO0005_X,-0.028995291,-0.022573994,-0.036722057,-0.247621599,-0.289880368,-0.058608628
BIO0006_I,0.021959399,0.065143794,0.057586144,0.019044467,-0.007795163,0.056503851
BIO0006_X,0.09452472,0.059388527,0.037805963,0.097439692,0.104279329,0.038888253
BIO0007_I,0.01,0.01,0.01,0.01,0.01,0.01
BIO0007_X,0.000673353,0.010673366,0.010673358,0.020673358,0.020673358,0.010673358
BIO0008_I,0,0,0,0,0,0
BIO0008_X,0.05478178,0.054781846,0.054781806,0.054781803,0.054781806,0.054781804
BIO0009_I,0,0,0,0,0,0
BIO0009_X,0.024745434,0.024745464,0.024745264,0.024745266,0.024745267,0.024745266
BIO0010_I,0,0,0,0,0,0
BIO0010_X,0.360261947,0.360262382,0.359127377,0.359127377,0.359127377,0.359127377
BIO0011_I,-0.007084799,0.012434888,0.049073215,-0.006453531,-0.021133874,0.018251925
BIO0011_X,0.05683528,0.037315642,-0.009322715,0.056204029,0.060884374,0.021498574
BIO0012_I,0.004252614,6.82E-13,-0.002918022,6.82E-13,6.82E-13,0.00E+00
BIO0012_X,-0.009665097,-0.01,-0.012240686,-0.008122988,-0.010392991,-0.009069834
BIO0013_I,0.004252614,-0.003713003,-0.002918022,0.111626318,0.129350698,0.015699562
BIO0013_X,-0.009665097,-0.006286997,-0.012240686,-0.119749306,-0.139743688,-0.024769397
BIO0014_I,-9.09E-13,-9.09E-13,-9.09E-13,-9.09E-13,0,0.00E+00
BIO0014_X,0.010673353,0.010673366,0.010673358,0.010673358,0.010673358,0.010673358
BIO0015_I,0,0,0,0,0,0
BIO0015_X,3.60E-05,3.60E-05,3.59E-05,3.59E-05,3.59E-05,3.59E-05
BIO0100_I,0,0,0,0,0,0
BIO0100_X,0,0,0,0.007113551,0.007113374,0
BIO0101_I,0,0,0,0,0,0
BIO0101_X,0.001134571,0.001135005,0.041908865,0.352013826,0.352013975,0.013969622
BIO0102_I,0,0,0,0,0,0
BIO0102_X,0,0,0,0,0,0
BIO0103_I,0,0,0,0,0,0
BIO0103_X,0.359127377,0.359126939,0,0,0,0
BIO0104_I,0,0,0,0,0,0
BIO0104_X,0,0,7.11E-03,0,2.72E-08,0.007113483
BIO0105_I,0,0,0,0,0,0
BIO0105_X,0,4.37E-07,0,0,0,0
BIO0106_I,0,0,0,0,0,0
BIO0106_X,0,0,0.31010511,0,0,0.338044272
BIO0107_I,0,0,0,0,0,0
BIO0107_X,0,0,0,0,0,0
DGR0001_I,4.104971153,4.788327352,6.804348177,3.99648491,4.759617727,4.41887526
DGR0002_I,0.518329084,0.604615536,0.916478575,0.504630675,0.479602201,0.53636874
DGR0003_I,0.081286501,0.094818298,0.143725943,0.07913826,0.0991908,0.08750242
DGR0004_I,0.221134483,0.257946829,0.390996805,0.215290337,0.26984193,0.238044473
DGR0005_L,0.10530043,0.122829835,0.18618594,0.102517548,0.128494077,0.113352676
DGR0006_L,0.814943115,0.950607023,1.440933815,0.793405785,0.994443834,0.877261212
DGR0007_L,0.814943115,0.950607023,1.440933815,0.793405785,0.994443834,0.877261212
DGR0008_L,4.104971153,4.788327352,6.804348177,3.99648491,4.759617727,4.41887526
DGR0009_L,0.518329084,0.604615536,0.916478575,0.504630675,0.479602201,0.53636874
DGR0010_L,0.081286501,0.094818298,0.143725943,0.07913826,0.0991908,0.08750242
DGR0011_L,0.022310698,0.026024768,0.039448445,0.02172107,0.027224889,0.02401678
DGR0012_I,0.022310698,0.026024768,0.039448445,0.02172107,0.027224889,0.02401678
DGR0013_L,0.006789291,0.007919507,0.01200442,0.006609864,0.008284712,0.007308463
DGR0014_L,0.006789291,0.007919507,0.01200442,0.006609864,0.008284712,0.001367135
DGR0015_L,0.006789291,0.007919507,0.01200442,0.006609864,0.008284712,0.007308463
DGR0016_I,0.006789291,0.007919507,0.01200442,0.006609864,0.008284712,0.001367135
DGR0017_I,0.006789291,0.007919507,0.01200442,0.006609864,0.008284712,0.007308463
DGR0018_L,0.078980166,0.092128026,0.13964802,0.076892877,0.096376468,0.085019721
DGR0019_I,0.078980166,0.092128026,0.13964802,0.076892877,0.096376468,0.085019721
DGR0020_L,0.01893207,0.022083699,0.033474556,0.018431733,0.023102079,0.020379791
DGR0021_I,0.024198881,0.028227279,0.042787019,0.023559353,0.029528967,0.026049352
DGR0022_L,0.005266812,0.00614358,0.009312462,0.00512762,0.006426888,0.005669561
DGR0023_I,0.005266812,0.00614358,0.009312462,0.00512762,0.006426888,0.005669561
DGR0024_I,0.005266812,0.00614358,0.009312462,0.00512762,0.006426888,0.005669561
DGR0025_L,0.002121382,0.00247453,0.003750902,0.002065319,0.002588642,0.002283603
DGR0026_I,0.002121382,0.00247453,0.003750902,0.002065319,0.002588642,0.002283603
DGR0027_L,0.110666015,0.129088631,0.195673048,0.107741332,0.135041495,0.119128564
DGR0028_I,0.110666015,0.129088631,0.195673048,0.107741332,0.135041495,0.119128564
DGR0029_E,0,0,0,0,0,0
DGR0029_L,0.000735894,0.000858398,0.001301163,0.000716445,0.000897983,0.000792167
DMN0001_I,0,0,0,0,0,0
DMN0001_X,0,0.014812688,0,0,0,0.002955409
DMN0002_I,0.000162989,0.000190121,0.000288187,0.000158681,0.000198889,0.000175452
DMN0002_X,0.00046344,0.00046344,0.00046344,0.00046344,0.00046344,0.00046344
DMN0005_I,4.55E-13,4.55E-13,4.55E-13,4.55E-13,4.55E-13,0.00E+00
DMN0005_X,0,0,0,4.55E-13,0,0.00E+00
DMN0006_I,0,0,0,0,0,0
DMN0006_X,0.000886263,0.000886263,0.000886263,0,0.000886263,0
DMN0007_I,0.000655692,0,0,0.000636686,0,0
DMN0007_X,0,0,0,0,0,0
DMN0008_I,0,0.00077684,0.001214928,0,0.000816213,0.000711569
DMN0008_X,0,0,0,0,0,0
DMN0009_I,0,0,0,0,0,0
DMN0009_X,0,0,0,0,0,0
DMN0015_I,0,0,0,0,0,0
DMN0015_X,0,0,0,0,0,0
DMN0017_I,0,0,0,0,0,0
DMN0017_X,0,0,0,0,0,0.003516315
DMN0018_I,0,0,0,0,0,0
DMN0018_X,0,0,0,0,0,0
DMN0020_I,0,0,0,0,0,0
DMN0020_X,0,0,0,0.01,0.01,0.01
DMN0021_I,0,0,0,0,0,0
DMN0021_X,0,0.01,0,0.01,0.01,0
DMN0022_I,0,0,0,0,0,0
