Row,OFD,PFD
BIO0001_I,0.486288413,0.486288413
BIO0002_I,1.933003451,1.933003451
BIO0003_I,0.079662408,0.079662408
BIO0004_I,0,0
BIO0005_I,0.08660851,0.048345479
BIO0006_I,0.162066161,0.16840433
BIO0007_I,0.045482177,0.030672358
BIO0008_I,0.054781804,0.054781804
BIO0009_I,0.024745267,0.024745267
BIO0010_I,0.359221809,0.359221809
BIO0011_I,0.045989204,0.057817412
BIO0012_I,-0.015276988,-0.012155391
BIO0013_I,0.050942749,0.030250435
BIO0014_I,0.030673358,0.010673358
BIO0015_I,3.59E-05,3.59E-05
BIO0100_I,0,0
BIO0101_I,0.013969622,0.013969622
BIO0102_I,0,0
BIO0103_I,0,0
BIO0104_I,0.007737565,0.007737565
BIO0105_I,0,0
BIO0106_I,0.337514622,0.337514622
BIO0107_I,0,0
DGR0001_I,10.84607224,10.31776431
DGR0002_I,1.212524127,1.302809966
DGR0003_I,0.241052878,0.204312023
DGR0004_I,0.655768214,0.555817176
DGR0005_L,0.312265522,0.264670561
DGR0006_L,2.416691347,2.048343502
DGR0007_L,2.416691347,2.048343502
DGR0008_L,10.84607224,10.31776431
DGR0009_L,1.212524127,1.302809966
DGR0010_L,0.241052878,0.204312023
DGR0011_L,0.066161759,0.0560775
DGR0012_I,0.066161759,0.0560775
DGR0013_L,0.020133456,0.01706475
DGR0014_L,0.006928424,0.004826753
DGR0015_L,0.020133456,0.01706475
DGR0016_I,0.006928424,0.004826753
DGR0017_I,0.020133456,0.01706475
DGR0018_L,0.234213506,0.198515095
DGR0019_I,0.234213506,0.198515095
DGR0020_L,0.056142531,0.047585385
DGR0021_I,0.071761115,0.060823412
DGR0022_L,0.015618585,0.013238027
DGR0023_I,0.015618585,0.013238027
DGR0024_I,0.015618585,0.013238027
DGR0025_L,0.006290901,0.005332053
DGR0026_I,0.006290901,0.005332053
DGR0027_L,0.328177018,0.278156854
DGR0028_I,0.328177018,0.278156854
DGR0029_E,0,0
DGR0029_L,0.002182272,0.001849654
DMN0001_I,0.00E+00,0
DMN0002_I,0,0.000873109
DMN0005_I,0,0
DMN0006_I,0.000886263,0.000886263
DMN0007_I,0,0
DMN0008_I,0.009026154,0.009026154
DMN0009_I,0,0
DMN0015_I,0,0
DMN0017_I,0,0
DMN0018_I,0,0
DMN0020_I,0,0
DMN0021_I,0,0
DMN0022_I,0,0
DMN0023_I,0,0
DMN0024_I,0.006145663,0.006145663
DMN0025_I,0.01,0.01
DMN0026_I,0.000920504,0.000920504
DMN0027_I,0,0
DMN0030_I,0,0
DMN0031_I,0.193407993,0.172873593
DMN0032_I,0,0
DMN0033_I,0,0
DMN0034_I,0.00963225,0.00963225
DMN0035_I,0.00036775,0.00036775
DMN0038_I,0,0
DMN0039_I,0,0
DMN0040_I,0,0
DMN0041_I,0,0
DMN0042_I,0.00180081,1.50E-06
DMN0043_I,0,0
DMN0044_I,0.002313931,0.002314014
DMN0046_I,0,0
DMN0047_I,0.004401366,0.004401366
DMN0048_I,0.003461731,2.00E-06
DMN0054_I,0,0
DMN0055_I,0,0
DMN0057_I,0,0
DMN0058_I,0.008136443,0.008136443
DMN0059_I,0,0
DMN0060_I,0.01,0
DMN0061_I,0.01,0
DMN0062_I,0,0
DMN0063_I,0.01,0.01
DMN0064_I,0,0
DMN0065_I,0.01,0.01
DMN0066_I,0.01,0.008601893
DMN0067_I,0,0
DMN0068_I,0.01,0.01
DMN0072_I,0.101056957,0.101056957
DMN0073_I,0,0
DMN0075_I,0.01,0.01
DMN0077_I,0.006540269,0.009895147
DMN0078_I,0,0
DMN0080_I,0.01,0.005938587
DMN0082_I,0.01,0.01
DMN0083_I,0.012242164,0.012242164
DMN0084_I,0,0
DMN0085_I,0,0
DMN0086_I,0,0
DMN0100_I,0,0
DMN1001_I,0,0
DMN1004_I,0.01,0.01
DMN1005_I,0,0
DMN1006_I,0.01,0.01
DMN1007_I,0.01,0.01
EX00001_E,1.205026749,0.736535783
EX00002_E,0,0
EX00007_E,-16.65381273,-15.33277967
EX00009_E,1.300179696,1.282799523
EX00011_E,14.21757281,13.08828173
EX00014_E,5.273044333,4.93868679
EX00016_E,0,0
EX00018_E,0,0
EX00019_E,0,0
EX00020_E,0,0
EX00021_E,0.216262389,0.203350641
EX00022_E,0,0
EX00025_E,0,0
EX00026_E,0,0
EX00027_E,0,0
EX00031_E,0,0
EX00032_E,0,0
EX00033_E,0,0
EX00037_E,0,0
EX00041_E,0,0
EX00042_E,0.682631515,0.80739907
EX00047_E,0.364068001,0.320585498
EX00048_E,0,0
EX00049_E,0,0
EX00051_E,0,0
EX00054_E,0,0
EX00058_E,1.380910809,1.01588004
EX00059_E,0.014583068,0.02148892
EX00061_E,0,0.00114898
EX00062_E,0.231008672,0.20563122
EX00064_E,0,0
EX00065_E,0,0
EX00067_E,0.014510074,0.014802948
EX00068_E,0,0
EX00072_E,0,0
EX00073_E,0,0
EX00074_E,0,0
EX00075_E,0,0
EX00077_E,0,0
EX00078_E,0.070369264,0.067141316
EX00079_E,0,0
EX00080_E,0.354931793,0.432493649
EX00081_E,0,0
EX00082_E,0,0
EX00084_E,0,0
EX00086_E,0.110718462,0.108483012
EX00089_E,0,0
EX00093_E,0,0
EX00094_E,0.00E+00,0
EX00095_E,0,0
EX00097_E,0.13289135,0.109708992
EX00099_E,0.002774877,0.001386938
EX00101_E,0.00E+00,0
EX00106_E,0.166548185,0.15403778
EX00108_E,0,0
EX00109_E,0,0
EX00111_E,0,0
EX00114_E,0,0
EX00116_E,0,0
EX00121_E,0,0
EX00122_E,0,0
EX00123_E,0.085241836,0.033768354
EX00124_E,0,0
EX00127_E,0,0
EX00130_E,0,0
EX00132_E,0,0
EX00133_E,0,0
EX00134_E,0.004088725,0.004088725
EX00135_E,0.100342734,0.091332581
EX00137_E,0,0
EX00140_E,0,0.00E+00
EX00141_E,0,0.00E+00
EX00143_E,0,0
EX00147_E,0.04031729,0.029761271
EX00148_E,0.156085537,0.126893554
EX00149_E,0,0
EX00152_E,0.280915344,0.262628103
EX00153_E,0.006076752,0.006445502
EX00156_E,0,0
EX00157_E,0,0
EX00158_E,0,0
EX00159_E,0,0
EX00160_E,0,0
EX00162_E,0,0
EX00163_E,0.008141425,0.001329173
EX00164_E,1.072227657,0.695710671
EX00166_E,0.178325138,0.170573689
EX00167_E,0,0
EX00170_E,0,0
EX00178_E,0.02441155,0.002211797
EX00181_E,0,0
EX00183_E,0,0
EX00185_E,0,0
EX00186_E,0.007745836,0.00036775
EX00187_E,0,0
EX00188_E,0,0
EX00189_E,0,0
EX00191_E,0,0
EX00194_E,0.000946778,0.000422342
EX00197_E,0,0
EX00208_E,0,0
EX00212_E,0,0
EX00214_E,0.040339742,0.030817582
EX00219_E,0,0
EX00233_E,0,0
EX00239_E,0,0
EX00242_E,0.405624915,0.428700423
EX00243_E,0,0
EX00245_E,0,0
EX00249_E,0,0
EX00250_E,0.000225614,0.000408669
EX00253_E,0,0
EX00255_E,0.016548347,0.007842199
EX00256_E,0,0
EX00257_E,0,0
EX00259_E,0,0.00E+00
EX00262_E,0.010136542,0.00216756
EX00266_E,0.02744095,0
EX00268_E,0,0
EX00272_E,0,0
EX00288_E,0,0.242731294
EX00294_E,0,0
EX00295_E,0.024458474,0.003988111
EX00299_E,0.112512022,0.127016277
EX00301_E,0,0
EX00311_E,0,0
EX00314_E,0,0.000409669
EX00315_E,0,0
EX00318_E,0.01,0.009999
EX00320_E,0.002948482,0
EX00322_E,0,0
EX00328_E,0,0
EX00329_E,0,0
EX00330_E,0,0
EX00334_E,0.003640102,0.000864225
EX00344_E,0,0
EX00346_E,0.010265198,0.001749858
EX00350_E,0,0
EX00352_E,0,0
EX00354_E,0,0
EX00355_E,0.007681973,0.005455922
EX00366_E,0.067178843,0.100940023
EX00376_E,0,0
EX00378_E,0.002013525,0.001607237
EX00379_E,0,0
EX00385_E,0.007183145,0.005602121
EX00387_E,0,0
EX00388_E,0,0
EX00398_E,0,0
EX00402_E,0,0
EX00407_E,0,0
EX00422_E,0,0
EX00427_E,0,0
EX00429_E,0,0
EX00437_E,0,0
EX00438_E,0,0
EX00439_E,0,0
EX00440_E,0,0
EX00455_E,0,0
EX00459_E,0.006740951,0.007606176
EX00469_E,0,0
EX00473_E,0,0
EX00475_E,0.196050187,0.213184665
EX00483_E,0.000864225,0
EX00486_E,0,0
EX00504_E,0,0
EX00506_E,0,0
EX00523_E,0,0
EX00526_E,0,0
EX00532_E,0,0
EX00534_E,0,0
EX00535_E,0,0
EX00544_E,0,0
EX00546_E,0,0
EX00559_E,0,0
EX00565_E,0,0
EX00575_E,0,0
EX00577_E,0,0
EX00583_E,0,0
EX00584_E,0.00313977,0
EX00588_E,0,0
EX00631_E,0,0
EX00632_E,0,0
EX00642_E,0.00E+00,0
EX00643_E,0,0
EX00655_E,0,0
EX00669_E,0,0
EX00670_E,0,0
EX00671_E,0,0.00E+00
EX00695_E,0.00193837,0.00193837
EX00696_E,0,0
EX00704_E,0,0
EX00708_E,0,0
EX00719_E,0.015450425,0.0145852
EX00750_E,0,0
EX00777_E,0,0
EX00780_E,0.003713604,0.001856302
EX00785_E,0,0
EX00794_E,0,0
EX00811_E,0,0
EX00818_E,0,0
EX00853_E,0,0
EX00864_E,0,0
EX00881_E,0,0
EX00906_E,0,0.009999
EX00909_E,0,0
EX00940_E,0,0
EX00942_E,0,0
EX00954_E,0.001386938,0.001386938
EX00979_E,0,0
EX01060_E,0.003719975,0
EX01083_E,0,0
EX01103_E,0.001018189,0.012764649
EX01132_E,0,0
EX01137_E,0,0
EX01161_E,0.00E+00,0
EX01179_E,0.106149642,0.093568292
EX01181_E,0,0
EX01185_E,0,0
EX01194_E,0,0
EX01205_E,0.003719975,0
EX01326_E,0,0
EX01419_E,0,0
EX01530_E,0,0
EX01595_E,0.01,0.000351442
EX01613_E,0,0
EX01697_E,0,0
EX01717_E,0,0
EX01755_E,0.00179981,0.01179881
EX01762_E,0,0
EX01801_E,0,0
EX01879_E,0,0
EX01885_E,0,0
EX01888_E,0,0
EX01921_E,0.001421958,0.000172427
EX01996_E,0,0
EX02076_E,0,0
EX02094_E,0,0
EX02165_E,0.000864225,0.000864225
EX02188_E,0,0.00E+00
EX02415_E,0,0
EX02470_E,0,0
EX02505_E,0.010864225,0.010864225
EX02512_E,0,0
EX02630_E,0,0
EX02642_E,0,0
EX02679_E,0.006928424,0.004826753
EX02737_E,0,0
EX02763_E,0,0
EX02918_E,0.005107913,0.005107913
EX02946_E,0,0
EX03197_E,0,0
EX03284_E,0.015946027,0
EX03722_E,0,0
EX03758_E,0.0007365,0.0007365
EX03793_E,0,0
EX03917_E,0,0
EX04227_E,0.001856302,0.001856302
EX04230_E,0,0
EX04317_E,0.012640259,0.016861362
EX04598_E,0,0
EX04677_E,0,0
EX04722_E,0,4.51E-05
EX04853_E,0,0
EX05100_E,0,0
EX05122_E,0.00E+00,0
EX05127_E,0,0
EX05332_E,0,0
EX05335_E,0.00E+00,0
EX05356_E,0,0
EX05402_E,0,0
EX05422_E,0,0
EX05455_E,0,0
EX05512_E,0,0
EX05519_E,0.01,0
EX05635_E,0,0
EX05684_E,0,0
EX05688_E,0.005777467,0
EX05697_E,0,0.00E+00
EX05787_E,0.001169056,0.001318298
EX05828_E,0,0
EX05852_E,0.01,0
EX05984_E,0.007377087,0
EX06232_E,0.004487169,0.002184995
EX06341_E,0,0
EX06424_E,0.001755688,0.001386938
EX11061_E,0,0
EX11135_E,0,0
EX11499_E,0,0
EX14818_E,0,0
EX14819_E,0,0
EX15519_E,0.001249531,0.001249531
EX15520_E,0,0
EX15610_E,0.000231076,0.000231076
EX17337_E,0,0
EX17339_E,0,0
EX18125_E,0,0
EX18126_E,1.00E-06,1.00E-06
EXC0001_E,0,0
EXC0013_E,0.000483338,0.000408669
EXC0050_L,-2.416691347,-2.048343502
EXC0051_L,1.327106578,0
EXC0052_L,0.324566487,0
EXC0053_L,0,0
EXC0054_L,0,0
EXC0055_L,0,0
EXC0056_L,0.013205032,0.012237996
EXC0057_L,0,0
EXC0058_L,0,0
EXC0059_L,0,0
EXC0060_L,0,0
EXC0063_L,0,0
EXC0065_L,0,0
EXC0072_L,0.00E+00,0
EXC0135_E,0,0
EXC0141_E,0.005773121,0.007377087
EXC0142_L,0,0
EXC0152_E,0,0
EXC0180_E,0.01179881,0.01179881
EXC0201_E,0,0
EXC0202_E,0,0
EXC0203_E,0,0
EXC0207_E,0,0
EXC0208_E,0,0
EXC0210_E,0.004796384,0
EXC0211_E,0,0.004796383
EXC0213_E,0,0
EXC0214_E,0.00324424,0.00504405
EXC0216_E,0.002280312,0.001234975
EXC9998_E,0.467042924,0.395857063
EXC9999_E,0.233521462,0.197928532
RC00004_I,3.643844479,3.443723518
RC00009_I,0.736566788,0.384764947
RC00010_I,0.01,0.01
RC00028_I,0.001411482,0.001411482
RC00032_I,0,0
RC00078_I,0.0022745,0.0022745
RC00089_I,0.01,0.01
RC00093_I,0.217434576,0.206793588
RC00100_I,0.782215655,0.56164479
RC00102_I,0.62735794,0.546973993
RC00103_I,0,0
RC00115_I,0.01,0.01
RC00127_I,3.228070225,2.987573838
RC00137_I,-0.00820119,-0.00820119
RC00138_I,0.003459731,0.000104853
RC00155_I,0,0
RC00156_I,0.210183477,0.201886906
RC00158_I,0.113498049,0.104396286
RC00160_I,0.016110642,0.015116412
RC00161_I,0.01,0.01
RC00174_I,0,0
RC00177_I,0.199756872,0.213796099
RC00178_I,0.011754688,0.011754688
RC00181_I,0.01,0.01
RC00183_I,0,0
RC00185_I,0.01,0.01
RC00188_I,0.01,1.00E-06
RC00190_I,0.01,0.01
RC00191_I,0.01,0.01
RC00192_I,0.03,0.057817566
RC00199_I,0.01,0.01
RC00200_I,0.230274176,0.01
RC00220_I,0,0
RC00233_I,0,0
RC00235_I,0.01,0.01
RC00238_I,-0.01,7.33E-03
RC00251_I,0.01,0.01
RC00253_I,0.01,0.01
RC00256_I,0.01,0.01
RC00257_I,0.01,0.01
RC00261_I,0,0
RC00267_I,0.01,0
RC00274_I,0.014152587,0.014846557
RC00275_I,0,0
RC00277_I,0,0
RC00278_I,0,0
RC00286_I,0.005383369,0.003538275
RC00287_I,0,0
RC00289_I,0.116525617,0.115485716
RC00291_I,0.014484328,0.014484328
RC00293_I,0,0
RC00306_I,0.001411482,0.001411482
RC00328_I,0,0
RC00330_I,4.118734366,3.771504541
RC00332_I,0.044747074,0.044747074
RC00335_I,0.01,0.01
RC00342_I,-0.013657558,-0.434823648
RC00352_I,0.01,0.01
RC00355_I,0.01,0.083936265
RC00359_I,0.003657558,0.003657558
RC00366_I,0.01,0.01
RC00369_I,-0.24424313,-0.046719256
RC00383_I,0,0
RC00416_I,0,0
RC00417_I,-0.101056957,-0.101056957
RC00424_I,0.01,0.01
RC00426_I,0,0
RC00431_I,0.01,-0.337229825
RC00434_I,0.01,0.01
RC00471_I,0,0
RC00475_I,0.01,0.01
RC00485_I,0,0
RC00489_I,0,0
RC00494_I,0.01,0.01
RC00497_I,0.018305175,0.019693113
RC00507_I,0,0
RC00508_I,0,0.01
RC00509_I,0.00E+00,0.01
RC00511_I,0.24089218,0.248695012
RC00512_I,-0.099411034,-0.045512255
RC00513_I,0,0
RC00525_I,0,0
RC00527_I,0,0
RC00529_I,0.00E+00,0
RC00548_I,0.002988917,0
RC00549_I,0,0
RC00551_I,0.119236417,0.118035157
RC00554_I,0.01,0.01
RC00570_I,-0.029411034,0.024487745
RC00571_I,0.01,0.01
RC00573_I,0.01,0
RC00575_I,0.01,0
RC00578_I,0.01,0.01
RC00582_I,1.158385226,0.843212045
RC00585_I,0.01,0.00E+00
RC00602_I,0,0
RC00619_I,0,0
RC00631_I,0.005190182,-7.73E-12
RC00650_I,0.01,0.01
RC00658_I,0.361055977,0.493146788
RC00662_I,0,0
RC00669_I,0.01,0.01
RC00670_I,0.01,0.01
RC00678_I,0,0
RC00685_I,0,0
RC00694_I,0.183042159,0.170574689
RC00698_I,0.01,0.01
RC00699_I,0,0
RC00703_I,0,0
RC00710_I,0,0
RC00711_I,0.583583965,0.515515642
RC00720_I,0,0
RC00722_I,0.01,0.01
RC00731_I,0,0
RC00734_I,0.13157637,0.11899502
RC00736_I,0,0
RC00748_I,0.181989907,0.146918602
RC00751_I,0.244155225,0.228618448
RC00754_I,-0.003668799,-0.00761968
RC00765_I,0.008262542,0.002385271
RC00768_I,0,0
RC00782_I,0.00E+00,0.010001
RC00801_I,1.00E-06,2.00E-06
RC00842_I,0,0
RC00847_I,0.096789895,0.07526104
RC00851_I,0.075629703,0.089136921
RC00867_I,0,0.00E+00
RC00875_I,-2.00E-06,-3.00E-06
RC00885_I,0.155037193,0.155037193
RC00888_I,0.01,0.01
RC00893_I,0,0
RC00894_I,0.018305175,0.019693113
RC00895_I,-2.13E-05,0.01
RC00897_I,0,0.01
RC00899_I,0.01,0.01
RC00905_I,0.01,0.01
RC00936_I,0.003609494,0.000432462
RC00939_I,0,0
RC00941_I,0.01,0.01
RC00943_I,-1.256828269,-0.917105602
RC00945_I,1.322507389,0.99767855
RC00946_I,0.01,0.037817566
RC00955_I,0.01,0.01
RC00959_I,0.136408911,0.092430664
RC00961_I,-0.01,-0.01
RC00963_I,0.17637393,0.195115301
RC00964_I,0,0
