ICELgene,WormBase_Gene_ID
hxk-1,WBGene00008780
mdh-1,WBGene00018491
phy-2,WBGene00004025
cka-1,WBGene00000509
pacs-1,WBGene00015116
coq-1,WBGene00000761
agl-1,WBGene00011050
chs-1,WBGene00000496
chs-2,WBGene00000497
acox-3,WBGene00019060
cah-1,WBGene00000279
ama-1,WBGene00000123
impk-1,WBGene00014081
aap-1,WBGene00000001
ace-1,WBGene00000035
ace-2,WBGene00000036
ace-4,WBGene00000038
aco-1,WBGene00000040
aco-2,WBGene00000041
acy-1,WBGene00000068
acy-2,WBGene00000069
acy-4,WBGene00000071
ads-1,WBGene00000081
age-1,WBGene00000090
alh-1,WBGene00000107
alh-2,WBGene00000108
alh-3,WBGene00000109
alh-4,WBGene00000110
alh-5,WBGene00000111
alh-6,WBGene00000112
alh-7,WBGene00000113
alh-8,WBGene00000114
alh-9,WBGene00000115
alh-11,WBGene00000117
alh-12,WBGene00000118
ama-1,WBGene00000123
amx-2,WBGene00000138
ard-1,WBGene00000181
aars-1,WBGene00000196
aars-2,WBGene00000197
art-1,WBGene00000198
asb-1,WBGene00000206
asb-2,WBGene00000207
asg-1,WBGene00000209
asg-2,WBGene00000210
asm-1,WBGene00000211
asm-2,WBGene00000212
asm-3,WBGene00000213
asp-1,WBGene00000214
asp-2,WBGene00000215
asp-3,WBGene00000216
asp-5,WBGene00000218
atp-2,WBGene00000229
atp-3,WBGene00000230
bas-1,WBGene00000239
pah-1,WBGene00000240
bca-1,WBGene00000245
bli-3,WBGene00000253
bli-4,WBGene00000254
bre-1,WBGene00000266
bre-4,WBGene00000269
cah-1,WBGene00000279
cah-2,WBGene00000280
cah-3,WBGene00000281
cah-4,WBGene00000282
cah-5,WBGene00000283
cah-6,WBGene00000284
cah-1,WBGene00000294
cat-1,WBGene00000295
cat-2,WBGene00000296
cat-4,WBGene00000298
cbp-1,WBGene00000366
cco-1,WBGene00000371
cdd-1,WBGene00000391
cdd-2,WBGene00000392
cha-1,WBGene00000481
chs-1,WBGene00000496
chs-2,WBGene00000496
chs-1,WBGene00000497
chs-2,WBGene00000497
cht-1,WBGene00000503
cka-1,WBGene00000509
cka-2,WBGene00000510
ckb-1,WBGene00000511
ckb-2,WBGene00000512
ckb-3,WBGene00000513
ckb-4,WBGene00000514
ckc-1,WBGene00000515
clk-1,WBGene00000536
coq-1,WBGene00000536
coq-1,WBGene00000761
coq-2,WBGene00000762
coq-3,WBGene00000763
coq-5,WBGene00000765
coq-6,WBGene00000766
cpin-1,WBGene00000775
cars-1,WBGene00000800
ctb-1,WBGene00000829
ctl-1,WBGene00000830
ctl-2,WBGene00000831
cts-1,WBGene00000833
cyc-1,WBGene00000869
daf-9,WBGene00000905
daf-11,WBGene00000907
daf-18,WBGene00000913
dao-3,WBGene00000929
dgk-1,WBGene00000958
dgk-2,WBGene00000959
dgk-3,WBGene00000960
dhp-1,WBGene00000963
dhp-2,WBGene00000964
dhs-3,WBGene00000967
dhs-13,WBGene00000976
dhs-19,WBGene00000982
dhs-21,WBGene00000984
dhs-25,WBGene00000988
dhs-28,WBGene00000991
dif-1,WBGene00000996
div-1,WBGene00001002
dnj-15,WBGene00001033
dpy-18,WBGene00001077
drp-1,WBGene00001093
dars-1,WBGene00001094
dars-2,WBGene00001095
dyn-1,WBGene00001130
eat-3,WBGene00001134
eat-6,WBGene00001137
bcat-1,WBGene00001149
ech-1.1,WBGene00001150
ech-3,WBGene00001152
ech-4,WBGene00001153
ech-5,WBGene00001154
ech-6,WBGene00001155
ech-7,WBGene00001156
ech-8,WBGene00001157
ech-9,WBGene00001158
egl-8,WBGene00001177
elo-1,WBGene00001239
elo-2,WBGene00001240
elo-3,WBGene00001241
elo-4,WBGene00001242
elo-5,WBGene00001243
elo-6,WBGene00001244
elo-7,WBGene00001245
elo-9,WBGene00001247
emb-8,WBGene00001262
qars-1,WBGene00001336
ears-1,WBGene00001337
ears-2,WBGene00001338
fat-1,WBGene00001393
fat-2,WBGene00001394
fat-3,WBGene00001395
fat-4,WBGene00001396
fat-5,WBGene00001397
fat-6,WBGene00001398
fat-7,WBGene00001399
fbp-1,WBGene00001404
fce-1,WBGene00001405
fce-2,WBGene00001406
fmo-1,WBGene00001476
fmo-2,WBGene00001477
fmo-3,WBGene00001478
fmo-4,WBGene00001479
fmo-5,WBGene00001480
frh-1,WBGene00001486
fars-1,WBGene00001497
fars-3,WBGene00001498
ftn-1,WBGene00001500
ftn-2,WBGene00001501
fum-1,WBGene00001503
fut-8,WBGene00001508
gas-1,WBGene00001520
gbh-1,WBGene00001522
gbh-2,WBGene00001523
gcs-1,WBGene00001527
gcy-1,WBGene00001528
gcy-2,WBGene00001529
gcy-3,WBGene00001530
gcy-4,WBGene00001531
gcy-5,WBGene00001532
gcy-8,WBGene00001535
gcy-9,WBGene00001536
gcy-12,WBGene00001538
gcy-14,WBGene00001540
gcy-15,WBGene00001541
gcy-17,WBGene00001542
gcy-18,WBGene00001543
gcy-19,WBGene00001544
gcy-20,WBGene00001545
gcy-21,WBGene00001546
gcy-22,WBGene00001547
gcy-23,WBGene00001548
gcy-25,WBGene00001549
gcy-31,WBGene00001551
gcy-32,WBGene00001552
gcy-33,WBGene00001553
gcy-34,WBGene00001554
gcy-35,WBGene00001555
gcy-36,WBGene00001556
gcy-37,WBGene00001557
icl-1,WBGene00001564
gld-2,WBGene00001596
gln-1,WBGene00001602
gln-2,WBGene00001603
gln-3,WBGene00001604
gln-5,WBGene00001606
gln-6,WBGene00001607
gly-12,WBGene00001637
gly-13,WBGene00001638
gly-14,WBGene00001639
gly-20,WBGene00001645
gna-1,WBGene00001646
gna-2,WBGene00001647
gob-1,WBGene00001649
gpd-1,WBGene00001683
gpd-2,WBGene00001684
gpd-3,WBGene00001685
gpd-4,WBGene00001686
gars-1,WBGene00001744
gst-11,WBGene00001759
gst-42,WBGene00001790
gst-43,WBGene00001791
gsy-1,WBGene00001793
gta-1,WBGene00001794
hap-1,WBGene00001823
hdl-1,WBGene00001839
hgo-1,WBGene00001843
hpd-1,WBGene00001993
hars-1,WBGene00002001
hsp-6,WBGene00002010
hyl-1,WBGene00002043
hyl-2,WBGene00002044
ipp-5,WBGene00002146
iars-1,WBGene00002152
iars-2,WBGene00002153
isp-1,WBGene00002162
kat-1,WBGene00002183
kars-1,WBGene00002238
lap-1,WBGene00002249
lap-2,WBGene00002250
ldh-1,WBGene00002262
let-268,WBGene00002497
let-721,WBGene00002855
let-754,WBGene00002879
let-767,WBGene00002891
lfe-2,WBGene00002979
lin-46,WBGene00003031
lin-59,WBGene00003040
lis-1,WBGene00003047
lpd-5,WBGene00003061
lars-1,WBGene00003073
lars-2,WBGene00003074
mdh-2,WBGene00003162
mdh-1,WBGene00003162
mel-32,WBGene00003214
mes-2,WBGene00003220
mev-1,WBGene00003225
mif-1,WBGene00003234
mig-23,WBGene00003254
moc-1,WBGene00003384
moc-2,WBGene00003385
