Row,PFD,OFD
BIO0001_I,0.486288412787244,0.486288412787244
BIO0002_I,1.93300345247386,1.93300345247386
BIO0003_I,0.0796624085934965,0.0796624085934965
BIO0004_I,0,0
BIO0005_I,0.109885908996026,0.106134460098757
BIO0006_I,0.147160488222621,0.160429324900917
BIO0007_I,0.0306733580827525,0.0506633589894456
BIO0008_I,0.054781804424364,0.054781804424364
BIO0009_I,0.0247452634208928,0.0247452634208927
BIO0010_I,0.359065328818056,0.359065328818056
BIO0011_I,0.0368378364848938,0.0356424413682517
BIO0012_I,-0.0123258154803666,-0.013567215652477
BIO0013_I,0.0611058622381964,0.0598508378756168
BIO0014_I,0.0106733580832165,0.0306733580831984
BIO0015_I,3.59065328818057e-05,3.59065328818057e-05
BIO0100_I,0,0
BIO0101_I,0.013969621660736,0.013969621660736
BIO0102_I,0,0
BIO0103_I,0,0
BIO0104_I,0.00670342036190727,0.00670342036190727
BIO0105_I,0,0
BIO0106_I,0.338392286795413,0.338392286795413
BIO0107_I,0,0
DGR0001_I,10.4187953204808,11.0142399001305
DGR0002_I,1.35534494503814,1.24778757099185
DGR0003_I,0.212550774322052,0.228790223143212
DGR0004_I,0.578230148361665,0.622408481426417
DGR0005_L,0.275343231757993,0.296380192618985
DGR0006_L,2.13094164441378,2.29375129724008
DGR0007_L,2.13094164441378,2.29375129724008
DGR0008_L,10.4187953204808,11.0142399001305
DGR0009_L,1.35534494503814,1.24778757099185
DGR0010_L,0.212550774322052,0.228790223143212
DGR0011_L,0.0583387893991159,0.0627960292645416
DGR0012_I,0.0583387893991159,0.0627960292645416
DGR0013_L,0.0177528748396112,0.0191092420573071
DGR0014_L,0.0028341519680143,0.0145324899341815
DGR0015_L,0.0177528748396112,0.0191092420573071
DGR0016_I,0.0028341519680143,0.0145324899341815
DGR0017_I,0.0177528748396112,0.0191092420573071
DGR0018_L,0.206520089607156,0.222298777953099
DGR0019_I,0.206520089607156,0.222298777953099
DGR0020_L,0.0495042349810013,0.0532864912111599
DGR0021_I,0.0632760774038408,0.0681105393053837
DGR0022_L,0.0137718424228395,0.0148240480942238
DGR0023_I,0.0137718424228395,0.0148240480942238
DGR0024_I,0.0137718424228395,0.0148240480942238
DGR0025_L,0.00554706474699652,0.00597087536050207
DGR0026_I,0.00554706474699652,0.00597087536050207
DGR0027_L,0.289373351544813,0.311482251160014
DGR0028_I,0.289373351544813,0.311482251160014
DGR0029_E,0,0
DGR0029_L,0.00192424030490564,0.00207125742140779
DMN0001_I,0,0
DMN0002_I,0.000889628241773639,0
DMN0005_I,0,0
DMN0006_I,0.000886263049664548,0.000886263049665076
DMN0007_I,1.31459513413867e-18,0
DMN0008_I,0.00902618516600976,0.00902618516603818
DMN0009_I,0,0
DMN0015_I,0,0
DMN0017_I,0,0
DMN0018_I,0,0
DMN0020_I,0,0
DMN0021_I,0,0
DMN0022_I,0,0
DMN0023_I,0,0
DMN0024_I,0.00614566271588496,0.00614566271588532
DMN0025_I,0.00999999999998735,0.00999999999999979
DMN0026_I,0.000920503667089179,0.000920503667089179
DMN0027_I,0,0
DMN0030_I,0,0
DMN0031_I,0.167117029432997,0.174034843732868
DMN0032_I,0,0
DMN0033_I,0,0
DMN0034_I,0.00970605158770322,0.00970605158763492
DMN0035_I,0.00029394841229678,0.000293948412331119
DMN0038_I,0,0
DMN0039_I,0,0
DMN0040_I,0,0
DMN0041_I,0,0
DMN0042_I,0.000982433487536127,0.00317784517547674
DMN0043_I,0,0
DMN0044_I,0.00231386990347426,0.00231389067520316
DMN0046_I,0,0
DMN0047_I,0.00440136577140038,0.00440136577168454
DMN0048_I,0,0
DMN0054_I,0,0
DMN0055_I,0,0
DMN0057_I,0,0
DMN0058_I,0.00813644303387662,0.00813644303388994
DMN0059_I,0,0
DMN0060_I,0,0.00999999999999091
DMN0061_I,0,0.00999999999999091
DMN0062_I,0,0
DMN0063_I,0.00999999999953615,0.0099999999999999
DMN0064_I,0,0
DMN0065_I,0.00999999999953616,0.00999999999999979
DMN0066_I,0.00999999999953616,0.00533647527745695
DMN0067_I,0,0
DMN0068_I,0.00999999999953616,0.00999999999999068
DMN0072_I,0.101056952841933,0.101056952842027
DMN0073_I,0,0
DMN0075_I,0.00999999999999868,0.00999999999999998
DMN0077_I,0.01,0.0099999999999999
DMN0078_I,0,0
DMN0080_I,0,0.00999999999999268
DMN0082_I,0.00999999999999979,0.00999999999999998
DMN0083_I,0.0122421640568042,0.0122421640568277
DMN0084_I,0,0
DMN0085_I,0,0
DMN0086_I,0,0
DMN0100_I,0,0
DMN1001_I,0,0
DMN1004_I,0.00999999999976353,0.00999999999999082
DMN1005_I,0,0
DMN1006_I,0.00999999999999046,0.00999999999999088
DMN1007_I,0.00999999999976353,0.00999999999999082
EX00001_E,0.424531244421241,0.672032627923549
EX00002_E,0,0
EX00007_E,-14.870506479241,-16.0020015667685
EX00009_E,1.24755447911161,1.32315105400579
EX00011_E,12.7157933425701,13.5111862178851
EX00014_E,4.51531529880636,5.15237522497548
EX00016_E,0,0
EX00018_E,0,0
EX00019_E,0,0
EX00020_E,-0,-0
EX00021_E,0.208798745950275,0.23054533126903
EX00022_E,0,0
EX00025_E,0,0
EX00026_E,0,0
EX00027_E,0,0
EX00031_E,0,0
EX00032_E,0,0
EX00033_E,0,0
EX00037_E,0,0
EX00041_E,0,0
EX00042_E,1.06233959894009,0.401598939274892
EX00047_E,0.33549021850398,0.36995745986111
EX00048_E,0,0
EX00049_E,0,0
EX00051_E,0,0
EX00054_E,0,0
EX00058_E,0.729836612214315,1.01985362903549
EX00059_E,0.0136953884649234,0.0136692440673688
EX00061_E,0,0
EX00062_E,0.233075890324667,0.259419547920206
EX00064_E,0,0
EX00065_E,0,0
EX00067_E,0.0139876799069204,0.013632128862855
EX00068_E,0,0
EX00072_E,0,0
EX00073_E,0,0
EX00074_E,0,0
EX00075_E,0,0
EX00077_E,0,0
EX00078_E,0.0677710915411316,0.0744193451103892
EX00079_E,0.0224777227306809,0
EX00080_E,0.7479184371277,0.340203803274631
EX00081_E,0,0
EX00082_E,0.0962300882794413,0
EX00084_E,0,0
EX00086_E,0.0883441693121184,0.0929682744092123
EX00089_E,0,0
EX00093_E,0,0
EX00094_E,0,0
EX00095_E,0,0
EX00097_E,0.124068463063016,0.140349281378654
EX00099_E,0.01055442983787,0.0111088596756585
EX00101_E,0,0
EX00106_E,0.146647368795829,0.164969918112821
EX00108_E,0,0
EX00109_E,0,0
EX00111_E,0,0
EX00114_E,0,0
EX00116_E,0,0
EX00121_E,0,0
EX00122_E,0,0
EX00123_E,0.10634809160927,0.156280164829827
EX00124_E,0,0
EX00127_E,0,0
