	Machine readable ID	Human readable ID	Name	formula	charge	Comments	BiGG	Other names
selnt	C05684	selnt	Selenite	O3Se	-2.0	charge based on MetaCyc		
raffin	C00492	raffin	Raffinose	C18H32O16	0.0	BiGG compound	raffin	Melitose, Melitriose, Gossypose, 6G-alpha-D-galactosylsucrose
m4mpdol	CC0020	m4mpdol	(alpha-D-Mannosyl)4-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol	C156H256N2O42P2	-2.0	assumed n=18 for the number of isoprene units; designated as G00006 in KEGG nomenclature	m4macchitppdol,m4mpdol_L,m4mpdol_U	
selnp	C05172	selnp	Selenophosphate	H2O3PSe	-1.0	BiGG compound	selnp	Selenophosphoric acid
cdpchol	C00307	cdpchol	CDPcholine	C14H25N4O11P2	-1.0	BiGG compound	cdpchol	CDP-choline, Cytidine 5'-diphosphocholine, Citicoline
cyanala	C02512	cyanala	Beta cyanoalanine	C4H5N2O2	-1.0	charge based on MetaCyc		3-Cyano-L-alanine, L-3-Cyanoalanine, L-beta-Cyanoalanine
2oxoadp	C00322	2oxoadp	2-Oxoadipate	C6H6O5	-2.0	BiGG compound	2oxoadp	2-Oxoadipic acid
lps_BAC	CC0055	lps_BAC	Lipopolysaccharide (bacteria)	C171H297N4O88P2	-7.0	charge is based on matching BiGG compounds	lps_EC	
pa_pl	C00416	pa_pl	Phosphatidic acid (phospholipids)	C40.1308H68.1556O8.0P1.0	-2.0	charge based on human version in BiGG	pa_hs,pa_Hp	Phosphatidate, Phosphatidic acid, 1,2-Diacyl-sn-glycerol 3-phosphate, 3-sn-Phosphatidate
ppcoa	C00100	ppcoa	Propanoyl-CoA	C24H36N7O17P3S	-4.0	BiGG compound	ppcoa	Propionyl-CoA, Propionyl coenzyme A
alpa_tag	CC0081	alpa_tag	Lysophosphatidic acid (TAG)	C20.3018H37.5094O7.0P1.0	-2.0	charge based on human version in BiGG	alpa_hs	
alkenac2gp	C15647	alkenac2gp	2-Acyl-1-(1-alkenyl)-sn-glycero-3-phosphate	C39.5654H71.5778O7.0P1.0	-2.0	followed CEL nomenclature in creating formula; charge based on similar compounds in MetaCyc		
lipa_BAC	CC0056	lipa_BAC	KDO(2)-lipid (A)	C110H196N2O39P2	-6.0	charge is based on matching BiGG compounds	lipa	
lac-D	C00256	lac-D	D-Lactate	C3H5O3	-1.0	BiGG compound	lac-D	(R)-Lactate, D-Lactic acid, D-2-Hydroxypropanoic acid, D-2-Hydroxypropionic acid
pail4p	C01277	pail4p	1-Phosphatidyl-1D-myo-inositol 4-phosphate 	C46.1308H78.1556O16.0P2.0	-3.0	charge based on human version in BiGG	pail4p_hs	1-Phosphatidyl-1D-myo-inositol 4-phosphate, Phosphatidylinositol 4-phosphate, 1,2-Diacyl-sn-glycero-3-phospho-(1'-myo-inositol-4'-phosphate)
ddcrn	CC0062	ddcrn	dodecanoyl carnitine	C19H37NO4	0.0	charge and formula based on other acyl carnitines		
pail345p	C05981	pail345p	phosphatidylinositol-3,4,5-trisphosphate 	C46.1308H76.1556O22.0P4.0	-7.0	charge based on human version in BiGG	pail345p_hs	Phosphatidylinositol-3,4,5-trisphosphate, 1-Phosphatidyl-1D-myo-inositol 3,4,5-trisphosphate, 1,2-Diacyl-sn-glycero-3-phospho-(1'-myo-inositol-3',4',5'-bisphosphate)
r1p	C00620	r1p	alpha-D-Ribose 1-phosphate	C5H9O8P	-2.0	BiGG compound	r1p	Ribose 1-phosphate, D-Ribose 1-phosphate
eicostetcrn	CC0105	eicostetcrn	Eicosatetranoyl carnitine	C27H45NO4	0.0	charge and formula based on other acyl carnitines	eicostetcrn	
acgam	C00140	acgam	N-Acetyl-D-glucosamine	C8H15NO6	0.0	BiGG compound	acgam	N-Acetylchitosamine, 2-Acetamido-2-deoxy-D-glucose, GlcNAc
trnacys	C01639	trnacys	tRNA(Cys)	ROH	0.0	tRNA formula in BiGG was modified for mass balance	trnacys	
