Lreactions,Hreactions
BIO0003_I,BIO0004_X
BIO0003_X,DMN0073_X
BIO0004_I,RC00004_X
RC00009_X,RC00010_X
RC00028_X,RC00100_X
RC00137_X,RC00102_X
RC00174_I,RC00115_X
RC00178_X,RC00127_X
RC00199_X,RC00155_X
RC00261_I,RC00156_X
RC00293_I,RC00158_X
RC00306_X,RC00177_X
RC00366_X,RC00181_X
RC00416_I,RC00183_X
RC00416_X,RC00185_X
RC00426_I,RC00188_X
RC00475_X,RC00191_X
RC00485_I,RC00192_X
RC00489_I,RC00200_X
RC00509_I,RC00220_X
RC00529_I,RC00235_X
RC00549_I,RC00253_X
RC00602_X,RC00256_X
RC00619_I,RC00267_X
RC00662_I,RC00274_X
RC00678_I,RC00275_X
RC00685_I,RC00286_X
RC00698_X,RC00289_X
RC00699_I,RC00291_X
RC00703_I,RC00293_X
RC00711_X,RC00328_X
RC00720_I,RC00330_X
RC00731_I,RC00332_X
RC00736_I,RC00335_X
RC00748_X,RC00342_X
RC00751_X,RC00352_X
RC00765_X,RC00355_X
RC00801_X,RC00359_X
RC00842_I,RC00431_X
RC00842_X,RC00434_X
RC00875_X,RC00494_X
RC00893_I,RC00497_X
RC00905_X,RC00508_X
RC00955_I,RC00509_X
RC00955_X,RC00511_X
RC00988_X,RC00512_X
RC01000_I,RC00529_X
RC01011_X,RC00548_X
RC01013_X,RC00549_X
RC01018_X,RC00551_X
RC01023_I,RC00554_X
RC01023_X,RC00570_X
RC01051_X,RC00575_X
RC01054_I,RC00582_X
RC01055_X,RC00631_X
RC01072_X,RC00658_X
RC01100_X,RC00670_X
RC01123_I,RC00678_X
RC01123_X,RC00694_X
RC01127_X,RC00703_X
RC01154_I,RC00710_X
RC01167_I,RC00722_X
RC01168_I,RC00731_X
RC01184_I,RC00734_X
RC01268_I,RC00754_X
RC01269_I,RC00768_X
RC01269_X,RC00782_X
RC01274_I,RC00847_X
RC01274_X,RC00851_X
RC01321_I,RC00867_X
RC01321_X,RC00885_X
RC01375_I,RC00888_X
RC01375_X,RC00893_X
RC01378_I,RC00894_X
RC01494_X,RC00895_X
RC01514_I,RC00897_X
RC01514_X,RC00899_X
RC01570_I,RC00941_X
RC01663_I,RC00943_X
RC01663_X,RC00945_X
RC01682_I,RC00946_X
RC01737_I,RC00959_X
RC01737_X,RC00961_X
RC01768_X,RC00963_X
RC01769_X,RC00965_X
RC01793_I,RC00987_X
RC01794_I,RC00996_X
RC01795_I,RC01000_X
RC01802_I,RC01001_X
RC01814_I,RC01010_X
RC01814_X,RC01021_X
RC01815_I,RC01026_X
RC01815_X,RC01036_X
RC01844_I,RC01041_X
RC01844_X,RC01054_X
RC01855_I,RC01057_X
RC01876_I,RC01061_X
RC01878_X,RC01066_X
RC01896_X,RC01070_X
RC01909_I,RC01082_X
RC01920_X,RC01093_X
RC01956_I,RC01095_X
RC01956_X,RC01101_X
RC01959_X,RC01103_X
RC01960_I,RC01126_X
RC01975_X,RC01130_X
RC01998_X,RC01134_X
RC02017_I,RC01135_X
RC02017_X,RC01137_X
RC02018_I,RC01138_X
RC02018_X,RC01168_X
RC02019_I,RC01184_X
RC02019_X,RC01185_X
RC02024_I,RC01186_X
RC02024_X,RC01187_X
RC02035_I,RC01206_X
RC02058_I,RC01218_X
RC02059_I,RC01220_X
RC02059_X,RC01224_X
RC02078_I,RC01227_X
RC02080_I,RC01234_X
RC02080_X,RC01252_X
RC02100_I,RC01262_X
RC02101_I,RC01280_X
RC02103_X,RC01281_X
RC02107_X,RC01290_X
RC02266_I,RC01310_X
RC02266_X,RC01315_X
RC02269_I,RC01318_X
RC02286_I,RC01326_X
RC02335_I,RC01351_X
RC02335_X,RC01357_X
RC02364_X,RC01364_X
RC02383_I,RC01372_X
RC02466_I,RC01384_X
RC02485_X,RC01397_X
RC02493_I,RC01431_X
