Lreactions,Hreactions
BIO0003_I,DGR0001_I
BIO0004_I,DGR0019_I
RC00174_I,DGR0021_I
RC00261_I,DGR0024_I
RC00293_I,DGR0026_I
RC00416_I,DGR0028_I
RC00426_I,DMN0073_I
RC00485_I,RC00004_I
RC00489_I,RC00009_I
RC00509_I,RC00010_I
RC00529_I,RC00028_I
RC00549_I,RC00078_I
RC00619_I,RC00089_I
RC00662_I,RC00093_I
RC00678_I,RC00100_I
RC00685_I,RC00115_I
RC00699_I,RC00127_I
RC00703_I,RC00137_I
RC00720_I,RC00155_I
RC00731_I,RC00156_I
RC00736_I,RC00161_I
RC00842_I,RC00177_I
RC00893_I,RC00178_I
RC00955_I,RC00181_I
RC01000_I,RC00183_I
RC01023_I,RC00185_I
RC01054_I,RC00188_I
RC01123_I,RC00190_I
RC01154_I,RC00191_I
RC01167_I,RC00192_I
RC01168_I,RC00199_I
RC01184_I,RC00200_I
RC01268_I,RC00235_I
RC01269_I,RC00238_I
RC01274_I,RC00251_I
RC01321_I,RC00253_I
RC01375_I,RC00256_I
RC01378_I,RC00257_I
RC01514_I,RC00267_I
RC01570_I,RC00274_I
RC01663_I,RC00289_I
RC01682_I,RC00306_I
RC01737_I,RC00328_I
RC01793_I,RC00330_I
RC01794_I,RC00332_I
RC01795_I,RC00335_I
RC01802_I,RC00342_I
RC01814_I,RC00352_I
RC01815_I,RC00355_I
RC01844_I,RC00359_I
RC01855_I,RC00366_I
RC01876_I,RC00369_I
RC01909_I,RC00424_I
RC01956_I,RC00431_I
RC01960_I,RC00434_I
RC02017_I,RC00475_I
RC02018_I,RC00494_I
RC02019_I,RC00497_I
RC02024_I,RC00508_I
RC02035_I,RC00511_I
RC02058_I,RC00548_I
RC02059_I,RC00554_I
RC02078_I,RC00570_I
RC02080_I,RC00571_I
RC02100_I,RC00573_I
RC02101_I,RC00575_I
RC02266_I,RC00578_I
RC02269_I,RC00582_I
RC02286_I,RC00585_I
RC02335_I,RC00602_I
RC02383_I,RC00631_I
RC02466_I,RC00650_I
RC02493_I,RC00658_I
RC02497_I,RC00669_I
RC02665_I,RC00670_I
RC02701_I,RC00694_I
RC02743_I,RC00698_I
RC02914_I,RC00710_I
RC03055_I,RC00711_I
RC03104_I,RC00722_I
RC03269_I,RC00734_I
RC03376_I,RC00748_I
RC03421_I,RC00751_I
RC03542_I,RC00754_I
RC03599_I,RC00782_I
RC03617_I,RC00801_I
RC03749_I,RC00847_I
RC04171_I,RC00851_I
