Lreactions,Hreactions
BIO0003_I,DMN0073_X
BIO0003_X,RC00004_X
BIO0004_I,RC00010_X
BIO0004_X,RC00089_X
RC00009_X,RC00093_X
RC00028_X,RC00102_X
RC00078_X,RC00127_X
RC00174_I,RC00156_X
RC00199_X,RC00158_X
RC00220_X,RC00174_X
RC00251_X,RC00177_X
RC00261_I,RC00181_X
RC00286_X,RC00183_X
RC00293_I,RC00190_X
RC00306_X,RC00191_X
RC00366_X,RC00192_X
RC00416_I,RC00200_X
RC00416_X,RC00235_X
RC00424_X,RC00253_X
RC00426_I,RC00256_X
RC00475_X,RC00257_X
RC00485_I,RC00261_X
RC00489_I,RC00267_X
RC00509_I,RC00275_X
RC00529_I,RC00289_X
RC00549_I,RC00330_X
RC00549_X,RC00332_X
RC00551_X,RC00335_X
RC00578_X,RC00342_X
RC00585_X,RC00352_X
RC00602_X,RC00355_X
RC00619_I,RC00431_X
RC00650_X,RC00434_X
RC00662_I,RC00485_X
RC00678_I,RC00489_X
RC00678_X,RC00494_X
RC00685_I,RC00509_X
RC00698_X,RC00511_X
RC00699_I,RC00512_X
RC00703_I,RC00513_X
RC00711_X,RC00529_X
RC00720_I,RC00548_X
RC00731_I,RC00570_X
RC00731_X,RC00575_X
RC00736_I,RC00582_X
RC00748_X,RC00619_X
RC00751_X,RC00631_X
RC00765_X,RC00658_X
RC00801_X,RC00670_X
RC00842_I,RC00685_X
RC00847_X,RC00694_X
RC00875_X,RC00699_X
RC00893_I,RC00703_X
RC00893_X,RC00710_X
RC00936_X,RC00722_X
RC00939_X,RC00734_X
RC00946_X,RC00736_X
RC00955_I,RC00782_X
RC00955_X,RC00851_X
RC00978_X,RC00867_X
RC00987_X,RC00888_X
RC00988_X,RC00894_X
RC00996_X,RC00895_X
RC01000_I,RC00897_X
RC01011_X,RC00899_X
RC01013_X,RC00963_X
RC01018_X,RC00964_X
RC01023_I,RC00965_X
RC01051_X,RC01000_X
RC01054_I,RC01001_X
RC01055_X,RC01010_X
RC01072_X,RC01015_X
RC01092_X,RC01021_X
RC01100_X,RC01023_X
RC01101_X,RC01026_X
RC01103_X,RC01054_X
RC01123_I,RC01061_X
RC01123_X,RC01070_X
RC01154_I,RC01082_X
RC01154_X,RC01126_X
RC01167_I,RC01127_X
RC01168_I,RC01134_X
RC01168_X,RC01135_X
RC01184_I,RC01137_X
RC01184_X,RC01138_X
RC01218_X,RC01167_X
RC01268_I,RC01185_X
RC01269_I,RC01186_X
RC01269_X,RC01187_X
RC01274_I,RC01224_X
RC01274_X,RC01227_X
RC01290_X,RC01229_X
RC01321_I,RC01234_X
RC01321_X,RC01252_X
RC01334_X,RC01262_X
RC01364_X,RC01280_X
RC01372_X,RC01310_X
RC01375_I,RC01315_X
RC01375_X,RC01318_X
RC01378_I,RC01326_X
RC01415_X,RC01397_X
RC01494_X,RC01402_X
RC01514_I,RC01468_X
RC01514_X,RC01495_X
RC01561_X,RC01498_X
RC01567_X,RC01512_X
RC01570_I,RC01513_X
RC01616_X,RC01518_X
RC01663_I,RC01528_X
RC01663_X,RC01529_X
RC01682_I,RC01547_X
RC01737_I,RC01560_X
RC01768_X,RC01569_X
RC01769_X,RC01570_X
RC01793_I,RC01600_X
RC01794_I,RC01641_X
RC01795_I,RC01658_X
RC01795_X,RC01664_X
RC01802_I,RC01665_X
RC01814_I,RC01682_X
RC01815_I,RC01687_X
RC01844_I,RC01704_X
RC01844_X,RC01724_X
RC01855_I,RC01752_X
RC01863_X,RC01786_X
RC01876_I,RC01793_X
RC01878_X,RC01794_X
RC01896_X,RC01799_X
RC01904_X,RC01802_X
RC01909_I,RC01814_X
RC01931_X,RC01815_X
RC01956_I,RC01819_X
RC01956_X,RC01829_X
RC01959_X,RC01830_X
RC01960_I,RC01843_X
RC01969_X,RC01857_X
RC01975_X,RC01870_X
RC01978_X,RC01876_X
RC01998_X,RC01890_X
RC02017_I,RC01909_X
RC02018_I,RC01923_X
RC02019_I,RC01961_X
RC02024_I,RC01968_X
RC02035_I,RC01993_X
RC02037_X,RC02003_X
