,Body_wall_muscle,Glia,Gonad,Hypodermis,Neurons,Pharynx
BIO0001_I,0,0,0,0,0,0
BIO0001_X,0.486288413,0.486288413,0.486288413,0.486288413,0.487750283,0.486288413
BIO0002_I,0,0,0,0,0,0
BIO0002_X,1.699667448,1.699667448,1.699667448,1.699667448,1.705549365,1.699667448
BIO0003_I,0,0,0,0,0,0
BIO0003_X,0.079662413,0.079662413,0.079662413,0.079662413,0.079901891,0.079662413
BIO0004_I,0,0,0,0,0,0
BIO0004_X,0.006869748,6.87E-03,0.006869748,0.006869748,0,0.006869748
BIO0005_I,0.570482896,0.606859427,0.565886569,0.616050352,0.59737453,0.577653153
BIO0005_X,-0.717117322,-0.710460229,-0.737459602,-0.710708771,-0.712199427,-0.717627144
BIO0006_I,1.140965791,1.213767461,1.126483623,1.232100704,1.194749059,1.15530676
BIO0006_X,-1.034481556,-1.108375284,-0.808682246,-1.105616468,-1.089070189,-1.028822525
BIO0007_I,0.00E+00,-9.09E-13,-1.82E-12,-6.82E-13,0,-4.55E-12
BIO0007_X,0.040673366,0.030673366,0.020673363,0.030673366,0.030705444,0.040673366
BIO0008_I,0,0,0,0,0,0
BIO0008_X,0.054781846,0.054781846,0.054781846,0.054781846,0.054946489,0.054781846
BIO0009_I,0,0,0,0,0,0
BIO0009_X,0.024745464,0.024745464,0.024745464,0.024745464,0.024819652,0.024745464
BIO0010_I,0,0,0,0,0,0
BIO0010_X,0.360262382,0.360262382,0.360262382,0.360262382,0.359127377,0.360262382
BIO0011_I,1.070355789,1.135441016,0.067723845,1.160398644,1.116367536,0.05975053
BIO0011_X,-1.030605259,-1.095690487,0,-1.110648114,-1.076497539,-0.01
BIO0012_I,0.00E+00,6.82E-13,6.82E-13,6.82E-13,0.00E+00,6.82E-13
BIO0012_X,-4.89E-02,-0.034533601,-5.72E-02,-3.16E-02,-0.038274966,-4.67E-02
BIO0013_I,0.285241448,0.303429713,0.282943284,0.308025176,0.298687265,0.288826576
BIO0013_X,-0.33411959,-0.337963314,-0.340134295,-0.339577982,-0.336962231,-0.335484574
BIO0014_I,0.00E+00,-9.09E-13,-1.36E-12,-4.09E-12,0.00E+00,-4.55E-12
BIO0014_X,0.020673366,0.020673366,0.020673363,0.020673366,0.020705444,0.020673366
BIO0015_I,0,0,0,0,0,0
BIO0015_X,3.60E-05,3.60E-05,3.60E-05,3.60E-05,3.59E-05,3.60E-05
BIO0100_I,0,0,0,0,0,0
BIO0100_X,0,0,0,0,0,0
BIO0101_I,0,0,0,0,0,0
BIO0101_X,0.001135005,0.001135005,0.001135005,0.001135005,0.357987817,0.001135005
BIO0102_I,0,0,0,0,0,0
BIO0102_X,0,0,0,0,0,0
BIO0103_I,0,0,0,0,0,0
BIO0103_X,0.359126939,3.59E-01,0.359126939,0.359126939,0,0.359126939
BIO0104_I,0,0,0,0,0,0
BIO0104_X,0,0,0,0,0,0
BIO0105_I,0,0,0,0,0,0
BIO0105_X,4.37E-07,4.37E-07,4.37E-07,4.37E-07,0,4.37E-07
BIO0106_I,0,0,0,0,0,0
BIO0106_X,0,0,0,0,1.14E-03,0
BIO0107_I,0,0,0,0,0,0
BIO0107_X,0,0,0,0,0,0
DGR0001_I,7.654794592,7.833922669,5.989884122,6.442522752,5.45438778,5.046797629
DGR0002_I,0.180064795,1.878995076,0.894158963,1.990791946,2.155997276,1.911931625
DGR0003_I,0.431778424,0.305062,0.505212425,0.312204189,0.338112369,0.412166169
DGR0004_I,1.17462429,0.829900742,1.374396571,0.84933059,0.919812059,1.121270463
DGR0005_L,0.559335844,0.395184431,0.654463962,0.40443659,0.437998651,0.533929671
DGR0006_L,4.32882274,3.058418966,5.065040103,2.317199562,3.389767599,2.317199554
DGR0007_L,4.32882274,3.058418966,5.065040103,3.130023451,3.389767599,4.132198797
DGR0008_L,7.654794592,7.833922669,5.989884122,6.442522752,5.45438778,5.046797629
DGR0009_L,0.180064795,1.878995076,0.894158963,1.990791946,2.155997276,1.911931625
DGR0010_L,0.431778424,0.305062,0.505212425,0.312204189,0.338112369,0.412166169
DGR0011_L,0.034964238,0.083730336,0.034964238,0.039377771,0.035009101,0.039964238
DGR0012_I,0.034964238,0.083730336,0.034964238,0.039377771,0.035009101,0.039964238
DGR0013_L,0.036063422,0.025479688,0.042196849,0.026076225,0.028240154,0.034425348
DGR0014_L,0.036063422,0.025479688,0.042196849,0.026076225,0.028240154,0.034425348
DGR0015_L,0.036063422,0.025479688,0.042196849,0.026076225,0.028240154,0.034425348
DGR0016_I,0.036063422,0.025479688,0.042196849,0.026076225,0.028240154,0.034425348
DGR0017_I,0.036063422,0.025479688,0.042196849,0.026076225,0.028240154,0.034425348
DGR0018_L,0.419527612,0.296406502,0.490878077,0.303346047,0.328519136,0.400471814
DGR0019_I,0.419527612,0.296406502,0.490878077,0.303346047,0.328519136,0.400471814
DGR0020_L,0.100563551,0.071050604,0.11766673,0.072714059,0.078748215,0.095995749
DGR0021_I,0.128539852,0.090816544,0.150401054,0.092942764,0.100655594,0.12270131
DGR0022_L,0.027976301,0.01976594,0.032734324,0.020228705,0.021907379,0.02670556
DGR0023_I,0.027976301,0.01976594,0.032734324,0.020228705,0.021907379,0.02670556
DGR0024_I,0.027976301,0.01976594,0.032734324,0.020228705,0.021907379,0.02670556
DGR0025_L,0.01126838,0.007961386,0.013184831,0.00814778,0.008823921,0.010756547
DGR0026_I,0.01126838,0.007961386,0.013184831,0.00814778,0.008823921,0.010756547
DGR0027_L,0.587836813,0.415321062,0.687812186,0.425044665,0.460316881,0.561136068
DGR0028_I,0.587836813,0.415321062,0.687812186,0.425044665,0.460316881,0.561136068
DGR0029_E,0,0,0,0,0,0
DGR0029_L,0.003908927,0.002761752,0.004573731,0.002092431,0.00306096,0.002092431
DMN0001_I,0,0,0,0,0,0
DMN0001_X,0,0,0.021856877,0.00E+00,0.014812688,0
DMN0002_I,0.000865765,0.000611684,0.001013008,0.00046344,0.000677954,0.00046344
DMN0002_X,0,0,0.00046344,0,0,0
DMN0005_I,0.00E+00,2.27E-12,4.55E-13,2.27E-13,0.00E+00,4.55E-13
DMN0005_X,0.00E+00,1.25E-12,0,0.00E+00,0.00E+00,4.55E-13
DMN0006_I,0,0,0,0,0,0
DMN0006_X,0.000886263,0,0.000886263,0,0,0
DMN0007_I,0,0,0,0,0.00E+00,0
