,Intestine
BIO0001_I,8.76911421
BIO0002_I,35.02818688
BIO0003_I,1.43653184
BIO0004_I,0.057142857
BIO0005_I,0.285443963
BIO0006_I,2.927678079
BIO0007_I,0.217359084
BIO0008_I,0.987866579
BIO0009_I,0.446226659
BIO0010_I,6.475036317
BIO0011_I,1.595743261
BIO0012_I,-1.00E-01
BIO0013_I,1.93E-01
BIO0014_I,0.212469997
BIO0015_I,0.000647504
BIO0100_I,0
BIO0101_I,0
BIO0102_I,0
BIO0103_I,0
BIO0104_I,0
BIO0105_I,2.98723703
BIO0106_I,3.487799287
BIO0107_I,0.00E+00
DGR0001_I,6.44E+01
DGR0002_I,8.134562811
DGR0003_I,1.275695631
DGR0004_I,3.47E+00
DGR0005_L,1.652565881
DGR0006_L,12.78956971
DGR0007_L,1.28E+01
DGR0008_L,64.4226741
DGR0009_L,8.134562811
DGR0010_L,1.275695631
DGR0011_L,0.35014005
DGR0012_I,0.35014005
DGR0013_L,0.106549905
DGR0014_L,0.106549905
DGR0015_L,0.106549905
DGR0016_I,0.106549905
DGR0017_I,0.106549905
DGR0018_L,1.239500429
DGR0019_I,1.239500429
DGR0020_L,0.297116472
DGR0021_I,0.37977286
DGR0022_L,0.082656388
DGR0023_I,0.082656388
DGR0024_I,0.082656388
DGR0025_L,0.033292592
DGR0026_I,0.033292592
DGR0027_L,1.736772408
DGR0028_I,1.736772408
DGR0029_E,0
DGR0029_L,0.011548981
DMN0001_I,0.00E+00
DMN0002_I,0
DMN0005_I,0
DMN0006_I,0.000886263
DMN0007_I,0
DMN0008_I,0.010055068
DMN0009_I,0.01
DMN0015_I,0
DMN0017_I,0
DMN0018_I,0
DMN0020_I,0
DMN0021_I,0
DMN0022_I,0
DMN0023_I,0
DMN0024_I,0
DMN0025_I,0
DMN0026_I,0
DMN0027_I,0.00886702
DMN0030_I,0
DMN0031_I,0
DMN0032_I,0
DMN0033_I,0
DMN0034_I,0
DMN0035_I,0.01
DMN0038_I,0.00E+00
DMN0039_I,0
DMN0040_I,0
DMN0041_I,0.00E+00
DMN0042_I,1.00E-02
DMN0043_I,0
DMN0044_I,0.002316299
DMN0046_I,0
DMN0047_I,0.004401366
DMN0048_I,0.015110913
DMN0054_I,0
DMN0055_I,0
DMN0057_I,0.01
DMN0058_I,0.008136443
DMN0059_I,0.01
DMN0060_I,0.01
DMN0061_I,0.01
DMN0062_I,0.01
DMN0063_I,0.01
DMN0064_I,0.01
DMN0065_I,0.01
DMN0066_I,0.00744295
DMN0067_I,0
DMN0068_I,0.01
DMN0072_I,0.617491045
DMN0073_I,0.01
DMN0075_I,0
DMN0077_I,0
DMN0078_I,0
DMN0080_I,0.971825271
DMN0082_I,0.01
DMN0083_I,0.004712214
DMN0084_I,0
DMN0085_I,0
DMN0086_I,0
DMN0100_I,0
DMN1001_I,0
DMN1004_I,1.00E-02
DMN1005_I,0
DMN1006_I,0.01
DMN1007_I,0.01
EX00001_E,13.98443008
EX00002_E,0
EX00007_E,-96.80151178
EX00009_E,8.639414676
EX00011_E,73.32138199
EX00014_E,2.24E+01
EX00016_E,0
EX00018_E,0
EX00019_E,0
EX00020_E,0.00036775
EX00021_E,0
EX00022_E,0
EX00025_E,0
EX00026_E,0
EX00027_E,2.603081712
EX00031_E,0
EX00032_E,0.000406795
EX00033_E,0.00E+00
EX00037_E,0.00E+00
EX00041_E,0.00E+00
EX00042_E,1.819434893
EX00047_E,0.881368687
EX00048_E,0
EX00049_E,0
EX00051_E,0
EX00054_E,0
EX00058_E,4.72157473
EX00059_E,1.134657012
EX00061_E,0.029124617
EX00062_E,0
EX00064_E,0
EX00065_E,0
EX00067_E,0.029999
EX00068_E,0
EX00072_E,0
EX00073_E,0.996758778
EX00074_E,0
EX00075_E,0
EX00077_E,0
EX00078_E,0.315988154
EX00079_E,0
EX00080_E,12.17327859
EX00081_E,0
EX00082_E,0
EX00084_E,0
EX00086_E,1.507587949
EX00089_E,0
EX00093_E,0
EX00094_E,0
EX00095_E,0
EX00097_E,0
EX00099_E,0.01
EX00101_E,0
EX00106_E,2.871579832
EX00108_E,0
EX00109_E,0
EX00111_E,0
EX00114_E,0
EX00116_E,0
EX00121_E,0
EX00122_E,0
EX00123_E,1.333182322
EX00124_E,0
EX00127_E,0
EX00130_E,0
EX00132_E,0
EX00133_E,0
EX00134_E,0
EX00135_E,0.30921259
EX00137_E,0
EX00140_E,0.055223791
EX00141_E,0
EX00143_E,0
EX00147_E,0
EX00148_E,0.00E+00
EX00149_E,0
EX00152_E,1.524193249
EX00153_E,0.006690897
EX00156_E,0
EX00157_E,0
EX00158_E,0
EX00159_E,0
EX00160_E,0
EX00162_E,0
EX00163_E,0
EX00164_E,10.39865339
EX00166_E,0.526102679
EX00167_E,0
EX00170_E,0.02
EX00178_E,0.044167915
EX00181_E,0
EX00183_E,0
EX00185_E,0
EX00186_E,0.007745836
EX00187_E,2.42E-04
EX00188_E,0
EX00189_E,0
EX00191_E,0
EX00194_E,0.003443696
EX00197_E,0
EX00208_E,0
EX00212_E,0
EX00214_E,0.24077679
EX00219_E,0
EX00233_E,0
EX00239_E,0
EX00242_E,2.574830905
EX00243_E,0
EX00245_E,0
EX00249_E,0
EX00250_E,0.000646919
EX00253_E,0.002726527
EX00255_E,0.024769891
EX00256_E,0
EX00257_E,0
EX00259_E,0
EX00262_E,0
EX00266_E,0.02744095
EX00268_E,0
EX00272_E,0
EX00288_E,0
EX00294_E,0
EX00295_E,0.025476663
EX00299_E,0
EX00301_E,0
EX00311_E,0
EX00314_E,0.000888961
EX00315_E,0.00E+00
EX00318_E,0.01
EX00320_E,0
EX00322_E,0
EX00328_E,0
EX00329_E,0
EX00330_E,0
EX00334_E,0.003164367
EX00344_E,0
EX00346_E,0
EX00350_E,0
EX00352_E,0
EX00354_E,0
EX00355_E,0.005882164
EX00366_E,2.076514999
EX00376_E,0
EX00378_E,0.01345481
EX00379_E,0
EX00385_E,0.019306063
EX00387_E,0
EX00388_E,0.003090277
EX00398_E,0
EX00402_E,0
EX00407_E,0
EX00422_E,0
EX00427_E,0
EX00429_E,0.006280025
EX00437_E,0
EX00438_E,0
EX00439_E,0.00E+00
EX00440_E,0
EX00455_E,0
EX00459_E,0
EX00469_E,0.001736947
EX00473_E,0
EX00475_E,0
EX00483_E,0.000864225
EX00486_E,0
EX00504_E,0.00E+00
EX00506_E,0
EX00523_E,0
EX00526_E,0
EX00532_E,0
EX00534_E,0.001498586
EX00535_E,0
EX00544_E,0
EX00546_E,0.01
EX00559_E,0
