,Body_wall_muscle,Glia,Gonad,Hypodermis,Neurons,Pharynx
BIO0001_I,0,0,0,0,0,0
BIO0001_X,0.486288413,0.486288413,0.486288413,0.486288413,0.486288413,0.486288413
BIO0002_I,0,0,0,0,0,0
BIO0002_X,1.699667068,1.699666909,1.69966745,1.699667149,1.699667073,1.69966745
BIO0003_I,0,0,0,0,0,0
BIO0003_X,0.079662396,0.079662411,0.079662413,0.079662409,0.079662408,0.079662413
BIO0004_I,0,0,0,0,0,0
BIO0004_X,0,-1.65E-11,0.006869748,0.006869748,0.006869748,0.006869748
BIO0005_I,0.734546639,0.818536462,1.685883348,0.76282647,0.739514094,0.73608063
BIO0005_X,-0.820071227,-0.893153125,-1.815794267,-0.841107213,-0.824950992,-0.822420391
BIO0006_I,-0.031793423,-0.814123755,-2.802685643,-0.215705116,-0.057080082,-0.007898282
BIO0006_X,0.138277588,0.919515862,3.01789133,0.342189347,0.162472184,0.134382517
BIO0007_I,1.00E-02,0.01,-2.05E-12,0.01,0.01,0.01
BIO0007_X,0.030673358,0.020673358,0.030673366,0.020673366,0.020673358,0.030673366
BIO0008_I,0,0,0,0,0,0
BIO0008_X,0.054781806,0.054781806,0.054781846,0.054781844,0.054781803,0.054781846
BIO0009_I,0,0,0,0,0,0
BIO0009_X,0.024745263,0.024745263,0.024745464,0.024745263,0.024745263,0.024745464
BIO0010_I,0,0,0,0,0,0
BIO0010_X,0.358051011,0.358051011,0.360262382,0.360262382,0.360262382,0.360262382
BIO0011_I,-0.041793423,-0.763450397,-2.797043922,-0.206240766,-0.067080082,-0.017104046
BIO0011_X,0.081543923,0.803200897,2.866794452,0.255991294,0.10683058,0.066854575
BIO0012_I,6.82E-13,6.82E-13,6.82E-13,6.82E-13,6.82E-13,6.82E-13
BIO0012_X,-2.85E-02,-0.024872221,-0.04330364,-0.026093581,-0.028478966,-0.028779921
BIO0013_I,0.36727332,0.409268231,0.842941674,0.381413235,0.369757047,0.368040315
BIO0013_X,-0.395781516,-0.434140452,-0.886245314,-0.407506816,-0.398236013,-0.396820235
BIO0014_I,-9.09E-13,-9.09E-13,-2.05E-12,-9.09E-13,-9.09E-13,-9.09E-13
BIO0014_X,0.020673358,0.020673358,0.020673366,0.020673366,0.020673358,0.020673366
BIO0015_I,0,0,0,0,0,0
BIO0015_X,3.59E-05,3.59E-05,3.60E-05,3.59E-05,3.59E-05,3.60E-05
BIO0100_I,0,0,0,0,0,0
BIO0100_X,0,0,0,0,0,0
BIO0101_I,0,0,0,0,0,0
BIO0101_X,0.358051011,0.358051012,0.001135005,0.001135005,0.001134571,0.001135005
BIO0102_I,0,0,0,0,0,0
BIO0102_X,0,0,0,0,0,0
BIO0103_I,0,0,0,0,0,0
BIO0103_X,0,-8.65E-10,0.359126935,0.359127377,0.359127377,0.359126935
BIO0104_I,0,0,0,0,0,0
BIO0104_X,0,0,0,0,0,0
BIO0105_I,0,0,0,0,0,0
BIO0105_X,0,0,4.41E-07,0,0,4.41E-07
BIO0106_I,0,0,0,0,0,0
BIO0106_X,0,0,0,0,4.35E-07,0
BIO0107_I,0,0,0,0,0,0
BIO0107_X,0,0,0,0,0,0
DGR0001_I,4.923161562,4.868244246,3.831606299,5.449160313,4.879753714,5.16438681
DGR0002_I,0.174723684,1.401031719,3.181813559,0.248432605,0.422004101,0.258969131
DGR0003_I,0.25183494,0.219715562,0.498985102,0.247239448,0.251576728,0.254235293
DGR0004_I,0.685100091,0.597721474,1.357455556,0.672598362,0.684397643,0.69163009
DGR0005_L,0.326232857,0.284624665,0.646396942,0.320279749,0.325898363,0.32934233
DGR0006_L,2.52478761,2.202772693,5.002607671,1.859494235,2.52219889,0.983306035
DGR0007_L,2.52478761,2.202772693,5.002607671,2.478715204,2.52219889,2.548852505
DGR0008_L,4.923161562,4.868244246,3.831606299,5.449160313,4.879753714,5.16438681
DGR0009_L,0.174723684,1.401031719,3.181813559,0.248432605,0.422004101,0.258969131
DGR0010_L,0.25183494,0.219715562,0.498985102,0.247239448,0.251576728,0.254235293
DGR0011_L,0.034964117,0.060305308,0.034964238,0.034448445,0.034964117,0.039964238
DGR0012_I,0.034964117,0.060305308,0.034964238,0.034448445,0.034964117,0.039964238
DGR0013_L,0.021034006,0.018351299,0.041676725,0.020650176,0.020000256,0.02123449
DGR0014_L,0.02,0.018351299,0.01,0.006589557,0.020000256,0.01
DGR0015_L,0.021034006,0.018351299,0.041676725,0.020650176,0.011008624,0.02123449
DGR0016_I,0.02,0.018351299,0.01,0.006589557,0.020000256,0.01
DGR0017_I,0.021034006,0.018351299,0.041676725,0.020650176,0.011008624,0.02123449
DGR0018_L,0.244689649,0.213481592,0.484827441,0.240224545,0.244438764,0.247021897
DGR0019_I,0.244689649,0.213481592,0.484827441,0.240224545,0.244438764,0.247021897
DGR0020_L,0.058653732,0.051172953,0.116216353,0.057583416,0.058593593,0.059212787
DGR0021_I,0.07497092,0.065409025,0.148547189,0.073602849,0.074894051,0.075685502
DGR0022_L,0.016317189,0.014236072,0.032330836,0.016019432,0.016300458,0.016472715
DGR0023_I,0.016317189,0.014236072,0.032330836,0.016019432,0.016300458,0.016472715
DGR0024_I,0.016317189,0.014236072,0.032330836,0.016019432,0.016300458,0.016472715
DGR0025_L,0.006572287,0.005734049,0.013022313,0.006452356,0.006565548,0.006634931
DGR0026_I,0.006572287,0.005734049,0.013022313,0.006452356,0.006565548,0.006634931
DGR0027_L,0.342856058,0.299127721,0.679334111,0.33659961,0.34250452,0.346123975
DGR0028_I,0.342856058,0.299127721,0.679334111,0.33659961,0.34250452,0.346123975
DGR0029_E,0,0,0,0,0,0
DGR0029_L,0.002279883,0.001989104,0.004517355,0.001679123,0.002277546,0.000887925
DMN0001_I,0,0,0,0,0,0
DMN0001_X,0,0,0.021856921,1.44E-15,0.014812688,0
DMN0002_I,0.000504958,0.000440555,0.001000522,0.000371899,0.00050444,0.000196661
DMN0002_X,0,0,0.00046344,0,0,0
DMN0005_I,4.55E-13,4.55E-13,4.55E-13,4.55E-13,4.55E-13,4.55E-13
DMN0005_X,0.00E+00,0,0,0,4.55E-13,4.55E-13
DMN0006_I,0,0,0,0,0,0
DMN0006_X,0.000886263,0.000886263,0.000886263,0.000886263,0,0
DMN0007_I,0,0,0,0,0,0
DMN0007_X,0,0,0,0,0,0
DMN0008_I,0.00218281,0.001895251,0.004395276,0.001588703,0.002180498,0.00080604
DMN0008_X,0,0,0,0,0,0
DMN0009_I,0,0,0,0,0,0
DMN0009_X,0.01,0.01,0,0.01,0.01,0.01
DMN0015_I,0,0,0,0,0,0
DMN0015_X,0,0.01,0,0.01,0,0
DMN0017_I,0,0,0,0,0,0
DMN0017_X,0,0,0,0,0.003516315,0
DMN0018_I,0,0,0,0,0,0
DMN0018_X,0,0,0,0,0,0
DMN0020_I,0,0,0,0,0,0
DMN0020_X,0.01,0,0,0,0.01,0.01
DMN0021_I,0,0,0,0,0,0
DMN0021_X,0.01,0,0.01,0,0,0.01
DMN0022_I,0,0,0,0,0,0.002727691
DMN0022_X,0,0,0.01,0,0,0
DMN0023_I,0,0,0,9.09E-13,0,0
DMN0023_X,0,0,0.005158237,0.005158237,0,0
DMN0024_I,0,0,0,0,0,0
DMN0024_X,0.006145663,0,0,0.006145663,0,0.006145663
DMN0025_I,0,0,0,0.007129327,0,0
DMN0025_X,0.01,0,0.01,0,0.01,0.01
DMN0026_I,0,0,0,0,0,0
DMN0026_X,0,0.004079477,0,0,0,0
DMN0027_I,0,0,0,0,0,0
DMN0027_X,0.00886702,0,0.00886702,0.00886702,0,0.00886702
DMN0030_I,0,0,0.057124445,0,0,0
