Row,Hypodermis,Gonad,Glia,Pharynx,Body_wall_muscle,Neurons
BIO0001_I,0,0,0,0,0,0
BIO0001_X,0.486288412787242,0.486288412787232,0.486288429542761,0.486288412787244,0.486288429542757,0.486288412787243
BIO0002_I,0,0,0,0,0,0
BIO0002_X,1.69966744771781,1.69966744771394,1.69966714649533,1.69966744771782,1.69966714649148,1.69966745045281
BIO0003_I,0,0,0,0,0,0
BIO0003_X,0.0796624125823658,0.0796624125823641,0.0796624111675906,0.079662412582366,0.0796624111675893,0.0796624125823659
BIO0004_I,0,0,0,0,0,0
BIO0004_X,0.00686974758705357,0.00686974758705357,-1.55913377446788e-11,0.0068697475866689,-1.55913377446788e-11,0.0068697475866689
BIO0005_I,0.767205369320553,1.64633606848593,0.821519716815842,0.73498591541195,0.737245316452809,0.739514092298683
BIO0005_X,-0.84050711044012,-1.81579426722046,-0.893153125192979,-0.821475572231908,-0.821079357305472,-0.824950991981577
BIO0006_I,-0.208660863478629,-1.70733744347345,-0.814123755322496,0.00258921063249246,-0.0130128735970468,-0.0570800067711668
BIO0006_X,0.33514509868048,3.0178913301578,0.91951586243721,0.12389502456933,0.119497038885885,0.16247218379065
BIO0007_I,0.00999999999590727,-2.04636307898909e-12,0.00999999999589818,0.00999999999954525,0.00999999999908141,0.00999999999907919
BIO0007_X,0.0206733662694413,0.040673366269441,0.0206733584474368,0.030673366268986,0.0306733584469789,0.0306733662689977
BIO0008_I,0,0,0,0,0,0
BIO0008_X,0.0547818464431522,0.054781846443151,0.054781806296148,0.0547818464431523,0.0547818062961478,0.0547818464431523
BIO0009_I,3.05120838171372e-12,0,0,0,0,0
BIO0009_X,0.0247454643409822,0.0247454643409817,0.0247452673002891,0.0247454643409822,0.0247452673002892,0.0247454643409822
BIO0010_I,0,0,0,0,0,0
BIO0010_X,0.360262381907928,0.36026238190792,0.359127376820349,0.360262381907805,0.359127376820349,0.360262381907805
BIO0011_I,-0.157987497208733,-1.70169572282661,-0.763450396876215,-0.0118602996449187,-0.0270733737107274,-0.0670800067693365
BIO0011_X,0.207738026713525,2.86679445158708,0.803200897247701,0.0616108291497113,0.0668238740821786,0.106830536272092
BIO0012_I,6.82121026329696e-13,6.82121026329696e-13,6.82121026329696e-13,6.82121026329696e-13,6.82121026329696e-13,6.82121026329696e-13
BIO0012_X,-0.0244339137072044,-0.056486066244845,-0.0238778027923789,-0.0288298856073349,-0.027944680284903,-0.0284789665616466
BIO0013_I,0.383602684659935,0.823168034242623,0.41075985840758,0.367492957705634,0.368622658226063,0.369757046149001
BIO0013_X,-0.408036598366458,-0.879654100487809,-0.4346376612003,-0.396322843312287,-0.396567338510284,-0.398236012709965
BIO0014_I,-9.09494701772928e-13,-1.13686837721616e-12,-9.09494701772928e-13,-9.09494701772928e-13,-9.09494701772928e-13,-9.09494701772928e-13
BIO0014_X,0.0206733662694413,0.020673366269441,0.0206733584474383,0.0206733662694413,0.0206733584474382,0.0206733662694393
BIO0015_I,0,0,0,0,0,0
BIO0015_X,3.60262381907928e-05,3.60262381907921e-05,3.59127376820349e-05,3.60262381907805e-05,3.59127376820349e-05,3.60262381907805e-05
BIO0100_I,0,0,0,0,0,0
BIO0100_X,0,0,0.00711337424874883,0,0.00711337425547393,0
BIO0101_I,0,0,0,0,0,0
BIO0101_X,0.00113500530415504,0.00113500530414727,0.352013976135125,0.00113500532414108,0.352013975325034,0.00113500532414087
BIO0102_I,0,0,0,0,0,0
BIO0102_X,0,0,0,0,-9.59283371265506e-10,0
BIO0103_I,0,0,0,0,0,0
BIO0103_X,0.3591269391845,0.359126939190195,-8.14827322286053e-10,0.359126939164391,0,0.359126935106333
BIO0104_I,0,0,0,0,0,0
BIO0104_X,0,0,2.72515378075172e-08,0,2.81993674083839e-08,0
BIO0105_I,0,0,0,0,0,0
BIO0105_X,4.37419272945836e-07,4.37413577803956e-07,0,4.37419272265694e-07,0,4.41477330508327e-07
BIO0106_I,0,0,0,0,0,0
BIO0106_X,0,0,0,0,0,0
BIO0107_I,0,0,0,0,0,0
BIO0107_X,0,0,0,0,0,0
DGR0001_I,4.68342259983191,3.9813351244412,4.50824952387311,4.85508869213082,4.55460291735438,4.77219247797725
DGR0002_I,0.203481413062116,3.18181355937578,1.40761802819952,0.18354181384917,0.174723702931002,0.361231095268721
DGR0003_I,0.249306603018073,0.498985102109704,0.220748454435021,0.25467667284336,0.254238444589791,0.251576733557695
DGR0004_I,0.678221919023734,1.35745555641206,0.60053138816219,0.692830834383805,0.691638663765347,0.684397657140488
DGR0005_L,0.322957589745563,0.64639694234096,0.28596269782403,0.329914103478232,0.329346412374917,0.325898369807578
DGR0006_L,1.17526475490027,4.79157763023344,2.21312802080326,0.983306034541658,2.54888410035382,2.5221989428813
DGR0007_L,2.4994396011637,5.00260767065722,2.21312802080326,2.55327758627861,2.54888410035382,2.5221989428813
DGR0008_L,4.68342259983191,3.9813351244412,4.50824952387311,4.85508869213082,4.55460291735438,4.77219247797725
DGR0009_L,0.203481413062116,3.18181355937578,1.40761802819952,0.18354181384917,0.174723702931002,0.361231095268721
DGR0010_L,0.249306603018073,0.498985102109704,0.220748454435021,0.25467667284336,0.254238444589791,0.251576733557695
