Lreactions,Hreactions
BIO0003_I,DMN0073_X
BIO0004_X,RC00004_X
RC00009_X,RC00010_X
RC00028_X,RC00089_X
RC00178_X,RC00100_X
RC00199_X,RC00102_X
RC00366_X,RC00103_X
RC00551_X,RC00127_X
RC00619_I,RC00155_X
RC00711_X,RC00156_X
RC00748_X,RC00158_X
RC00801_X,RC00160_X
RC00842_X,RC00177_X
RC00875_X,RC00181_X
RC00893_I,RC00183_X
RC00893_X,RC00188_X
RC00988_X,RC00190_X
RC01055_X,RC00191_X
RC01072_X,RC00192_X
RC01101_X,RC00200_X
RC01103_X,RC00235_X
RC01168_I,RC00238_X
RC01184_I,RC00253_X
RC01274_I,RC00267_X
RC01274_X,RC00274_X
RC01375_I,RC00275_X
RC01375_X,RC00286_X
RC01514_I,RC00287_X
RC01514_X,RC00328_X
RC01616_X,RC00330_X
RC01814_I,RC00332_X
RC01814_X,RC00335_X
RC01815_I,RC00342_X
RC01844_X,RC00352_X
RC01896_X,RC00355_X
RC01956_I,RC00431_X
RC01956_X,RC00434_X
RC01959_X,RC00494_X
RC01975_X,RC00497_X
RC01998_X,RC00507_X
RC02286_X,RC00508_X
RC02397_X,RC00509_X
RC02640_X,RC00511_X
RC02665_X,RC00512_X
RC02670_X,RC00529_X
RC02695_X,RC00548_X
RC02697_X,RC00570_X
RC03300_X,RC00575_X
RC03302_X,RC00582_X
RC03315_X,RC00631_X
RC03421_I,RC00658_X
RC03542_X,RC00670_X
RC03599_I,RC00685_X
RC03618_X,RC00694_X
RC03634_X,RC00699_X
RC03755_X,RC00703_X
RC04171_I,RC00710_X
RC04171_X,RC00722_X
RC04183_X,RC00731_X
RC04262_X,RC00734_X
RC04323_I,RC00754_X
RC04323_X,RC00768_X
RC04620_X,RC00851_X
RC04807_I,RC00867_X
RC04996_X,RC00885_X
RC05861_X,RC00888_X
RC06264_I,RC00895_X
RC06518_I,RC00897_X
RC07041_X,RC00899_X
RC07050_X,RC00943_X
RC07212_I,RC00946_X
RC07213_I,RC00955_X
RC07213_X,RC00959_X
RC07218_X,RC00961_X
RC07296_X,RC00963_X
RC08223_X,RC00966_X
RC08505_I,RC01000_X
RC08723_X,RC01005_X
RC08724_X,RC01009_X
RC08725_I,RC01010_X
RC08734_X,RC01015_X
RC08759_I,RC01021_X
RC08761_I,RC01026_X
RC09394_X,RC01036_X
RC10059_I,RC01041_X
RCC0083_X,RC01054_X
RCC0084_X,RC01057_X
RCC0085_X,RC01061_X
RCC0086_X,RC01070_X
RCC0088_X,RC01082_X
RCC0089_X,RC01093_X
RCC0090_X,RC01095_X
RCC0091_X,RC01126_X
RCC0092_X,RC01130_X
RCC0093_X,RC01132_X
RCC0094_X,RC01134_X
RCC0095_X,RC01135_X
RCC0096_X,RC01137_X
RCC0097_X,RC01138_X
RCC0098_X,RC01167_X
RCC0103_X,RC01185_X
RCC0104_X,RC01186_X
RCC0106_X,RC01187_X
RCC0107_X,RC01206_X
RCC0125_X,RC01220_X
RCC0126_X,RC01227_X
RCC0156_X,RC01229_X
RCC0201_X,RC01230_X
RCC0206_X,RC01231_X
RCC0208_X,RC01234_X
RCC0209_X,RC01252_X
RCC0211_X,RC01262_X
RCC0213_X,RC01268_X
RCC0214_X,RC01280_X
RCC0218_X,RC01310_X
RE00548_I,RC01315_X
RE10092_X,RC01318_X
RM00199_X,RC01326_X
RM00371_I,RC01334_X
RM00371_X,RC01351_X
RM00711_X,RC01384_X
RM01616_I,RC01397_X
RM01616_X,RC01431_X
RM03425_X,RC01468_X
RM03524_X,RC01495_X
RM03905_I,RC01498_X
RM03905_X,RC01512_X
RM04432_X,RC01513_X
RM04807_I,RC01518_X
RM08505_I,RC01528_X
RM08759_I,RC01529_X
RM08761_I,RC01547_X
RMC0092_I,RC01560_X
RMC0092_X,RC01561_X
RMC0094_I,RC01567_X
RMC0094_X,RC01569_X
RMC0097_I,RC01600_X
RMC0097_X,RC01641_X
TCE5106_I,RC01655_X
RC02670_X,RC01658_X
RC02695_X,RC01664_X
RC02697_X,RC01665_X
RC02701_I,RC01687_X
RC02701_X,RC01704_X
RC02743_I,RC01724_X
RC02750_X,RC01752_X
RC02869_X,RC01758_X
RC02914_I,RC01759_X
RC03005_X,RC01768_X
RC03055_I,RC01769_X
RC03104_I,RC01786_X
RC03161_X,RC01787_X
RC03269_I,RC01799_X
RC03269_X,RC01802_X
RC03300_X,RC01815_X
RC03302_X,RC01819_X
RC03315_X,RC01829_X
RC03376_I,RC01830_X
RC03376_X,RC01857_X
RC03421_I,RC01863_X
RC03542_I,RC01870_X
RC03595_X,RC01923_X
RC03599_I,RC01961_X
RC03599_X,RC01968_X
RC03617_I,RC01969_X
RC03617_X,RC01993_X
RC03681_X,RC02003_X
RC03718_X,RC02016_X
RC03720_X,RC02030_X
RC03749_I,RC02051_X
RC03956_X,RC02053_X
RC04073_X,RC02055_X
RC04144_X,RC02058_X
RC04171_I,RC02061_X
RC04171_X,RC02078_X
RC04208_X,RC02080_X
RC04209_X,RC02088_X
RC04230_I,RC02090_X
RC04231_I,RC02093_X
RC04262_I,RC02099_X
RC04262_X,RC02102_X
RC04286_I,RC02103_X
RC04311_X,RC02107_X
RC04321_I,RC02124_X
RC04321_X,RC02142_X
RC04323_I,RC02147_X
RC04325_X,RC02239_X
RC04326_X,RC02240_X
RC04420_I,RC02241_X
RC04420_X,RC02245_X
RC04463_X,RC02250_X
RC04496_I,RC02265_X
RC04496_X,RC02294_X
RC04560_X,RC02295_X
RC04591_X,RC02297_X
RC04620_I,RC02323_X
RC04620_X,RC02326_X
RC04666_X,RC02331_X
RC04734_I,RC02383_X
RC04807_I,RC02389_X
RC04928_I,RC02396_X
RC04929_I,RC02478_X
RC04996_X,RC02484_X
RC05861_X,RC02531_X
RC05970_I,RC02556_X
RC05970_X,RC02557_X
RC05985_I,RC02577_X
RC05988_X,RC02619_X
RC06099_X,RC02678_X
RC06171_X,RC02687_X
RC06262_I,RC02701_X
RC06264_I,RC02719_X
RC06364_X,RC02736_X
RC06518_I,RC02739_X
RC06518_X,RC02740_X
RC07041_X,RC02746_X
RC07050_X,RC02748_X
RC07172_I,RC02749_X
RC07211_I,RC02902_X
RC07212_I,RC02918_X
RC07212_X,RC02957_X
RC07213_I,RC03004_X
RC07213_X,RC03038_X
RC07218_X,RC03104_X
RC07296_X,RC03161_X
RC07389_I,RC03219_X
RC07389_X,RC03283_X
RC07392_X,RC03321_X
RC08223_I,RC03332_X
RC08223_X,RC03346_X
RC08224_I,RC03361_X
RC08388_X,RC03362_X
RC08505_I,RC03363_X
RC08723_I,RC03394_X
RC08723_X,RC03416_X
RC08724_I,RC03430_X
RC08724_X,RC03433_X
RC08725_I,RC03435_X
RC08734_X,RC03469_X
RC08759_I,RC03552_X
RC08761_I,RC03596_X
RC09319_X,RC03601_X
RC09394_I,RC03646_X
RC09394_X,RC03648_X
RC09752_I,RC03650_X
RC09752_X,RC03652_X
RC09844_I,RC03654_X
RC10059_I,RC03655_X
RC10059_X,RC03656_X
RC10306_I,RC03657_X
RCC0010_I,RC03658_X
RCC0010_X,RC03659_X
RCC0018_I,RC03660_X
RCC0031_I,RC03661_X
RCC0031_X,RC03662_X
RCC0034_I,RC03663_X
RCC0034_X,RC03664_X
RCC0053_I,RC03665_X
RCC0069_X,RC03814_X
RCC0072_X,RC03875_X
RCC0088_X,RC03970_X
RCC0090_X,RC04162_X
RCC0092_X,RC04176_X
RCC0094_X,RC04184_X
RCC0095_X,RC04404_X
RCC0097_X,RC04452_X
RCC0098_X,RC04480_X
RCC0140_I,RC04513_X
RCC0142_I,RC04545_X
RCC0142_X,RC04780_X
RCC0156_I,RC04807_X
RCC0156_X,RC04823_X
RCC0174_I,RC04824_X
RCC0175_I,RC04866_X
RCC0180_X,RC04867_X
RCC0250_I,RC04903_X
RE00548_X,RC04928_X
RE00548_I,RC04929_X
RE10092_X,RC05050_X
RM00112_X,RC05052_X
RM00115_X,RC05556_X
RM00199_X,RC05577_X
RM00261_I,RC05578_X
RM00371_I,RC05623_X
RM00489_I,RC05692_X
RM00549_I,RC05795_X
RM00711_X,RC05802_X
RM00716_I,RC05803_X
RM00751_X,RC05976_X
RM00781_I,RC05979_X
RM01253_I,RC05980_X
RM01253_X,RC05981_X
RM01465_I,RC05982_X
RM01616_I,RC05983_X
RM01616_X,RC05985_X
RM02164_I,RC05988_X
RM02301_I,RC05989_X
RM02313_I,RC06259_X
RM03905_I,RC06261_X
RM03905_X,RC06520_X
RM04807_I,RC06521_X
RM07411_X,RC06522_X
RM08505_I,RC06983_X
RM08759_I,RC07034_X
RM08761_I,RC07109_X
RM08774_I,RC07140_X
RM08775_I,RC07172_X
RMC0006_I,RC07212_X
RMC0007_I,RC07299_X
RMC0008_I,RC07324_X
RMC0077_I,RC07377_X
RMC0092_I,RC07379_X
RMC0092_X,RC07380_X
