,Intestine
BIO0001_I,0.48628785
BIO0002_I,1.699665185
BIO0003_I,0.079661731
BIO0004_I,0.006871554
BIO0005_I,0.784222626
BIO0006_I,-0.201733081
BIO0007_I,0.059807044
BIO0008_I,0.054781348
BIO0009_I,0.024745436
BIO0010_I,0.360262549
BIO0011_I,-0.289646196
BIO0012_I,-1.40E-02
BIO0013_I,3.99E-01
BIO0014_I,0.030673269
BIO0015_I,3.59E-05
BIO0100_I,0
BIO0101_I,0.00104074
BIO0102_I,0
BIO0103_I,0.359221809
BIO0104_I,0
BIO0105_I,0
BIO0106_I,0
BIO0107_I,0.00E+00
DGR0001_I,1.06E+01
DGR0002_I,1.369992222
DGR0003_I,0.395030632
DGR0004_I,1.07E+00
DGR0005_L,0.511731897
DGR0006_L,3.960405358
DGR0007_L,3.96E+00
DGR0008_L,10.60659148
DGR0009_L,1.369992222
DGR0010_L,0.395030632
DGR0011_L,0.08017867
DGR0012_I,0.08017867
DGR0013_L,0.032994137
DGR0014_L,0.032994137
DGR0015_L,0.032994137
DGR0016_I,0.032994137
DGR0017_I,0.032994137
DGR0018_L,0.383822463
DGR0019_I,0.383822463
DGR0020_L,0.09200479
DGR0021_I,0.117600084
DGR0022_L,0.025595294
DGR0023_I,0.025595294
DGR0024_I,0.025595294
DGR0025_L,0.010309351
DGR0026_I,0.010309351
DGR0027_L,0.537807206
DGR0028_I,0.537807206
DGR0029_E,0
DGR0029_L,0.003576246
DMN0001_I,0.00E+00
DMN0002_I,0
DMN0005_I,0
DMN0006_I,0.000886263
DMN0007_I,0
DMN0008_I,0.009026154
DMN0009_I,0.01
DMN0015_I,0
DMN0017_I,0
DMN0018_I,0
DMN0020_I,0
DMN0021_I,0
DMN0022_I,0
DMN0023_I,0.005158237
DMN0024_I,0.006145663
DMN0025_I,0
DMN0026_I,0
DMN0027_I,0.00886702
DMN0030_I,0
DMN0031_I,0
DMN0032_I,0
DMN0033_I,0
DMN0034_I,0
DMN0035_I,0.01
DMN0038_I,0.00E+00
DMN0039_I,0
DMN0040_I,0
DMN0041_I,0.00E+00
DMN0042_I,1.00E-02
DMN0043_I,0
DMN0044_I,0.002312172
DMN0046_I,0
DMN0047_I,0.004401366
DMN0048_I,0.003329014
DMN0054_I,0
DMN0055_I,0
DMN0057_I,0.01
DMN0058_I,0.008136443
DMN0059_I,0.01
DMN0060_I,0.01
DMN0061_I,0.01
DMN0062_I,0.01
DMN0063_I,0.01
DMN0064_I,0.01
DMN0065_I,0.01
DMN0066_I,0.00606857
DMN0067_I,0
DMN0068_I,0.01
DMN0072_I,0.10105695
DMN0073_I,0.02
DMN0075_I,0.01
DMN0077_I,0
DMN0078_I,0
DMN0080_I,0.142814429
DMN0082_I,0.01
DMN0083_I,0.012242159
DMN0084_I,0
DMN0085_I,0
DMN0086_I,0
DMN0100_I,0
DMN1001_I,0
DMN1004_I,1.00E-02
DMN1005_I,0
DMN1006_I,0.01
DMN1007_I,0.01
EX00001_E,2.300248678
EX00002_E,0
EX00007_E,-20.60762403
EX00009_E,1.903892521
EX00011_E,14.60775094
EX00014_E,5.69E+00
EX00016_E,0
EX00018_E,0
EX00019_E,0
EX00020_E,0.00036775
EX00021_E,0.197412975
EX00022_E,0.051898504
EX00025_E,0
EX00026_E,0
EX00027_E,0
EX00031_E,0
EX00032_E,0
