Lreactions,Hreactions
BIO0003_I,DMN0073_X
BIO0003_X,RC00004_X
BIO0004_I,RC00010_X
BIO0004_X,RC00089_X
RC00009_X,RC00100_X
RC00028_X,RC00102_X
RC00078_X,RC00103_X
RC00174_I,RC00127_X
RC00178_X,RC00155_X
RC00199_X,RC00156_X
RC00220_X,RC00158_X
RC00233_X,RC00160_X
RC00251_X,RC00177_X
RC00257_X,RC00181_X
RC00261_I,RC00183_X
RC00293_I,RC00188_X
RC00293_X,RC00190_X
RC00306_X,RC00191_X
RC00366_X,RC00192_X
RC00416_I,RC00200_X
RC00416_X,RC00235_X
RC00424_X,RC00238_X
RC00426_I,RC00253_X
RC00475_X,RC00267_X
RC00485_I,RC00274_X
RC00485_X,RC00275_X
RC00489_I,RC00286_X
RC00509_I,RC00287_X
RC00529_I,RC00328_X
RC00549_I,RC00330_X
RC00551_X,RC00332_X
RC00554_X,RC00335_X
RC00571_X,RC00342_X
RC00573_X,RC00352_X
RC00578_X,RC00355_X
RC00602_X,RC00431_X
RC00619_I,RC00434_X
RC00619_X,RC00494_X
RC00650_X,RC00497_X
RC00662_I,RC00507_X
RC00678_I,RC00508_X
RC00678_X,RC00509_X
RC00685_I,RC00511_X
RC00698_X,RC00512_X
RC00699_I,RC00529_X
RC00703_I,RC00548_X
RC00711_X,RC00570_X
RC00720_I,RC00575_X
RC00731_I,RC00582_X
RC00736_I,RC00631_X
RC00748_X,RC00658_X
RC00801_X,RC00670_X
RC00842_I,RC00685_X
RC00842_X,RC00694_X
RC00847_X,RC00699_X
RC00875_X,RC00703_X
RC00893_I,RC00710_X
RC00893_X,RC00722_X
RC00905_X,RC00731_X
RC00955_I,RC00734_X
RC00965_X,RC00754_X
RC00978_X,RC00768_X
RC00987_X,RC00851_X
RC00988_X,RC00867_X
RC00996_X,RC00885_X
RC01000_I,RC00888_X
RC01011_X,RC00895_X
RC01013_X,RC00897_X
RC01018_X,RC00899_X
RC01023_I,RC00943_X
RC01023_X,RC00946_X
RC01051_X,RC00955_X
RC01054_I,RC00959_X
RC01055_X,RC00961_X
RC01066_X,RC00963_X
RC01072_X,RC00966_X
RC01092_X,RC01000_X
RC01100_X,RC01005_X
RC01101_X,RC01009_X
RC01103_X,RC01010_X
RC01121_X,RC01015_X
RC01123_I,RC01021_X
RC01127_X,RC01026_X
RC01154_I,RC01036_X
RC01154_X,RC01041_X
RC01167_I,RC01054_X
RC01168_I,RC01057_X
RC01184_I,RC01061_X
RC01268_I,RC01070_X
RC01269_I,RC01082_X
RC01269_X,RC01093_X
RC01274_I,RC01095_X
RC01274_X,RC01126_X
RC01290_X,RC01130_X
RC01321_I,RC01132_X
RC01321_X,RC01134_X
RC01372_X,RC01135_X
RC01375_I,RC01137_X
RC01375_X,RC01138_X
RC01378_I,RC01167_X
RC01415_X,RC01185_X
RC01494_X,RC01186_X
RC01514_I,RC01187_X
RC01514_X,RC01206_X
RC01570_I,RC01220_X
RC01570_X,RC01227_X
RC01616_X,RC01229_X
RC01639_X,RC01230_X
RC01663_I,RC01231_X
RC01663_X,RC01234_X
RC01682_I,RC01252_X
RC01737_I,RC01262_X
RC01793_I,RC01268_X
RC01794_I,RC01280_X
RC01795_I,RC01310_X
RC01802_I,RC01315_X
RC01814_I,RC01318_X
RC01814_X,RC01326_X
RC01815_I,RC01334_X
RC01844_I,RC01351_X
RC01844_X,RC01384_X
RC01855_I,RC01397_X
RC01876_I,RC01431_X
RC01876_X,RC01468_X
RC01878_X,RC01495_X
RC01896_X,RC01498_X
RC01904_X,RC01512_X
RC01909_I,RC01513_X
RC01920_X,RC01518_X
RC01931_X,RC01528_X
RC01951_X,RC01529_X
RC01956_I,RC01547_X
RC01956_X,RC01560_X
RC01959_X,RC01561_X
RC01960_I,RC01567_X
RC01960_X,RC01569_X
RC01975_X,RC01600_X
RC01998_X,RC01641_X
RC02017_I,RC01655_X
RC02017_X,RC01658_X
RC02018_I,RC01664_X
RC02018_X,RC01665_X
RC02019_I,RC01687_X
RC02019_X,RC01704_X
RC02024_I,RC01724_X
