,Body_wall_muscle,Glia,Gonad,Hypodermis,Neurons,Pharynx
BIO0001_I,0,0,2.05E-12,0,0,0
BIO0001_X,0.486288413,0.486288056,0.486288413,0.486287822,0.486288413,0.486288413
BIO0002_I,0,0,0,0,0,0
BIO0002_X,1.699667153,1.699666016,1.69966745,1.699665089,1.699667075,1.69966745
BIO0003_I,0,0,0,0,0,0
BIO0003_X,0.079662413,0.079662354,0.079662413,0.079662316,0.079662411,0.079662413
BIO0004_I,0,0,0,0,0,0
BIO0004_X,0.006869748,6.87E-03,0.006869748,0.006869748,0,0.006869748
BIO0005_I,0.66925831,0.737666046,0.74209445,0.775767407,0.69918637,0.737164659
BIO0005_X,-0.764682223,-0.823355991,-0.827775879,-0.847893919,-0.790137331,-0.823355988
BIO0006_I,0.612995315,-0.039375561,-0.059296109,-0.290654551,0.32896844,-0.018283409
BIO0006_X,-0.50651115,0.144767668,0.19382843,0.41713867,-0.223576335,0.144767645
BIO0007_I,0.00E+00,-2.05E-12,-2.05E-12,-2.05E-12,-1.82E-12,-4.55E-12
BIO0007_X,0.040673358,0.030673358,0.020673366,0.030673353,0.030673358,0.030673366
BIO0008_I,0,0,0,0,0,0
BIO0008_X,0.054781806,0.054781806,0.054781846,0.05478178,0.054781805,0.054781846
BIO0009_I,0,0,0,0,0,0
BIO0009_X,0.024745263,0.024745446,0.024745464,0.024745434,0.024745263,0.024745464
BIO0010_I,0,0,0,0,0,0
BIO0010_X,0.360262382,0.36026212,0.360262382,0.360261947,0.358051011,0.360262382
BIO0011_I,0.531293285,-0.039375561,-0.049785064,-0.290654551,0.250642009,-0.010859472
BIO0011_X,-0.491542784,0.079126061,0.099535593,0.340405032,-0.210891509,0.060610002
BIO0012_I,0.00E+00,6.82E-13,6.82E-13,6.82E-13,6.82E-13,6.82E-13
BIO0012_X,-3.18E-02,-0.028563315,-2.86E-02,-2.40E-02,-0.030316987,-2.87E-02
BIO0013_I,0.334629155,0.368833023,0.371047225,0.387883703,0.349593185,0.368582329
BIO0013_X,-0.366437126,-0.397396338,-0.399607701,-0.411925874,-0.379910172,-0.397312773
BIO0014_I,0.00E+00,-9.09E-13,-1.36E-12,-1.36E-12,-9.09E-13,-1.36E-12
BIO0014_X,0.020673358,0.020673358,0.020673366,0.020673353,0.020673358,0.020673366
BIO0015_I,0,0,0,0,0,0
BIO0015_X,3.59E-05,3.60E-05,3.60E-05,3.60E-05,3.58E-05,3.60E-05
BIO0100_I,0,0,0,0,0,0
BIO0100_X,0,0,0,0,0,0
BIO0101_I,0,0,0,0,0,0
BIO0101_X,0.001135005,0.001134743,0.001135005,0.001134571,0.358051011,0.001135005
BIO0102_I,0,0,0,0,0,0
BIO0102_X,0,0,0,0,0,0
BIO0103_I,0,0,0,0,0,0
BIO0103_X,0.359127377,3.59E-01,0.359126935,0.359127377,0,0.359126935
BIO0104_I,0,0,0,0,0,0
BIO0104_X,0,0,0,0,0,0
BIO0105_I,0,0,0,0,0,0
BIO0105_X,0,1.62E-07,4.41E-07,0,-6.09E-10,4.41E-07
BIO0106_I,0,0,0,0,0,0
BIO0106_X,0,0,0,0,8.10E-10,0
BIO0107_I,0,0,0,0,0,0
BIO0107_X,0,0,0,0,0,0
DGR0001_I,6.309718794,5.478756996,5.521670748,4.953057986,5.449160263,4.895438186
DGR0002_I,0.482322168,0.150587281,0.19883694,0.3001777,0.636344695,0.22457388
DGR0003_I,0.280984404,0.085453843,0.252296772,0.049624019,0.267813389,0.253798222
DGR0004_I,0.764399255,0.686424686,0.686356474,0.668837331,0.728568391,0.690441066
DGR0005_L,0.363993752,0.326863606,0.326831125,0.318488811,0.346931712,0.328776137
DGR0006_L,2.81702746,0.36026212,2.317199554,1.175264755,2.684980591,0
DGR0007_L,2.81702746,2.529669118,2.529417737,2.46485474,2.684980591,2.544470615
DGR0008_L,6.309718794,5.478756996,5.521670748,4.953057986,5.449160263,4.895438186
DGR0009_L,0.482322168,0.150587281,0.19883694,0.3001777,0.636344695,0.22457388
DGR0010_L,0.280984404,0.085453843,0.252296772,0.049624019,0.267813389,0.253798222
DGR0011_L,0.034964117,0.034964227,0.034964238,0.039377753,0.034964117,0.039964238
DGR0012_I,0.034964117,0.034964227,0.034964238,0.039377753,0.034964117,0.039964238
DGR0013_L,0.023468656,0.01,0.01,0.020534705,0.022368573,0.021197985
DGR0014_L,0.023468656,0.01,0.01,0.006589557,0.01,0.01
DGR0015_L,0.023468656,0.009382959,0.01,0.020534705,0.022368573,0.021197985
DGR0016_I,0.023468656,0.01,0.01,0.006589557,0.01,0.01
DGR0017_I,0.023468656,0.009382959,0.01,0.020534705,0.022368573,0.021197985
DGR0018_L,0.273012058,0.24516274,0.245138378,0.238881258,0.260214743,0.246597227
DGR0019_I,0.273012058,0.24516274,0.245138378,0.238881258,0.260214743,0.246597227
DGR0020_L,0.065442801,0.058767135,0.058761295,0.057261422,0.062375199,0.05911099
DGR0021_I,0.083648676,0.075115872,0.075108407,0.073191277,0.079727683,0.075555387
DGR0022_L,0.018205876,0.016348737,0.016347112,0.015929855,0.017352483,0.016444396
DGR0023_I,0.018205876,0.016348737,0.016347112,0.015929855,0.017352483,0.016444396
DGR0024_I,0.018205876,0.016348737,0.016347112,0.015929855,0.017352483,0.016444396
DGR0025_L,0.007333018,0.006584994,0.00658434,0.006416276,0.006989286,0.006623524
DGR0026_I,0.007333018,0.006584994,0.00658434,0.006416276,0.006989286,0.006623524
DGR0027_L,0.382541061,0.343518948,0.343484811,0.334717414,0.364609624,0.345528932
DGR0028_I,0.382541061,0.343518948,0.343484811,0.334717414,0.364609624,0.345528932
DGR0029_E,0,0,0,0,0,0
DGR0029_L,0.002543776,0.000325317,0.002092431,0.001061264,0.002424537,0
DMN0001_I,0,0,0,0,0,0
DMN0001_X,0,0,0.021856877,0.00E+00,0.014812688,0
DMN0002_I,0.000563405,7.21E-05,0.00046344,0.000235053,0.000536996,0
DMN0002_X,0,0,0.00046344,0,0,0
DMN0005_I,0.00E+00,4.55E-13,4.55E-13,4.55E-13,4.55E-13,4.55E-13
DMN0005_X,0.00E+00,1.25E-12,0,0.00E+00,4.55E-13,4.55E-13
DMN0006_I,0,-4.55E-13,0,0,0,0
DMN0006_X,0.000886263,-1.25E-12,0.000886263,0,0,0
DMN0007_I,0,0,0,0,0.00E+00,0
DMN0007_X,0,0,0,0,0,0
DMN0008_I,0.00244378,0.000249662,0.001997207,0.000977459,0.002326077,0
DMN0008_X,0,0,0,0,0,0
DMN0009_I,0,-4.55E-13,0,0,0,0
DMN0009_X,0.01,0.01,0,0.01,0.01,0.01
DMN0015_I,0,0,0,0,0,0
DMN0015_X,0,0.01,0,0.01,0,0
DMN0017_I,0,0,0,0,0,0
DMN0017_X,0,0,0,0,0.003516315,0
DMN0018_I,0,0,0,0,0,0
DMN0018_X,0,0,0,0,0,0
DMN0020_I,0,0,0,0,0,0
DMN0020_X,0.01,0,0,0,0.01,0.01
DMN0021_I,0,-4.55E-13,0,0,0.00E+00,0
DMN0021_X,0.01,-4.55E-13,0.01,0,0,0.01
DMN0022_I,0,0,0,0,0,0
DMN0022_X,0,0,0.005011952,0,0,0
DMN0023_I,0,0,0,0.00E+00,0,0
DMN0023_X,0,0,0.005158237,0.005158237,0,0
DMN0024_I,0,0,0,0,0,0
DMN0024_X,0,0,0,0,0,0
DMN0025_I,0,0,0,0,0,0
DMN0025_X,0.01,-6.82E-13,0.01,0.01,0.01,0.01
DMN0026_I,0,0,0,0,0,0
DMN0026_X,0,0,0,0,0,0
DMN0027_I,0,-4.55E-13,0,0,0,0
DMN0027_X,0.00886702,-4.55E-13,0.00886702,0.00886702,0,0.00886702
DMN0030_I,0,-3.47E-18,0,0,0.00E+00,0
DMN0030_X,0,0,0,0,0,0
DMN0031_I,0.00E+00,-2.78E-17,0,0,5.55E-17,0
DMN0031_X,0,0,0,0,0,0
DMN0032_I,0,-6.94E-18,0.00E+00,6.94E-18,0,0
DMN0032_X,0,0,0,0,0,0
DMN0033_I,0,0,0,0,0,0
DMN0033_X,0,0,0.01,0,0,0
DMN0034_I,0,0,0,0,0,0
DMN0034_X,0,0,0,0,0,0
DMN0035_I,0,0,0,0,0,0
DMN0035_X,0.00E+00,0,0,0.00E+00,0,0
DMN0038_I,0,0,0,0,0,0
DMN0038_X,0,0,0,0,0,0
DMN0039_I,0,-4.55E-13,0,0,0,0
DMN0039_X,0.01,0.01,0,0,0.01,0
DMN0040_I,0,0,0,0,0,0
DMN0040_X,0,0,0,0,0,0
DMN0041_I,0,0,0,0,0,0
DMN0041_X,0,0,0.00E+00,0,0,0.00E+00
DMN0042_I,0,-4.55E-13,0,0,0,0
DMN0042_X,0,-4.55E-13,0,0,0,0
DMN0043_I,0,0.00E+00,0.00E+00,0,1.99E-15,0
DMN0043_X,0.00E+00,-6.82E-13,0,0.00E+00,0,0
DMN0044_I,-7.25E-07,-1.51E-06,-1.54E-06,-1.84E-06,-1.07E-06,-1.49E-06
DMN0044_X,1.02E-06,1.79E-06,0.002315792,0.002316055,1.36E-06,0.00E+00
DMN0046_I,0,0,0,0,0,0
DMN0046_X,0,0,0,0,0,0
DMN0047_I,0,0,0,0,0,0
DMN0047_X,0.004401366,0,0.004401366,0.004401366,0.004401366,0
DMN0048_I,0,0,0,0,0,0
DMN0048_X,0,0,0,0,0,0.010000006
DMN0054_I,0,0,0,0,0,0
DMN0054_X,0,0,0,0,0,0
DMN0055_I,0,0,0,0,0,0
DMN0055_X,0,0,0,0,0,0
DMN0057_I,0,0,0,0,0,0
DMN0057_X,0.01,0.01,0.01,0.01,0.01,0.01
DMN0058_I,0,-4.55E-13,0,0,0,0
DMN0058_X,0.008136443,0.008136443,0,0.008136443,0,0.008136443
DMN0059_I,0,-4.55E-13,0,0,0,0
DMN0059_X,0.01,0.01,0,0.01,0.02,0.01
DMN0060_I,0,-4.55E-13,0,0,0,0
DMN0060_X,0.01,0.01,0.01,0.01,0.01,0.01
DMN0061_I,0,-4.55E-13,0,0,0,0
DMN0061_X,0,-4.55E-13,0,0,0,0
DMN0062_I,0,-3.18E-12,0,0,0,0
DMN0062_X,0.01,0.01,0,0.01,0.01,0.01
DMN0063_I,0,0,0,0,0,0
DMN0063_X,0,0,0,0,0,0
DMN0064_I,0,0,0,0,0,0
DMN0064_X,0,0.01,0.01,0.01,0,0.01
DMN0065_I,0,0,0,0,0,0
DMN0065_X,0,0,0,0,0,0
DMN0066_I,0,0,0,0,0,0
DMN0066_X,0,0,0,0,0,0
DMN0067_I,0,0,0,0,0,0
DMN0067_X,0,0,0.00E+00,0,0.01,0
DMN0068_I,0,0,0,0,0,0
DMN0068_X,0,-1.36E-12,0,0,0,0
DMN0072_I,0,-4.50E-12,0,0,0,0
DMN0072_X,0.072088297,0.082088534,0,0.090915585,0.072088297,0.092088557
