Lreactions,Hreactions
BIO0003_I,DMN0073_X
BIO0004_X,RC00004_X
RC00009_X,RC00010_X
RC00178_X,RC00028_X
RC00199_X,RC00089_X
RC00366_X,RC00093_X
RC00551_X,RC00100_X
RC00619_I,RC00102_X
RC00711_X,RC00127_X
RC00765_X,RC00156_X
RC00842_X,RC00158_X
RC00893_I,RC00181_X
RC00893_X,RC00183_X
RC01168_I,RC00185_X
RC01184_I,RC00191_X
RC01274_I,RC00192_X
RC01375_I,RC00200_X
RC01375_X,RC00233_X
RC01514_I,RC00235_X
RC01616_X,RC00238_X
RC01663_X,RC00253_X
RC01814_I,RC00257_X
RC01815_I,RC00267_X
RC01815_X,RC00275_X
RC01844_X,RC00289_X
RC01904_X,RC00330_X
RC01956_I,RC00335_X
RC01956_X,RC00342_X
RC01960_X,RC00355_X
RC02059_X,RC00359_X
RC02519_X,RC00369_X
RC02665_X,RC00431_X
RC02670_X,RC00434_X
RC02695_X,RC00485_X
RC02697_X,RC00494_X
RC03300_X,RC00511_X
RC03302_X,RC00512_X
RC03421_I,RC00513_X
RC03599_I,RC00548_X
RC04171_I,RC00554_X
RC04171_X,RC00570_X
RC04323_I,RC00575_X
RC04620_X,RC00582_X
RC04807_I,RC00585_X
RC04996_X,RC00631_X
RC05861_X,RC00658_X
RC06264_I,RC00670_X
RC06518_I,RC00694_X
RC06518_X,RC00703_X
RC07041_X,RC00710_X
RC07212_I,RC00722_X
RC07212_X,RC00734_X
RC07213_I,RC00748_X
RC07218_X,RC00754_X
RC08505_I,RC00768_X
RC08725_I,RC00782_X
RC08759_I,RC00801_X
RC08761_I,RC00847_X
RC10059_I,RC00851_X
RCC0069_X,RC00867_X
RCC0072_X,RC00875_X
RCC0088_X,RC00895_X
RCC0090_X,RC00897_X
RCC0092_X,RC00899_X
RCC0094_X,RC00905_X
RCC0095_X,RC00959_X
RCC0097_X,RC00963_X
RCC0098_X,RC00964_X
RCC0156_X,RC01000_X
RCC0201_X,RC01001_X
RCC0206_X,RC01010_X
RCC0208_X,RC01015_X
RCC0209_X,RC01021_X
RCC0211_X,RC01026_X
RCC0213_X,RC01049_X
RCC0214_X,RC01057_X
RCC0218_X,RC01061_X
RE00548_I,RC01070_X
RM00199_X,RC01082_X
RM00371_I,RC01083_X
RM00371_X,RC01100_X
RM00711_X,RC01101_X
RM01616_I,RC01103_X
RM01616_X,RC01121_X
RM03524_X,RC01126_X
RM03905_I,RC01130_X
RM04432_X,RC01134_X
RM04807_I,RC01135_X
RM08505_I,RC01137_X
RM08759_I,RC01138_X
RM08761_I,RC01227_X
RMC0092_I,RC01230_X
RMC0092_X,RC01231_X
RMC0094_I,RC01234_X
RMC0094_X,RC01252_X
RMC0097_I,RC01262_X
RMC0097_X,RC01269_X
TCE5106_I,RC01274_X
RC01280_X,RC01280_X
RC01281_X,RC01281_X
RC01290_X,RC01290_X
RC01310_X,RC01310_X
RC01315_X,RC01315_X
RC01318_X,RC01318_X
RC01326_X,RC01326_X
RC01334_X,RC01334_X
RC01397_X,RC01397_X
RC01468_X,RC01468_X
RC01498_X,RC01498_X
RC01512_X,RC01512_X
RC01518_X,RC01518_X
RC01528_X,RC01528_X
RC01547_X,RC01547_X
RC01569_X,RC01569_X
RC01600_X,RC01600_X
RC01641_X,RC01641_X
RC01664_X,RC01664_X
RC01665_X,RC01665_X
RC01687_X,RC01687_X
RC01724_X,RC01724_X
RC01752_X,RC01752_X
RC01786_X,RC01786_X
RC01829_X,RC01829_X
RC01830_X,RC01830_X
RC01843_X,RC01843_X
RC01857_X,RC01857_X
RC01896_X,RC01896_X
RC01923_X,RC01923_X
RC01931_X,RC01931_X
RC01961_X,RC01961_X
RC01968_X,RC01968_X
RC01993_X,RC01993_X
RC02016_X,RC02016_X
RC02030_X,RC02030_X
RC02038_X,RC02038_X
RC02051_X,RC02051_X
RC02053_X,RC02053_X
RC02061_X,RC02061_X
RC02082_X,RC02082_X
RC02088_X,RC02088_X
RC02093_X,RC02093_X
RC02102_X,RC02102_X
RC02110_X,RC02110_X
RC02124_X,RC02124_X
RC02239_X,RC02239_X
RC02240_X,RC02240_X
RC02241_X,RC02241_X
RC02245_X,RC02245_X
RC02250_X,RC02250_X
RC02251_X,RC02251_X
RC02265_X,RC02265_X
RC02269_X,RC02269_X
RC02323_X,RC02323_X
RC02326_X,RC02326_X
RC02331_X,RC02331_X
RC02367_X,RC02367_X
RC02396_X,RC02396_X
RC02541_X,RC02541_X
RC02619_X,RC02619_X
RC02678_X,RC02678_X
RC02687_X,RC02687_X
RC02719_X,RC02719_X
RC02731_X,RC02731_X
RC02732_X,RC02732_X
RC02737_X,RC02737_X
RC02739_X,RC02739_X
RC02740_X,RC02740_X
RC02746_X,RC02746_X
RC02757_X,RC02757_X
RC02778_X,RC02778_X
RC02918_X,RC02918_X
RC02957_X,RC02957_X
RC03020_X,RC03020_X
RC03038_X,RC03038_X
RC03055_X,RC03055_X
RC03104_X,RC03104_X
RC03105_X,RC03105_X
RC03106_X,RC03106_X
RC03219_X,RC03219_X
RC03283_X,RC03283_X
RC03321_X,RC03321_X
RC03332_X,RC03332_X
RC03346_X,RC03346_X
RC03361_X,RC03361_X
RC03362_X,RC03362_X
RC03363_X,RC03363_X
RC03376_X,RC03376_X
RC03416_X,RC03416_X
RC03435_X,RC03435_X
RC03469_X,RC03469_X
RC03552_X,RC03552_X
RC03596_X,RC03596_X
RC03601_X,RC03601_X
RC03618_X,RC03618_X
RC03634_X,RC03634_X
RC03646_X,RC03646_X
RC03648_X,RC03648_X
RC03650_X,RC03650_X
RC03652_X,RC03652_X
RC03654_X,RC03654_X
RC03655_X,RC03655_X
RC03656_X,RC03656_X
RC03657_X,RC03657_X
RC03658_X,RC03658_X
RC03659_X,RC03659_X
RC03660_X,RC03660_X
RC03661_X,RC03661_X
RC03662_X,RC03662_X
RC03663_X,RC03663_X
RC03664_X,RC03664_X
RC03665_X,RC03665_X
RC03681_X,RC03681_X
RC03755_X,RC03755_X
RC03814_X,RC03814_X
RC03875_X,RC03875_X
RC03956_X,RC03956_X
RC03970_X,RC03970_X
RC04073_X,RC04073_X
RC04162_X,RC04162_X
RC04176_X,RC04176_X
RC04183_X,RC04183_X
RC04184_X,RC04184_X
RC04404_X,RC04404_X
RC04452_X,RC04452_X
RC04480_X,RC04480_X
RC04513_X,RC04513_X
RC04559_X,RC04559_X
RC04666_X,RC04666_X
RC04770_X,RC04770_X
RC04779_X,RC04779_X
RC04780_X,RC04780_X
RC04823_X,RC04823_X
RC04824_X,RC04824_X
RC04866_X,RC04866_X
RC04867_X,RC04867_X
RC04903_X,RC04903_X
RC05050_X,RC05050_X
RC05052_X,RC05052_X
RC05577_X,RC05577_X
RC05578_X,RC05578_X
RC05623_X,RC05623_X
RC05795_X,RC05795_X
RC05802_X,RC05802_X
RC05976_X,RC05976_X
RC05979_X,RC05979_X
RC05980_X,RC05980_X
RC05981_X,RC05981_X
RC05982_X,RC05982_X
RC05985_X,RC05985_X
RC05988_X,RC05988_X
RC05989_X,RC05989_X
RC06099_X,RC06099_X
RC06519_X,RC06519_X
RC06520_X,RC06520_X
RC06521_X,RC06521_X
RC06522_X,RC06522_X
RC06983_X,RC06983_X
RC07140_X,RC07140_X
RC07296_X,RC07296_X
RC07324_X,RC07324_X
RC07377_X,RC07377_X
RC07379_X,RC07379_X
RC07380_X,RC07380_X
RC07385_X,RC07385_X
RC07387_X,RC07387_X
RC07641_X,RC07641_X
RC07758_X,RC07758_X
RC07759_X,RC07759_X
RC07761_X,RC07761_X
RC07933_X,RC07933_X
RC08174_X,RC08174_X
RC08177_X,RC08177_X
RC08183_X,RC08183_X
RC08218_X,RC08218_X
RC08379_X,RC08379_X
RC08381_X,RC08381_X
RC08383_X,RC08383_X
RC08969_X,RC08969_X
RC09035_X,RC09035_X
RC09036_X,RC09036_X
RC09085_X,RC09085_X
RC09086_X,RC09086_X
RC09319_X,RC09319_X
RC09394_X,RC09394_X
RC09510_X,RC09510_X
RC09511_X,RC09511_X
RC09845_X,RC09845_X
RC10059_X,RC10059_X
RC10092_X,RC10092_X
RC10306_X,RC10306_X
RC10633_X,RC10633_X
RC10928_X,RC10928_X
RC10951_X,RC10951_X
RCC0019_X,RCC0019_X
RCC0022_X,RCC0022_X
RCC0032_X,RCC0032_X
RCC0033_X,RCC0033_X
RCC0037_X,RCC0037_X
RCC0038_X,RCC0038_X
RCC0039_X,RCC0039_X
RCC0040_X,RCC0040_X
RCC0041_X,RCC0041_X
RCC0042_X,RCC0042_X
RCC0043_X,RCC0043_X
RCC0044_X,RCC0044_X
RCC0045_X,RCC0045_X
RCC0046_X,RCC0046_X
RCC0050_X,RCC0050_X
RCC0055_X,RCC0055_X
RCC0056_X,RCC0056_X
RCC0058_X,RCC0058_X
RCC0060_X,RCC0060_X
RCC0061_X,RCC0061_X
