Lreactions,Hreactions
BIO0003_I,BIO0003_X
RC00009_X,BIO0004_X
RC00078_X,DMN0073_X
RC00178_X,RC00004_X
RC00424_X,RC00010_X
RC00551_X,RC00100_X
RC00578_X,RC00102_X
RC00619_I,RC00115_X
RC00711_X,RC00127_X
RC00842_X,RC00137_X
RC00847_X,RC00155_X
RC00875_X,RC00156_X
RC00893_I,RC00158_X
RC00893_X,RC00161_X
RC00978_X,RC00174_X
RC00987_X,RC00177_X
RC01013_X,RC00183_X
RC01023_X,RC00185_X
RC01055_X,RC00188_X
RC01101_X,RC00192_X
RC01103_X,RC00200_X
RC01168_I,RC00233_X
RC01184_I,RC00235_X
RC01184_X,RC00238_X
RC01274_I,RC00253_X
RC01274_X,RC00257_X
RC01290_X,RC00267_X
RC01334_X,RC00274_X
RC01372_X,RC00275_X
RC01375_I,RC00277_X
RC01375_X,RC00278_X
RC01415_X,RC00286_X
RC01514_I,RC00289_X
RC01814_I,RC00291_X
RC01814_X,RC00328_X
RC01815_I,RC00330_X
RC01844_X,RC00332_X
RC01896_X,RC00335_X
RC01904_X,RC00342_X
RC01956_I,RC00352_X
RC01956_X,RC00416_X
RC01960_X,RC00434_X
RC01975_X,RC00497_X
RC01998_X,RC00508_X
RC02017_X,RC00509_X
RC02018_X,RC00511_X
RC02019_X,RC00512_X
RC02024_X,RC00513_X
RC02037_X,RC00527_X
RC02059_X,RC00529_X
RC02080_X,RC00548_X
RC02266_X,RC00554_X
RC02286_X,RC00570_X
RC02397_X,RC00571_X
RC02521_X,RC00573_X
RC02665_X,RC00575_X
RC02668_X,RC00582_X
RC02670_X,RC00602_X
RC02695_X,RC00631_X
RC02697_X,RC00658_X
RC02701_X,RC00669_X
RC02743_X,RC00670_X
RC03161_X,RC00685_X
RC03300_X,RC00698_X
RC03302_X,RC00699_X
RC03315_X,RC00710_X
RC03394_X,RC00722_X
RC03421_I,RC00736_X
RC03421_X,RC00754_X
RC03430_X,RC00765_X
RC03599_I,RC00768_X
RC03618_X,RC00851_X
RC03634_X,RC00867_X
RC03718_X,RC00885_X
RC03720_X,RC00894_X
RC03749_X,RC00895_X
RC03778_X,RC00899_X
RC03858_X,RC00936_X
RC03936_X,RC00939_X
RC03991_X,RC00941_X
RC04144_X,RC00945_X
RC04171_I,RC00946_X
RC04171_X,RC00955_X
RC04183_X,RC00959_X
RC04208_X,RC00961_X
RC04262_X,RC00963_X
RC04286_X,RC00964_X
RC04323_I,RC00965_X
RC04325_X,RC00966_X
RC04326_X,RC01005_X
RC04620_X,RC01009_X
RC04742_X,RC01010_X
RC04807_I,RC01015_X
RC04807_X,RC01021_X
RC04996_X,RC01030_X
RC06264_I,RC01049_X
RC06364_X,RC01054_X
RC06518_I,RC01056_X
RC06518_X,RC01057_X
RC07041_X,RC01061_X
RC07050_X,RC01066_X
RC07212_I,RC01070_X
RC07213_I,RC01082_X
RC07213_X,RC01083_X
RC07218_X,RC01121_X
RC07296_X,RC01123_X
RC07392_X,RC01126_X
RC07396_X,RC01130_X
RC08505_I,RC01134_X
RC08505_X,RC01135_X
RC08723_X,RC01137_X
RC08724_X,RC01138_X
RC08725_I,RC01154_X
RC08725_X,RC01167_X
RC08734_X,RC01185_X
RC08759_I,RC01186_X
RC08759_X,RC01187_X
RC08761_I,RC01201_X
RC08761_X,RC01224_X
RC10059_I,RC01227_X
RCC0069_X,RC01230_X
RCC0083_X,RC01231_X
RCC0084_X,RC01234_X
RCC0085_X,RC01280_X
RCC0086_X,RC01281_X
RCC0088_X,RC01310_X
RCC0089_X,RC01315_X
RCC0090_X,RC01318_X
RCC0091_X,RC01321_X
RCC0092_X,RC01326_X
RCC0093_X,RC01351_X
RCC0094_X,RC01384_X
RCC0095_X,RC01397_X
RCC0096_X,RC01402_X
RCC0097_X,RC01468_X
RCC0098_X,RC01470_X
RCC0103_X,RC01495_X
RCC0104_X,RC01496_X
RCC0106_X,RC01497_X
RCC0107_X,RC01498_X
RCC0125_X,RC01512_X
RCC0126_X,RC01514_X
RCC0156_X,RC01518_X
RCC0201_X,RC01528_X
RCC0206_X,RC01529_X
RCC0207_X,RC01547_X
RCC0208_X,RC01560_X
RCC0209_X,RC01567_X
RCC0211_X,RC01569_X
RCC0213_X,RC01570_X
RCC0214_X,RC01600_X
RCC0218_X,RC01641_X
RCC0219_X,RC01658_X
RE00548_I,RC01663_X
RE10092_X,RC01664_X
RM00239_X,RC01665_X
RM00371_I,RC01704_X
RM00371_X,RC01710_X
RM00711_X,RC01711_X
RM01465_X,RC01724_X
RM01616_I,RC01752_X
RM03313_X,RC01786_X
RM03905_I,RC01793_X
RM04807_I,RC01794_X
RM04807_X,RC01799_X
RM08505_I,RC01801_X
RM08505_X,RC01802_X
RM08759_I,RC01818_X
RM08759_X,RC01819_X
RM08761_I,RC01829_X
RM08761_X,RC01830_X
RMC0092_I,RC01857_X
RMC0092_X,RC01870_X
RMC0094_I,RC01876_X
RMC0094_X,RC01878_X
RMC0097_I,RC01909_X
RMC0097_X,RC01923_X
TCE5106_I,RC01926_X
TCE5106_X,RC01931_X
RC04262_I,RC01961_X
RC04262_X,RC01968_X
RC04286_I,RC01978_X
RC04311_X,RC01993_X
RC04321_I,RC02003_X
RC04321_X,RC02016_X
RC04323_I,RC02030_X
RC04325_X,RC02035_X
RC04326_X,RC02038_X
RC04420_I,RC02051_X
RC04420_X,RC02053_X
RC04463_X,RC02055_X
