Lreactions,Hreactions
BIO0003_I,DMN0073_X
RC00009_X,RC00004_X
RC00366_X,RC00010_X
RC00475_X,RC00089_X
RC00578_X,RC00093_X
RC00619_I,RC00102_X
RC00765_X,RC00127_X
RC00875_X,RC00156_X
RC00893_I,RC00158_X
RC00988_X,RC00174_X
RC01055_X,RC00177_X
RC01072_X,RC00181_X
RC01168_I,RC00183_X
RC01184_I,RC00190_X
RC01184_X,RC00191_X
RC01274_I,RC00192_X
RC01274_X,RC00200_X
RC01375_I,RC00235_X
RC01514_I,RC00253_X
RC01768_X,RC00256_X
RC01769_X,RC00257_X
RC01814_I,RC00261_X
RC01815_I,RC00267_X
RC01844_X,RC00275_X
RC01896_X,RC00289_X
RC01904_X,RC00330_X
RC01956_I,RC00332_X
RC01959_X,RC00335_X
RC02103_X,RC00342_X
RC02107_X,RC00352_X
RC02665_X,RC00355_X
RC02670_X,RC00431_X
RC03315_X,RC00434_X
RC03421_I,RC00485_X
RC03542_X,RC00489_X
RC03599_I,RC00494_X
RC04144_X,RC00509_X
RC04171_I,RC00511_X
RC04208_X,RC00512_X
RC04323_I,RC00513_X
RC04325_X,RC00529_X
RC04326_X,RC00548_X
RC04620_X,RC00570_X
RC04807_I,RC00575_X
RC05861_X,RC00582_X
RC06264_I,RC00619_X
RC06518_I,RC00631_X
RC07212_I,RC00658_X
RC07213_I,RC00670_X
RC08223_X,RC00685_X
RC08505_I,RC00694_X
RC08725_I,RC00699_X
RC08759_I,RC00703_X
RC08761_I,RC00710_X
RC10059_I,RC00722_X
RC10059_X,RC00734_X
RCC0088_X,RC00736_X
RCC0090_X,RC00782_X
RCC0092_X,RC00851_X
RCC0094_X,RC00867_X
RCC0095_X,RC00888_X
RCC0097_X,RC00894_X
RCC0098_X,RC00895_X
RCC0142_X,RC00897_X
RCC0201_X,RC00899_X
RCC0206_X,RC00963_X
RCC0208_X,RC00964_X
RCC0209_X,RC00965_X
RCC0213_X,RC01000_X
RCC0214_X,RC01001_X
RCC0218_X,RC01010_X
RE00548_I,RC01015_X
RM00371_I,RC01021_X
RM00371_X,RC01023_X
RM01465_X,RC01026_X
RM01616_I,RC01054_X
RM01616_X,RC01061_X
RM03905_I,RC01070_X
RM03905_X,RC01082_X
RM04807_I,RC01126_X
RM08505_I,RC01127_X
RM08759_I,RC01134_X
RM08761_I,RC01135_X
RMC0092_I,RC01137_X
RMC0094_I,RC01138_X
RMC0097_I,RC01167_X
TCE5106_I,RC01185_X
RC01795_I,RC01186_X
RC01802_I,RC01187_X
RC01814_I,RC01224_X
RC01814_X,RC01227_X
RC01815_I,RC01229_X
RC01815_X,RC01234_X
RC01844_I,RC01252_X
RC01844_X,RC01262_X
RC01855_I,RC01280_X
RC01876_I,RC01310_X
RC01878_X,RC01315_X
RC01896_X,RC01318_X
RC01909_I,RC01326_X
RC01920_X,RC01397_X
RC01956_I,RC01402_X
RC01956_X,RC01468_X
RC01959_X,RC01495_X
RC01960_I,RC01498_X
RC01975_X,RC01512_X
RC01998_X,RC01513_X
RC02017_I,RC01518_X
RC02017_X,RC01528_X
RC02018_I,RC01529_X
RC02018_X,RC01547_X
RC02019_I,RC01560_X
RC02019_X,RC01569_X
RC02024_I,RC01570_X
RC02024_X,RC01600_X
RC02035_I,RC01641_X
RC02058_I,RC01658_X
RC02059_I,RC01664_X
RC02059_X,RC01665_X
RC02078_I,RC01682_X
RC02080_I,RC01687_X
RC02080_X,RC01704_X
RC02100_I,RC01724_X
RC02101_I,RC01752_X
RC02103_X,RC01786_X
RC02107_X,RC01793_X
RC02266_I,RC01794_X
RC02266_X,RC01799_X
RC02269_I,RC01802_X
RC02286_I,RC01814_X
RC02335_I,RC01815_X
RC02335_X,RC01819_X
RC02364_X,RC01829_X
RC02383_I,RC01830_X
RC02466_I,RC01843_X
RC02485_X,RC01857_X
RC02493_I,RC01870_X
RC02497_I,RC01876_X
RC02665_I,RC01890_X
RC02670_X,RC01909_X
RC02695_X,RC01923_X
RC02697_X,RC01961_X
RC02701_I,RC01968_X
RC02701_X,RC01993_X
RC02743_I,RC02003_X
RC02750_X,RC02016_X
RC02869_X,RC02017_X
RC02914_I,RC02018_X
RC03005_X,RC02019_X
RC03055_I,RC02024_X
RC03104_I,RC02051_X
RC03161_X,RC02053_X
RC03269_I,RC02055_X
RC03269_X,RC02061_X
RC03300_X,RC02082_X
RC03302_X,RC02088_X
RC03315_X,RC02090_X
RC03376_I,RC02093_X
RC03376_X,RC02102_X
RC03421_I,RC02239_X
RC03542_I,RC02240_X
RC03595_X,RC02245_X
RC03599_I,RC02250_X
RC03599_X,RC02265_X
RC03617_I,RC02266_X
RC03617_X,RC02323_X
RC03681_X,RC02326_X
RC03718_X,RC02331_X
RC03720_X,RC02389_X
RC03749_I,RC02396_X
RC03956_X,RC02466_X
RC04073_X,RC02478_X
RC04144_X,RC02484_X
RC04171_I,RC02493_X
RC04171_X,RC02519_X
RC04208_X,RC02556_X
RC04209_X,RC02619_X
RC04230_I,RC02678_X
RC04231_I,RC02687_X
RC04262_I,RC02719_X
RC04262_X,RC02737_X
RC04286_I,RC02739_X
RC04311_X,RC02740_X
RC04321_I,RC02746_X
RC04321_X,RC02757_X
RC04323_I,RC02778_X
RC04325_X,RC02902_X
RC04326_X,RC02918_X
RC04420_I,RC02957_X
RC04420_X,RC03038_X
