	pen	dist	coef	flux	contr	bigg
TCE5301_Xr	1.0	31	0.00552427172802	0.0	0.0	itp_X[c] <==> itp_E[e]
TCE5301_Xf	1.0	31	0.00552427172802	-0.0	-0.0	itp_X[c] <==> itp_E[e]
RMC0107_If	1.0	0	1.0	0.0	0.0	[m] : (3) coa_I + (3) h2o_I + (3) nad_I + (3) fad_I + fa17c9coa_I --> (3) accoa_I + (3) h_I + (3) fadh2_I + (3) nadh_I + fa11c3coa_I
EX00185_Ef	0.0	31	0.0	0.0	0.0	clb_E[e] -->
TCE5041_Xr	1.0	31	0.00552427172802	-0.0	-0.0	lcts_E[e] <==> lcts_X[c]
TCE5041_Xf	1.0	31	0.00552427172802	-0.0	-0.0	lcts_E[e] <==> lcts_X[c]
EX00777_Ef	0.0	31	0.0	0.0	0.0	retn_E[e] -->
RC00765_If	1.0	0	1.0	-0.0	-0.0	[c] : gam6p_I + h2o_I --> f6p_I + nh4_I
RC02147_Xr	1.0	31	0.00552427172802	-0.0	-0.0	[c] : gsn_X + pi_X <==> gua_X + r1p_X
RC02147_Xf	1.0	31	0.00552427172802	0.0	0.0	[c] : gsn_X + pi_X <==> gua_X + r1p_X
TCE5301_Ir	1e-06	0	1e-06	-0.0	-0.0	itp_I[c] <==> itp_E[e]
TCE5301_If	1e-06	0	1e-06	0.0	0.0	itp_I[c] <==> itp_E[e]
TCE5024_Lr	1e-06	31	5.52427172802e-09	0.0	0.0	caro_I[c] <==> caro_L[e]
TCE5024_Lf	1e-06	31	5.52427172802e-09	-0.0	-0.0	caro_I[c] <==> caro_L[e]
EX00671_Ef	0.0	31	0.0	0.0	0.0	3mop_E[e] -->
TCE0416_Lr	1e-06	31	5.52427172802e-09	0.0	0.0	3mlda_I[c] <==> 3mlda_L[e]
TCE0416_Lf	1e-06	31	5.52427172802e-09	-0.0	-0.0	3mlda_I[c] <==> 3mlda_L[e]
TCE5041_Ir	1e-06	0	1e-06	-0.0	-0.0	lcts_E[e] <==> lcts_I[c]
TCE5041_If	1e-06	0	1e-06	-0.0	-0.0	lcts_E[e] <==> lcts_I[c]
TCE5331_Ir	1e-06	0	1e-06	0.0	0.0	2pg_E[e] <==> 2pg_I[c]
TCE5331_If	1e-06	0	1e-06	-0.0	-0.0	2pg_E[e] <==> 2pg_I[c]
EX00385_Ef	0.0	31	0.0	0.0	0.0	xan_E[e] -->
RC00765_Xf	1.0	31	0.00552427172802	0.0	0.0	[c] : gam6p_X + h2o_X --> f6p_X + nh4_X
RM00935_Xf	1.0	31	0.00552427172802	0.0	0.0	[m] : 2mop_X + coa_X + nad_X --> co2_X + nadh_X + ppcoa_X
RC07641_Xf	1.0	31	0.00552427172802	-0.0	-0.0	(2) atp_X + hco3_X + nh4_X --> (2) adp_X + cbp_X + (2) h_X + pi_X
RC02367_Ir	1.0	0	1.0	0.0	0.0	pmtcoa_I + retinol_I <==> coa_I + retpalm_I
RC02367_If	1.0	0	1.0	-0.0	-0.0	pmtcoa_I + retinol_I <==> coa_I + retpalm_I
TCE0414_Xr	1.0	31	0.00552427172802	-0.0	-0.0	srtn_E[e] <==> srtn_X[c]
TCE0414_Xf	1.0	31	0.00552427172802	-0.0	-0.0	srtn_E[e] <==> srtn_X[c]
RC00955_Xr	1.0	31	0.00552427172802	0.0	0.0	[c] : gal1p_X + udpg_X <==> g1p_X + udpgal_X
RC00955_Xf	1.0	31	0.00552427172802	-0.0	-0.0	[c] : gal1p_X + udpg_X <==> g1p_X + udpgal_X
TCE5305_Xr	1.0	31	0.00552427172802	-0.0	-0.0	na1_X[c] + thcholstoic_X[c] <==> na1_E[e] + thcholstoic_E[e]
TCE5305_Xf	1.0	31	0.00552427172802	-0.0	-0.0	na1_X[c] + thcholstoic_X[c] <==> na1_E[e] + thcholstoic_E[e]
TCE1211_Ir	1e-06	0	1e-06	0.0	0.0	asn-L_E[e] <==> asn-L_I[c]
TCE1211_If	1e-06	0	1e-06	-0.0	-0.0	asn-L_E[e] <==> asn-L_I[c]
