	Gonad	Glia	Intestine	Pharynx	Hypodermis	Neurons	Body_wall_muscle
TCE5301_Xr	1	1	-3	1	1	-1	-1
TCE5301_Xf	-1	-1	-3	-1	-1	-1	-1
RMC0107_If	-1	-1	-1	-1	-1	-1	-1
EX00185_Ef	-1	-1	-1	-1	-1	-1	-1
TCE5041_Xr	-2	-2	-3	-2	-2	-2	-2
TCE5041_Xf	-1	-2	-3	-1	-2	-2	-1
EX00777_Ef	-1	-1	-1	-1	-1	-1	-1
RC00765_If	1	1	1	1	1	1	1
RC02147_Xr	-2	-1	-3	-2	-1	-2	-2
RC02147_Xf	-2	1	-3	-2	1	-2	-2
TCE5301_Ir	-2	-2	-2	-2	-2	-2	-2
TCE5301_If	1	1	1	1	1	1	1
TCE5024_Lr	-1	-1	-1	-1	-1	-1	-1
TCE5024_Lf	-2	-2	-2	-2	-2	-2	-2
EX00671_Ef	-1	-1	-1	-1	-1	-1	-1
TCE0416_Lr	-1	-1	-1	-1	-1	-1	-1
TCE0416_Lf	-2	-2	-2	-2	-2	-2	-2
RCC0227_If	1	1	1	1	1	1	1
TCE5041_Ir	-1	-1	-1	-1	-1	-1	-1
TCE5041_If	-2	-2	-2	-2	-2	-2	-2
TCE5331_Ir	-1	-1	-1	-1	-1	-1	-1
TCE5331_If	1	1	1	1	1	1	1
EX00385_Ef	-1	1	1	1	1	-1	-1
RC00765_Xf	1	-1	-3	-2	-2	-2	-2
RM00935_Xf	1	-2	-3	1	1	-1	1
RC07641_Xf	1	1	-3	1	1	1	1
RC02367_Ir	1	1	1	1	1	1	1
RC02367_If	-1	-1	-1	-1	-1	-1	-1
TCE1211_Lr	-2	-2	-2	-2	-2	-2	-2
TCE1211_Lf	-1	-1	-1	-1	-1	-1	-1
RC00955_Xr	-2	-2	-3	-2	-2	-2	-2
RC00955_Xf	1	1	-3	-2	-2	-2	-2
TCE5305_Xr	-2	-2	-3	-2	-2	-2	-2
TCE5305_Xf	-2	1	-3	-2	-2	-2	-2
TCE1211_Ir	1	1	1	1	1	1	1
TCE1211_If	-2	-2	-2	-2	-2	-2	-2
RC01855_If	-2	-2	-2	-2	-2	-2	-2
EX00387_Ef	-1	-1	-1	-1	-1	-1	-1
RC00004_If	1	1	1	1	1	1	1
TCE5043_Ir	-1	-1	-1	-1	-1	-1	-1
TCE5043_If	-2	-2	-2	-2	-2	-2	-2
RCC0099_If	1	1	1	1	1	1	1
RC07641_If	1	1	1	1	1	1	1
RM00935_If	1	1	1	1	1	1	1
RC02367_Xr	1	-1	-3	1	-1	-1	1
RC02367_Xf	-1	-1	-3	-1	-1	-1	-1
TCE5305_Ir	-2	-2	-2	-2	-2	-2	-2
TCE5305_If	-2	-2	-2	-2	-2	-2	-2
RC00955_Ir	-2	-2	-2	-2	-2	-2	-2
RC00955_If	1	1	1	1	1	1	1
RC01855_Xf	1	-1	-3	-1	1	-1	-1
TCE1211_Xr	-2	-2	-3	-1	-1	-2	-1
TCE1211_Xf	1	1	-3	1	1	1	1
RC01321_Ir	-2	-2	-2	-2	-2	-2	-2
RC01321_If	1	1	1	1	1	1	1
RC00004_Xf	1	-1	-3	1	1	1	-1
TCE5043_Xr	-1	-1	-3	-1	-1	-1	-1
TCE5043_Xf	-1	-1	-3	-1	-1	-1	-1
EX03793_Ef	-1	-1	-1	-1	-1	-1	-1
TCE0360_Xr	-2	-2	-3	-2	-1	-2	1
TCE0360_Xf	1	1	-3	1	1	1	-1
TCE5342_Xr	1	-1	-3	1	1	1	1
TCE5342_Xf	-1	-1	-3	-1	-1	-1	-1
RMC0097_If	-2	-2	-2	-2	-2	-2	-2
RMC0095_Xf	-2	-2	-3	-2	-2	-2	-2
RC01364_Xf	-2	-1	-3	-2	1	1	-2
TCM0173_Xr	-2	-2	-3	-2	-2	-2	-2
TCM0173_Xf	-1	-1	-3	-1	-1	-1	-1
RCC0218_Xf	-2	-2	-3	-2	1	-2	-2
RM03172_Xr	-2	-2	-3	-2	-2	-2	-2
RM03172_Xf	1	1	-3	-1	1	1	1
TCE0360_Ir	1	1	1	1	1	1	1
TCE0360_If	-2	-2	-2	-2	-2	-2	-2
RMC0097_Xf	-2	-2	-3	-2	-2	-2	-2
TCE0518_Ir	-1	-1	-1	-1	-1	-1	-1
TCE0518_If	-2	-2	-2	-2	-2	-2	-2
RMC0095_If	-2	-2	-2	-2	-2	-2	-2
TCE5342_Lr	-1	-1	-1	-1	-1	-1	-1
TCE5342_Lf	-2	-2	-2	-2	-2	-2	-2
RC01364_If	1	1	1	1	1	1	1
RM01214_Ir	-1	-1	-1	-1	-1	-1	-1
RM01214_If	1	1	1	1	1	1	1
RCC0218_If	1	1	1	1	1	1	1
UP00268_Lr	-1	-1	-1	-1	-1	-1	-1
RM03172_Ir	-2	-2	-2	-2	-2	-2	-2
RM03172_If	1	1	1	1	1	1	1
RC01026_Xf	-2	1	-3	1	1	1	1
TCE1194_Lr	-2	-2	-2	-2	-2	-2	-2
TCE1194_Lf	-1	-1	-1	-1	-1	-1	-1
TCE1194_Ir	1	1	1	1	1	1	1
TCE1194_If	-2	-2	-2	-2	-2	-2	-2
TCE5038_Lr	-1	-1	1	-1	-1	-1	-1
TCE5038_Lf	-2	-2	-2	-2	-2	-2	-2
RMC0099_Xf	-2	-2	-3	-2	-2	-2	-2
TCE1127_Lf	-1	1	-1	-1	-1	-1	-1
EX00181_Ef	-1	-1	-1	-1	-1	-1	-1
RC00191_If	1	1	1	1	1	1	1
DMN0033_If	-1	-1	-1	-1	-1	-1	-1
TCE5303_Xf	-1	-1	-3	-1	-1	-1	-1
RC01026_If	1	1	1	1	1	1	1
TCE5340_Xr	-2	-1	-3	-2	-1	1	-2
TCE5340_Xf	-2	-2	-3	-2	-1	-2	-2
TCE1194_Xr	-2	-1	-3	-2	-1	-2	-2
TCE1194_Xf	1	1	-3	1	1	1	1
RM03336_Ir	-2	-2	-2	-2	-2	-2	-2
RM03336_If	-2	-2	-2	-2	-2	-2	-2
RM02161_Ir	-2	-2	-2	-2	-2	-2	-2
RM02161_If	1	1	1	1	1	1	1
RC02543_Xr	-1	-1	-3	-1	-1	-1	-1
RC02543_Xf	-1	-1	-3	-1	-1	-1	-1
RC00191_Xf	-1	1	-3	1	1	1	1
TCM1282_Ir	-1	-1	-1	-1	-1	-1	-1
TCM1282_If	-1	-1	-1	-1	-1	-1	-1
EX00187_Ef	-1	-1	-1	-1	-1	-1	-1
DMN0033_Xf	1	-2	-3	-2	-2	-2	-2
TCE5308_Xf	-2	-1	-3	-2	-1	1	-2
TCE5071_Lr	-1	-1	-1	-1	-1	-1	-1
TCE5071_Lf	-2	-2	-2	-2	-2	-2	-2
TCM5052_Xf	-2	-2	-3	-2	-2	-2	-2
TCE5374_Xr	-1	1	-3	-1	-1	-1	-1
TCE5374_Xf	-1	-1	-3	-1	-1	-1	-1
RC09086_If	-1	-1	-1	-1	-1	-1	-1
RCC0228_Xf	-2	-2	-3	-2	-1	-2	-2
RCC0170_If	1	1	1	1	1	1	1
RC01280_Xf	1	1	-3	1	1	1	1
RCC0142_If	1	1	1	1	1	1	1
EX00026_Ef	-1	-1	-1	-1	-1	-1	-1
TCE5308_If	-2	-2	-2	-2	-2	-2	-2
UP00320_Lr	-1	-1	-1	-1	-1	-1	-1
RC09086_Xf	1	-1	-3	-1	1	1	1
RCC0170_Xf	1	1	-3	1	1	1	1
RCC0228_If	-1	-1	-1	-1	-1	-1	-1
RC01280_If	1	1	1	1	1	1	1
RM00004_If	1	1	1	1	1	1	1
TCE5304_If	-1	-1	-1	-1	-1	-1	-1
TCM0208_If	-1	-1	-1	-1	-1	-1	-1
TCE5502_Lr	-2	-2	-2	-2	-2	-2	-2
TCE5502_Lf	-1	-1	1	-1	-1	-1	1
RC02029_If	-1	-1	-1	-1	-1	-1	-1
RM02396_Xf	-2	1	-3	1	1	1	1
UP00212_Lr	-1	-1	-1	-1	-1	-1	-1
TCE0518_Xr	1	-2	-3	1	1	1	-1
TCE0518_Xf	-1	-2	-3	-1	-1	-1	-1
UP00106_Lr	-1	-1	-1	-1	-1	-1	-1
EX00577_Ef	-1	-1	-1	-1	-1	-1	-1
RM00004_Xf	1	1	-3	1	1	1	1
TCM0208_Xf	-1	-1	-3	-1	-1	-1	-1
TCE1127_Xf	-1	-1	-3	-1	-1	-1	-1
RC02147_Ir	-1	-1	-1	-1	-1	-1	-1
RC02147_If	1	1	1	1	1	1	1
RC02029_Xf	1	-1	-3	-1	-1	-1	1
RM02396_If	1	1	1	1	1	1	1
EX00575_Ef	-1	-1	-1	-1	-1	-1	-1
RM00261_Xf	-2	-1	-3	1	-1	1	-2
RC02245_Xf	1	1	-3	1	1	1	1
TCE0732_Lr	-2	-2	-2	-2	-2	-2	-2
TCE0732_Lf	-1	-1	-1	-1	-1	-1	-1
DMN0061_If	1	1	1	1	1	1	1
DMN0063_Xf	-2	-2	-3	-2	-1	-2	-2
TCE0732_Ir	-1	-1	-1	-1	-1	-1	-1
TCE0732_If	-2	-2	-2	-2	-2	-2	-2
RC00959_Xr	1	1	-3	1	1	1	1
RC00959_Xf	-2	-2	-3	-2	-2	-2	-1
TCE5307_If	-2	-2	-2	-2	-2	-2	-2
UP00143_Lr	-1	-1	-1	-1	1	1	-1
RM03856_If	1	1	1	1	1	1	1
DMN0061_Xf	-2	-2	-3	-2	-2	-2	-2
UP00147_Lr	-1	-1	-1	-1	-1	-1	-1
TCE0732_Xr	-2	-1	-3	-2	-1	-1	-2
TCE0732_Xf	-1	-1	-3	-1	-1	-1	-1
DMN0063_If	1	1	1	1	1	1	1
