	Gonad	Glia	Intestine	Pharynx	Hypodermis	Neurons	Body_wall_muscle
cht-1	0.119930318438	1.82983621136	0.0	28.2435159027	0.201615203809	0.0	0.28223961106
rpom-1	342.716862829	36.1126545232	346.462698145	42.8680928427	126.268155613	58.4776288746	117.020254937
C07D8.6	7.95083531058	22.2414607494	26.7412086944	18.7241453886	58.46243523	10.5451862899	37.8751746522
inos-1	89.1330142929	80.4728347849	74.658126345	55.2650206251	45.1136679582	291.654546623	39.9539215484
ant-1.1	1703.60341074	1317.3307169	1209.53617503	1640.43577822	1408.80579008	1117.46040351	3042.81857871
Y39G8B.1	5.3284947315	107.820580352	37.2191128681	58.5499791486	58.6417419545	20.4307061163	9.66862385895
Y39G8B.2	3.46415229225	0.0	0.0	0.516496911348	3.58866041554	2.703148931	1.32510033635
ddo-3	0.0587653517136	3.56732025878	0.0	0.0	12.5809468975	3.47030082522	0.216242847379
prdx-2	147.610162862	257.541553399	78.9490399952	226.654665503	322.227320688	119.900213177	148.665065553
cka-1	85.5263626329	465.565330849	43.6492812081	10.9674264933	7.63706138985	11.0581468257	74.6921829882
idhg-2	1.17283695467	0.0	14.065954096	0.300037204613	1.21453713344	3.09052310379	152.561479185
chil-9	0.134555024148	0.0	0.0	0.0	0.0	0.0	0.0897197585575
sdhb-1	97.4632112635	113.443512603	79.8425902998	117.71221677	75.4363294312	107.876595612	245.65358785
F42G8.10	117.442989578	52.9545655838	24.7962009363	77.2022800718	73.4079352366	69.0247307221	174.172045703
cyp-37A1	0.421856260709	0.433810119575	584.025395807	0.0	6.25249340135	0.617723220463	0.382239458549
cgt-1	0.0689635910169	0.0	50.889498566	13.802637022	0.113411795394	27.138452234	0.483234998486
pdha-1	136.888292493	72.6184595755	71.7695023685	104.405700801	53.5890719401	102.459488008	233.793573995
hsp-6	317.793153818	190.421127095	1022.13706889	329.785026292	397.174308047	188.835488918	538.849516513
F01D4.8	0.0	0.0	0.0	0.0	2.4297263394	10.6738206794	0.152905903845
gpx-3	0.326230588623	8.6812106388	2.68910015328	572.769713104	0.632507935772	0.673041717818	0.0821610121502
gpx-5	0.143724203921	403.720292693	1.56469711948	435.121340673	95.0792155295	1.03418946406	0.620101725938
gst-11	0.0455590205722	3.33290472661	0.95887941516	1.96077002619	0.579951148899	70.5880040114	0.626425310782
iars-2	258.480189042	12.1211642203	170.496587769	39.1656446329	48.4410418784	19.4926486063	79.5845255075
metr-1	127.512163305	22.2620942933	427.961926347	3.44308933663	266.001531653	3.00585492863	2.53981267638
apy-1	1.87661389812	23.7336109785	381.638210342	29.5901167432	76.1359798768	1.16666912783	12.7195304765
pcyt-1	3.30821998562	16.623252401	183.116704245	24.52689563	28.8592316295	37.6127527273	20.6523148969
Y49E10.4	295.622362827	0.286430361618	4.93087373452	0.878031590769	1.70590242238	2.48421186966	0.192755009704
acox-1.5	0.0612700421967	0.384849106438	743.037434745	0.0	1.17448650173	8.9827233564	0.35854853502
Y52B11C.1	28.4788238258	3.6974949452	34.1365884339	13.8304468828	24.1693141089	10.9315975573	12.300356117
argk-1	0.319554548141	0.0	94.0518076045	0.0	1.30203058599	0.473011836648	0.75122799675
T20H4.5	58.5883724138	31.1361892696	20.9358577312	33.7490639638	36.9512398258	37.7611399985	124.001980873
F53F10.2	135.346002948	109.037191074	261.532677969	225.182689838	90.6135902262	512.019234665	193.568777719
ZK563.7	0.241103627295	0.0	0.0	12.9354662066	3.64993713995	4.03155485919	1.18657323664
