	reverse	forward
RC00765_I	0.0	0.01
RC02147_X	0.01	0.01
RC02094_X	0.01	0.01
RC02147_I	0.01	0.01
RC00765_X	0.0	0.01
RM00935_X	0.0	0.01
RC07641_X	0.0	0.01
RC02367_I	0.00184100733424	0.00702601286508
RC00955_X	0.01	0.01
RC01855_I	0.0	0.01
RC01321_X	0.01	0.01
RC00004_I	0.0	0.01
RCC0099_I	0.0	0.01
RC07641_I	0.0	0.01
RM00935_I	0.0	0.01
RC02367_X	0.00184100733424	0.00702601286508
RC00955_I	0.01	0.01
RC01855_X	0.0	0.01
RC01321_I	0.01	0.01
RC00004_X	0.0	0.01
RCC0099_X	0.0	0.01
RMC0097_I	0.0	0.01
RMC0095_X	0.0	0.01
RC01364_X	0.0	0.01
RCC0218_X	0.0	0.01
RM03172_X	0.01	0.01
RMC0097_X	0.0	0.01
RMC0095_I	0.0	0.01
RC01364_I	0.0	0.01
RM01214_I	0.01	0.01
RCC0218_I	0.0	0.01
RM03172_I	0.01	0.01
RC01026_X	0.0	0.01
RMC0099_X	0.0	0.01
RC00191_I	0.0	0.01
RC00093_I	0.0	0.01
RC01026_I	0.0	0.01
RMC0099_I	0.0	0.01
RC02543_X	0.01	0.01
RC00191_X	0.0	0.01
RC00093_X	0.0	0.01
RC09086_I	0.0	0.01
RC01280_X	0.0	0.01
RC09086_X	0.0	0.01
RC01280_I	0.0	0.01
RM00004_I	0.0	0.01
RM02396_X	0.0	0.01
RC02245_I	0.0	0.01
RM00004_X	0.0	0.01
RM02396_I	0.0	0.01
RM00261_X	0.0	0.01
RC02245_X	0.0	0.01
RC00959_X	0.01	0.01
RC00959_I	0.01	0.01
RCC0091_X	0.0	0.01
RC04286_X	0.0	0.01
RC00137_I	0.01	0.01
RCC0172_X	0.0	0.01
RC01857_X	0.01	0.01
RC04286_I	0.0	0.01
RCC0091_I	0.0	0.01
RC00137_X	0.01	0.01
RM08505_I	0.0	0.00124953103107
RCC0172_I	0.0	0.01
RC06262_X	0.0	0.01
RM00549_I	0.0	0.00515823700926
RC03595_I	0.0	0.01
RCC0177_I	0.0	0.01
RC07760_X	0.01	0.01
DGR0026_I	0.0	0.001301552476
RC03595_X	0.0	0.01
RC07760_I	0.01	0.01
RCC0177_X	0.0	0.01
RC03599_X	0.01	0.00295581073499
DGR0024_I	0.0	0.003231398302
RC04770_X	0.01	0.01
RM03778_I	0.01	0.01
RC03599_I	0.01	0.00295581073499
RC00685_I	0.0	0.01
RC04770_I	0.01	0.01
RM03778_X	0.01	0.01
RM00751_X	0.01	0.01
RC02241_X	0.0	0.01
RC00256_I	0.0	0.01
RCC0213_X	0.0	0.01
RC04208_I	0.0	0.01
RC04779_I	0.0	0.01
RC01103_X	0.0	0.000724814257537
RC02241_I	0.0	0.01
RC00256_X	0.0	0.01
RC01857_I	0.01	0.01
RCC0213_I	0.0	0.01
RC04779_X	0.0	0.01
RC04208_X	0.0	0.01
RM01923_I	0.0	0.01
RC01101_X	0.0	0.00141148191195
RM01616_X	0.0	0.01
RC01737_X	0.0	0.00247580358468
RM00549_X	0.0	0.00515823700926
RM01616_I	0.0	0.01
RC01101_I	0.0	0.00141148191195
RC00366_X	0.0	0.01
RC01737_I	0.0	0.00247580358468
RC02103_X	0.01	0.01
RC05556_I	0.0	0.01
RC02103_I	0.01	0.01
RC05556_X	0.0	0.01
RCC0039_X	0.0	0.01
RC04162_X	0.0	0.01
RC00507_X	0.0	0.01
RC02101_I	0.0	0.01
RC02107_X	0.0	0.01
RCC0039_I	0.0	0.01
RC04162_I	0.0	0.01
RCC0093_I	0.0	0.01
RC02101_X	0.0	0.01
RC02107_I	0.0	0.01
RC00529_X	0.01	0.01
RC02297_X	0.01	0.01
RC01956_X	0.01	0.01
RC00529_I	0.01	0.01
RM07136_I	0.01	0.01
RC07211_I	0.0	0.01
RC01956_I	0.01	0.01
RC03105_I	0.01	0.01
RM02164_X	0.0	0.01
RC03105_X	0.01	0.01
RM02164_I	0.0	0.01
RC04321_I	0.01	0.01
RC04323_X	0.0	0.01
RC04321_X	0.01	0.01
RC04323_I	0.0	0.01
RC02383_X	0.0	0.01
RM01859_X	0.0	0.01
RC04325_I	0.01	0.01
RC00966_I	0.0	0.01
RC00964_X	0.0	0.01
RM07136_X	0.01	0.01
RC02383_I	0.0	0.01
RC07211_X	0.0	0.01
RM01859_I	0.0	0.01
RC00966_X	0.0	0.01
RC04325_X	0.01	0.01
RC00964_I	0.0	0.01
RCC0109_X	0.0	0.01
RC10306_I	0.00149417527138	0.00171771628646
RC07213_I	0.0	0.01
RM00706_I	0.0	0.01
RM02565_X	0.0	0.01
RC10306_X	0.00149417527138	0.00171771628646
RM01214_X	0.01	0.01
RM02565_I	0.0	0.01
RM05373_I	0.0	0.01
