	Gonad	Glia	Intestine	Pharynx	Hypodermis	Body_wall_muscle	Neurons
BIO0001_I	0.0	0.0	0.486288412787	0.0	0.0	0.0	0.0
BIO0001_X	0.486196190175	0.486196190135	nan	0.486196190175	0.486196190175	0.486196190175	0.486196190175
BIO0002_I	0.0	0.0	1.93300345247	0.0	0.0	0.0	0.0
BIO0002_X	1.69934511262	1.91368826744	nan	1.9136882676	1.9136883071	1.69934474426	1.93263506988
BIO0003_I	0.0	0.0	0.0796624085935	-0.0	0.0	-0.0	0.0
BIO0003_X	0.0796473049307	0.0796473010091	nan	0.0796473010157	0.0796473049307	0.0796473010157	0.0796473010157
BIO0004_I	0.0	0.0	-0.0	0.0	0.0	0.0	0.0
BIO0004_X	0.00686675212552	0.0	nan	-0.0	0.00686675212552	-0.0	0.0
BIO0005_I	-0.00742600590023	-0.00902556481926	0.119499603948	0.100968500476	0.00327316887498	0.344353860616	0.0970614427537
BIO0005_X	-0.0225739940997	-0.0367220574936	nan	-0.125733877447	-0.0210873879082	-0.381765092689	-0.125684214546
BIO0006_I	0.0651258664762	0.0575680501747	0.159121507637	0.0674562513975	0.0231338272506	-0.0292930333268	0.0463716817038
BIO0006_X	0.0593885270053	0.0378059634056	nan	0.049009819931	0.0933323172022	0.125759105085	0.049002331447
BIO0007_I	0.01	0.01	0.0506732580832	0.00999999999999	0.00999999999993	0.00999999999999	0.01
BIO0007_X	0.0106613443891	0.0106713339738	nan	0.0206713339257	0.000671342107621	0.0206713339738	0.0106713339257
BIO0008_I	0.0	0.0	0.0547818044244	0.0	0.0	0.0	0.0
BIO0008_X	0.0547714572793	0.0547714155321	nan	0.0547714152855	0.0547714572793	0.0547714155321	0.0547714152855
BIO0009_I	0.0	0.0	0.0247452662732	0.0	0.0	0.0	0.0
BIO0009_X	0.0247407714152	0.0247405733581	nan	0.0247405733601	0.0247407714152	0.0247405733601	0.0247405733601
BIO0010_I	0.0	0.0	0.359065328818	0.0	0.0	0.0	0.0
BIO0010_X	0.360193514756	0.358970783812	nan	0.358970783812	0.360193514757	0.358970783812	0.358970783812
BIO0011_I	0.0124259498235	0.0490567365152	0.0429264893841	0.0177524422427	0.0	-0.0392930333268	0.0131858408519
