	Gonad	Glia	Intestine	Pharynx	Hypodermis	Body_wall_muscle	Neurons
BIO0001_I	0.0	0.0	0.486288412787	0.0	0.0	0.0	0.0
BIO0001_X	0.486196190175	0.486196190175	nan	0.486196190175	0.486196190175	0.486196190135	0.486196190175
BIO0002_I	0.0	0.0	1.93300345247	0.0	0.0	0.0	0.0
BIO0002_X	1.69934511262	1.9136882676	nan	1.9136882676	1.9136883071	1.6993447441	1.93263506988
BIO0003_I	0.0	0.0	0.0796624085935	0.0	0.0	0.0	0.0
BIO0003_X	0.0796473049307	0.0796473010157	nan	0.0796473010157	0.0796473049307	0.0796473010091	0.0796473010157
BIO0004_I	0.0	0.0	-0.0	0.0	0.0	0.0	0.0
BIO0004_X	0.00686675212552	0.0	nan	0.0	0.00686675212552	0.0	0.0
BIO0005_I	-0.00804849903701	-0.00902556491136	0.117621111345	0.101295468207	0.0	0.344379786369	0.0970614177242
BIO0005_X	-0.0225739940997	-0.0367220574936	nan	-0.125733911274	-0.0130118838236	-0.381765054962	-0.125684188748
BIO0006_I	0.0651258664762	0.0575680501746	0.149209403269	0.066364188119	0.0780909742785	-0.0303850790763	0.0463716855939
BIO0006_X	0.0593885270053	0.0378059634056	nan	0.0490098250317	0.0372831119964	0.125759092657	0.0490023275569
BIO0007_I	0.01	0.01	0.0306634580828	0.01	0.00999999999976	0.00999999999976	0.01
BIO0007_X	0.0106613444767	0.0106713339738	nan	0.0206713339257	0.000671342107792	0.0206713339738	0.0106713339257
BIO0008_I	0.0	0.0	0.0547818044244	0.0	0.0	0.0	0.0
BIO0008_X	0.0547714572793	0.0547714155321	nan	0.0547714152855	0.0547714572793	0.0547714155321	0.0547714152855
BIO0009_I	0.0	0.0	0.0247452662732	0.0	0.0	0.0	0.0
BIO0009_X	0.0247407714152	0.0247405733601	nan	0.0247405733601	0.0247407714152	0.0247405733581	0.0247405733601
BIO0010_I	0.0	0.0	0.359065328818	0.0	-0.0	0.0	0.0
BIO0010_X	0.360193514756	0.358970783812	nan	0.358970783914	0.360193514757	0.358970783914	0.358970783812
BIO0011_I	0.0124259498235	0.0490567365151	0.0484170574543	0.0227524396923	0.0289083120246	-0.0403850790761	0.0131858427969
BIO0011_X	0.0373170411502	-0.00931377583381	nan	0.0269905208101	0.0208346789491	0.0801280397576	0.0265571177054
BIO0012_I	-0.000207497712262	-0.00300852163712	-0.013988614788	0.0	0.0	0.0	0.0
BIO0012_X	-0.00999999999999	-0.0122406858312	nan	-0.00814614768895	-0.00433729460788	-0.0124617561977	-0.00954092367444
BIO0013_I	-0.00392050066237	-0.00300852163712	0.0658048630665	0.0506477341035	0.0	0.172189893185	0.0485307088621
BIO0013_X	-0.00628699704988	-0.0122406858312	nan	-0.0587938817924	-0.00433729460788	-0.184651649382	-0.0580716325366
BIO0014_I	0.0	0.0	0.0106733580832	0.0	0.0	0.0	0.0
BIO0014_X	0.0106713421076	0.0106713339738	nan	0.0106713339257	0.0106713421076	0.0106713339738	0.0106713339257
BIO0015_I	0.0	0.0	3.59065328818e-05	0.0	0.0	0.0	0.0
BIO0015_X	3.60193514756e-05	3.58970783812e-05	nan	3.58970783914e-05	3.60193514757e-05	3.58970783914e-05	3.58970783812e-05
BIO0100_I	0.0	0.0	-0.0	0.0	0.0	0.0	0.0
BIO0100_X	0.0	0.0	nan	0.0	0.0	0.00652733743711	0.0
BIO0101_I	0.0	0.0	0.0139696216607	0.0	0.0	0.0	0.0
BIO0101_X	0.00122273084109	0.0419088649822	nan	0.0419088649822	0.00122273084118	0.352443434862	0.0139696216607
BIO0102_I	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIO0102_X	0.0	0.0	nan	0.0	0.0	0.0	0.0
BIO0103_I	0.0	0.0	-0.0	0.0	0.0	0.0	0.0
BIO0103_X	0.358970346702	0.0	nan	0.0	0.0409381663706	0.0	0.0
BIO0104_I	0.0	0.0	0.00670342036192	0.0	0.0	0.0	0.0
BIO0104_X	0.0	0.00652734818217	nan	0.00652734885761	0.0	1.16149807667e-08	0.00652734818215
BIO0105_I	0.0	0.0	-0.0	0.0	0.0	0.0	0.0
BIO0105_X	4.37213254712e-07	0.0	nan	0.0	0.318032617545	0.0	0.0
BIO0106_I	0.0	0.0	0.338392286795	0.0	0.0	0.0	0.0
BIO0106_X	0.0	0.310534570648	nan	0.310534570075	0.0	0.0	0.338473813969
BIO0107_I	0.0	0.0	-0.0	0.0	0.0	0.0	0.0
BIO0107_X	0.0	0.0	nan	0.0	0.0	0.0	0.0
DGR0001_I	4.55362454636	6.85516596185	9.87539585832	3.97609794853	3.62532321523	4.71791056436	4.59831565379
DGR0002_I	0.574979933766	0.91641883665	1.41317010387	0.502056441372	0.457764596301	0.314976981109	0.486537736937
DGR0003_I	0.090170720442	0.143716574918	0.226731838285	0.0787345581343	0.0717885286378	0.116857665423	0.0910556922514
DGR0004_I	0.245303406799	0.390971318274	0.616808783255	0.214192093049	0.195295884935	0.317903453565	0.247710913346
DGR0005_L	0.116809254898	0.186173803983	0.293713712852	0.101994583444	0.0929965347872	0.151380146019	0.117955668025
DGR0006_L	0.904012436132	1.4408398909	2.27311482565	0.789358445378	0.719720573842	1.1715641428	0.912884778699
DGR0007_L	0.904012436132	1.4408398909	2.27311482565	0.789358445378	0.719720573842	1.1715641428	0.912884778699
DGR0008_L	4.55362454636	6.85516596185	9.87539585832	3.97609794853	3.62532321523	4.71791056436	4.59831565379
DGR0009_L	0.574979933766	0.91641883665	1.41317010387	0.502056441372	0.457764596301	0.314976981109	0.486537736937
DGR0010_L	0.090170720442	0.143716574918	0.226731838285	0.0787345581343	0.0717885286378	0.116857665423	0.0910556922514
DGR0011_L	0.024749148464	0.0394458736932	0.0622310645818	0.0216102661591	0.0197037901501	0.0320739115374	0.0249920465865
DGR0012_I	0.024749148464	0.0394458736932	0.0622310645818	0.0216102661591	0.0197037901501	0.0320739115374	0.0249920465865
DGR0013_L	0.00753132760542	0.0120036371311	0.0189373196125	0.00657614520845	0.00599599210068	0.00976030087366	0.00760524309134
DGR0014_L	0.00753132760542	0.0120036371311	0.00264347245363	0.00657614520845	0.00599599210068	0.00976030087366	0.0
DGR0015_L	0.00753132760542	0.0120036371311	0.0189373196125	0.00657614520845	0.00599599210068	0.00976030087366	0.00760524309134
DGR0016_I	0.00753132760542	0.0120036371311	0.00264347245363	0.00657614520845	0.00599599210068	0.00976030087366	0.0
DGR0017_I	0.00753132760542	0.0120036371311	0.0189373196125	0.00657614520845	0.00599599210068	0.00976030087366	0.00760524309134
DGR0018_L	0.0876123143989	0.139638916982	0.22029879547	0.076500629334	0.069751678931	0.113542073001	0.0884721769797
DGR0019_I	0.0876123143989	0.139638916982	0.22029879547	0.076500629334	0.069751678931	0.113542073001	0.0884721769797
DGR0020_L	0.0210012527473	0.0334723743919	0.0528070821474	0.018337708152	0.0167199399859	0.027216787833	0.0212073675099
DGR0021_I	0.0268437012495	0.0427842295458	0.0674977609231	0.0234391712321	0.0213713476664	0.0347883685964	0.0271071561576
DGR0022_L	0.00584244850221	0.00931185515382	0.0146906787757	0.00510146308013	0.00465140768045	0.00757158076345	0.00589978864762
DGR0023_I	0.00584244850221	0.00931185515382	0.0146906787757	0.00510146308013	0.00465140768045	0.00757158076345	0.00589978864762
DGR0024_I	0.00584244850221	0.00931185515382	0.0146906787757	0.00510146308013	0.00465140768045	0.00757158076345	0.00589978864762
DGR0025_L	0.00235323924917	0.00375065745504	0.00591715645912	0.00205478287807	0.00187350818982	0.0030497044217	0.00237633488804
DGR0026_I	0.00235323924917	0.00375065745504	0.00591715645912	0.00205478287807	0.00187350818982	0.0030497044217	0.00237633488804
DGR0027_L	0.122761272777	0.195660293825	0.308679900864	0.107191719449	0.0977351750454	0.159093724335	0.123966101408
DGR0028_I	0.122761272777	0.195660293825	0.308679900864	0.107191719449	0.0977351750454	0.159093724335	0.123966101408
DGR0029_E	0.0	0.0	-0.0	0.0	0.0	0.0	0.0
DGR0029_L	0.000816323229827	0.00130107842148	0.00205262268756	0.000712790676177	0.000649907678179	0.00105792242095	0.000824334955166
DMN0001_I	0.0	0.0	-0.0	0.0	0.0	0.0	0.0
DMN0001_X	0.00295540903753	0.0	nan	0.0	0.0	0.0	0.00295540903753
DMN0002_I	0.000180802487226	0.00028816797818	0.000918062877986	0.000157871689076	0.000143944114768	0.00023431282856	0.00018257695574
DMN0002_X	0.000463439912892	0.0	nan	0.0	0.0	0.0	0.0
DMN0005_I	0.0	0.0	-0.0	0.0	0.0	0.0	0.0
DMN0005_X	0.0	0.0	nan	0.0	0.0	0.00219579073485	0.0
DMN0006_I	0.0	0.0	0.000886263049665	0.0	0.0	0.0	0.0
DMN0006_X	0.000886263049665	0.000886263049665	nan	0.0	0.000886263049665	0.000886263049665	0.0
DMN0007_I	0.0	0.0	-0.0	0.000633102934941	0.000570671769489	0.0	0.0
DMN0007_X	0.0	0.0	nan	0.0	0.0	0.0	0.0
DMN0008_I	0.000735244402515	0.00121487586581	0.009026185166	0.0	0.0	0.000974412622737	0.000743411950618
DMN0008_X	0.0	0.0	nan	0.0	0.0	0.0	0.0
DMN0009_I	0.0	0.0	-0.0	0.0	0.0	0.0	0.0
DMN0009_X	0.0	0.0	nan	0.0	0.0	0.0	0.0
DMN0015_I	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DMN0015_X	0.0	0.0	nan	0.0	0.0	0.0	0.0
DMN0017_I	0.0	0.0	-0.0	0.0	0.0	0.0	0.0
DMN0017_X	0.0	0.0	nan	0.0	0.0	0.0	0.00351631477535
DMN0018_I	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0
DMN0018_X	-0.0	-0.0	nan	-0.0	-0.0	-0.0	-0.0
DMN0020_I	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DMN0020_X	0.0	0.0	nan	0.0	0.0	0.0	0.0
DMN0021_I	0.0	0.0	-0.0	0.0	0.0	0.0	0.0
DMN0021_X	0.00999999999999	0.0	nan	0.00999999999999	0.0	0.00999999999999	0.0
DMN0022_I	0.0	0.0	-0.0	0.0	0.0	0.0	0.0
DMN0022_X	0.00396771058218	0.0	nan	0.0	0.0	0.0	0.0
DMN0023_I	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DMN0023_X	0.0	0.0	nan	0.0	0.0	0.0	0.0
DMN0024_I	0.0	0.0	0.00614566271589	0.0	0.0	0.0	0.0
DMN0024_X	0.0	0.00614566271589	nan	0.00614566271589	0.00614566271589	0.00614566271589	0.0
DMN0025_I	0.0	0.0	0.01	0.0	0.0	0.0	0.0
DMN0025_X	0.01	0.0	nan	0.0	0.0	0.0	0.0
DMN0026_I	0.0	0.0	0.000920503667089	0.0	0.0	0.0	0.0
DMN0026_X	0.0	0.0	nan	0.000920503667089	5.68434188608e-13	0.0	0.0
DMN0027_I	0.0	0.0	-0.0	0.0	0.0	0.0	0.0
DMN0027_X	0.0	0.0	nan	0.0	0.0	0.0	0.0
DMN0030_I	0.0	0.0	-0.0	0.0	0.0	0.0	0.0
DMN0030_X	-0.0	-0.0	nan	-0.0	-0.0	-0.0	-0.0
DMN0031_I	0.0	0.0	0.178746637797	0.0	0.0	0.0	0.0551843983273
DMN0031_X	-0.0	-0.0	nan	-0.0	-0.0	-0.0	-0.0
DMN0032_I	0.0	0.0	-0.0	0.0	0.0	3.46944695195e-18	0.0
DMN0032_X	-0.0	-0.0	nan	-0.0	-0.0	-0.0	-0.0
DMN0033_I	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DMN0033_X	0.01	0.0	nan	0.0	0.0	0.0	0.0
DMN0034_I	0.0	0.0	0.00963135025	0.0	0.0	0.0	0.0
DMN0034_X	0.0	0.0	nan	0.01	0.0	0.0	0.01
DMN0035_I	0.0	0.005	0.00036864975	0.0	0.0	0.0	0.0
DMN0035_X	0.0	0.0	nan	0.0	0.0	0.0	0.0
DMN0038_I	0.0	0.0	-0.0	0.0	0.0	0.0	0.0
DMN0038_X	0.0	0.0	nan	0.0	0.0	0.0	0.0
DMN0039_I	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DMN0039_X	0.0	0.01	nan	0.0	0.0	0.0	0.0
DMN0040_I	0.0	0.0	-0.0	0.0	0.0	0.0	0.0
DMN0040_X	0.01	0.0	nan	0.0	0.0	0.0	0.0
DMN0041_I	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DMN0041_X	0.0	0.0	nan	0.0	0.0	0.0	0.0
DMN0042_I	0.00499500118459	0.0	0.000427230149716	0.0	0.0	0.0	0.0
DMN0042_X	0.0	0.0	nan	0.0	0.0	0.0	0.0
DMN0043_I	0.0	0.0	-0.0	0.0	0.0	0.0	0.0
DMN0043_X	0.0	0.0	nan	0.0	0.0	0.0	0.0
DMN0044_I	8.12228642538e-08	7.56191797513e-08	0.0023138564819	0.0	7.80909741524e-08	0.0	0.0
DMN0044_X	0.00231404705129	1.11250076866e-07	nan	0.00231424299244	0.00231400582169	8.89289202957e-07	0.00231424288552
DMN0046_I	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0
DMN0046_X	-0.0	-0.0	nan	-0.0	-0.0	-0.0	-0.0
DMN0047_I	0.0	0.0	0.00440136577181	0.0	0.0	0.0	0.0
DMN0047_X	0.00440136577168	0.0	nan	0.0	0.00440136577174	0.00440136577168	0.00440136577168
DMN0048_I	0.0	0.0	-0.0	0.0	0.0	0.0	0.0
DMN0048_X	0.0	0.0	nan	0.0	0.0	0.0	0.0
DMN0054_I	0.0	0.0	-0.0	0.0	0.0	0.0	0.0
DMN0054_X	0.0	0.0	nan	0.0	0.0	0.0	0.0
DMN0055_I	0.0	0.0	-0.0	0.0	0.0	0.0	0.0
DMN0055_X	0.0	0.0	nan	0.0	0.0	0.0	0.0
DMN0057_I	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DMN0057_X	0.0	0.0	nan	0.0	0.0	0.0	0.0
DMN0058_I	0.0	0.0	0.00813644303389	0.0	0.0	0.0	0.0
DMN0058_X	0.0	0.00813644303389	nan	0.00813644303389	0.00813644303389	0.00813644303389	0.0
DMN0059_I	0.0	0.0	-0.0	0.0	0.0	0.0	0.0
DMN0059_X	0.0	0.0	nan	0.0	0.0	0.0	0.0
DMN0060_I	0.0	0.0	-0.0	0.0	0.0	0.0	0.0
DMN0060_X	0.0	0.0	nan	0.0	0.0	0.0	0.0
DMN0061_I	0.0	0.0	-0.0	0.0	0.0	0.0	0.0
DMN0061_X	0.0	0.0	nan	0.0	0.0	0.0	0.0
DMN0062_I	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DMN0062_X	0.0	0.00999999999999	nan	0.00999999999999	0.0	0.00999999999999	0.0
DMN0063_I	0.0	0.0	0.01	0.0	0.0	0.0	0.0
DMN0063_X	0.0	0.0	nan	0.0	0.0	0.0	0.0
DMN0064_I	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DMN0064_X	0.0	0.0	nan	0.01	0.0	0.0	0.0
DMN0065_I	0.0	0.0	0.01	0.0	0.0	0.0	0.0
DMN0065_X	0.0	0.0	nan	0.0	0.0	0.0	0.0
DMN0066_I	0.0	0.0	0.00954124992995	0.0	0.0	0.0	0.0
