	rxn	Gonad	Glia	Intestine	Pharynx	Hypodermis	Body_wall_muscle	Neurons	primary	secondary
TCM5027f	cys-L[c] --> cys-L[m]	0.00135316327672	0.000935212189573	0.496047092383	0.00133868357232	0.80004227366	0.00190384314543	0.00105583398007	hyp	int
RM02050f	[m] : 3aib-D + pyr <==> 2mop + ala-L	-0.0	-0.0	0.133853820003	-0.0	-0.0	0.971120215164	0.0921780963266	mus	NA
RCC0108f	[c] : crn + vacccoa --> coa + vacccrn	0.235271895211	-0.0	0.609542407331	0.0748140223746	0.424444076491	0.565039319897	0.0656689893391	int	mus
RC09035r	Rtotal2coa + acg3ps <==> coa + ps	nan	nan	0.545809762537	nan	nan	nan	nan	NA	NA
TCM1096f	acrn[c] + crn[m] --> acrn[m] + crn[c]	-0.0	0.255428328762	0.885018476134	0.277458021031	0.278969329526	0.325712993933	0.23030632552	int	NA
RM04138f	[m] : 3mb2coa + atp + hco3 --> 3mgcoa + adp + h + pi	0.233466509995	0.0148156838221	0.527189649023	0.291435363617	0.211098706255	0.598601944579	0.164163561731	mus	int
RC00274r	[c] : (2) gthrd + h2o2 <==> gthox + (2) h2o	0.0853132577876	0.475952346976	0.189002106316	0.673169554083	0.195932876126	0.0399510740364	0.0754307760287	pha	gli
RM02050r	[m] : 3aib-D + pyr <==> 2mop + ala-L	0.0941787170829	-0.0	0.244141517827	0.158770121502	0.111910222575	0.697404273222	-0.0	mus	int
RC01168f	[c] : his-L --> nh4 + urcan	-0.0	0.179028623935	-0.0	-0.0	1.0	-0.0	-0.0	hyp	gli
RC09035f	Rtotal2coa + acg3ps <==> coa + ps	0.595151486277	0.518415627246	nan	0.496093964155	0.588900481159	0.625806118285	0.43499422474	NA	NA
RM04125r	[m] : alpro + thf <==> dhlpro + mlthf + nh4	0.0348791779279	-0.0	0.827132576412	-0.0	0.186842415756	-0.0	-0.0	int	hyp
RC02519f	[c] : hgentis + o2 --> 4mlacac + h	-0.0	0.41459252605	1.0	-0.0	0.58099759208	-0.0	0.436064623066	int	hyp
RM04125f	[m] : alpro + thf <==> dhlpro + mlthf + nh4	0.0363896804085	-0.0	0.848768121863	-0.0	0.193782113066	-0.0	-0.0	int	hyp
RC01384f	[g] : h + udpglcur --> co2 + udpxyl	0.815873646553	1.0	0.27470614748	0.599372445571	0.712385246705	0.322507386671	0.29627403129	gli	gon
RCC0131f	[c] : g3p --> mthgxl + pi	0.593517526881	0.722292680214	0.77178202767	0.762756991986	0.659713699056	0.951431642228	0.950704900522	NA	NA
BIO0107f	[c]: (0.201448) collg + (0.016249) DNA + (0.203528) glycogen + (0.058347) Glycans + (0.187835) RNA + (0.129169) PhosphoL + (0.029215) tre + (0.0001) biomass_minor + (1.146612) prot_mito + (0.116853) tag + (4.007619) prot_other --> Biomass	0.448377292844	-0.0	-0.0	-0.0	0.340072179399	-0.0	-0.0	gon	hyp
TCM1089f	thr-L[c] <==> thr-L[m]	0.00625065954459	0.55220616726	1.0	0.00643031873941	0.752467431458	0.00837982030483	0.00501139804106	int	hyp
RM00127r	[m] : atp + amp <==> (2) adp	nan	nan	nan	nan	nan	nan	nan	NA	NA
