	rxn	Gonad	Glia	Intestine	Pharynx	Hypodermis	Body_wall_muscle	Neurons	primary	secondary
TCM5027f	cys-L[c] --> cys-L[m]	0.00135275653604	0.000935754503788	0.49600839225	0.00134106618305	0.80508338422	0.00190387945162	0.00105637262008	hyp	int
RM02050f	[m] : 3aib-D + pyr <==> 2mop + ala-L	-0.0	-0.0	0.13374091131	-0.0	-0.0	0.971120215164	0.0921780963266	mus	na
RCC0108f	[c] : crn + vacccoa --> coa + vacccrn	0.23497494683	-0.0	0.608833618506	0.0751518769738	0.423908364475	0.564326155618	0.0657147687769	int	mus
RC09035r	Rtotal2coa + acg3ps <==> coa + ps	nan	nan	0.530871015844	nan	nan	nan	nan	na	na
TCM1096f	acrn[c] + crn[m] --> acrn[m] + crn[c]	-0.0	0.254048780351	0.879786460433	0.275926785078	0.277429752959	0.323915448326	0.229650361187	int	na
RM04138f	[m] : 3mb2coa + atp + hco3 --> 3mgcoa + adp + h + pi	0.233464374059	0.0148293864313	0.527338000031	0.291432697336	0.211096774957	0.598596468096	0.164162059832	mus	int
RC00274r	[c] : (2) gthrd + h2o2 <==> gthox + (2) h2o	0.0853132577876	0.475952346976	0.189002106316	0.673169554083	0.195932876126	0.0399510740364	0.0754307760287	pha	gli
RM02050r	[m] : 3aib-D + pyr <==> 2mop + ala-L	0.0941787170829	-0.0	0.238713474215	0.158770121502	0.111910222575	0.697404273222	-0.0	mus	int
RC01168f	[c] : his-L --> nh4 + urcan	-0.0	0.179028623935	-0.0	-0.0	1.0	-0.0	-0.0	hyp	gli
RC09035f	Rtotal2coa + acg3ps <==> coa + ps	0.378102841629	0.783040199803	nan	0.621227946892	0.806441376677	0.750436639515	0.537509430163	na	na
RCC0214f	[c] : fa28p0coa + o2 + (2) h2o --> 3hfa28p0 + h2o2 + coa + h	-0.0	-0.0	0.537791837976	-0.0	0.228772657558	-0.0	-0.0	int	hyp
RC02519f	[c] : hgentis + o2 --> 4mlacac + h	-0.0	0.41459252605	0.793688396196	-0.0	0.58099759208	-0.0	0.436064623066	int	hyp
RM04125f	[m] : alpro + thf <==> dhlpro + mlthf + nh4	-0.0	-0.0	0.848768121863	-0.0	0.193782113066	-0.0	-0.0	int	hyp
RC01384f	[g] : h + udpglcur --> co2 + udpxyl	0.815873646553	1.0	0.270765514746	0.599372445571	0.712385246705	0.322507386671	0.29627403129	gli	gon
RCC0131f	[c] : g3p --> mthgxl + pi	0.583170498684	0.709700663314	0.76386495661	0.749459544571	0.648212646539	0.934844954246	0.934130882119	na	na
BIO0107f	[c]: (0.201448) collg + (0.016249) DNA + (0.203528) glycogen + (0.058347) Glycans + (0.187835) RNA + (0.129169) PhosphoL + (0.029215) tre + (0.0001) biomass_minor + (1.146612) prot_mito + (0.116853) tag + (4.007619) prot_other --> Biomass	0.391027571991	-0.0	-0.0	-0.0	0.349468983376	-0.0	-0.0	na	na
TCM1089f	thr-L[c] <==> thr-L[m]	0.00624601823982	0.55220616726	0.541886909804	0.00644681173225	0.752467431458	0.00838001855166	0.005014832639	hyp	na
RM00127r	[m] : atp + amp <==> (2) adp	nan	nan	nan	nan	nan	nan	nan	na	na
