Gene	Neurons	Gonad	Hypodermis	Pharynx	Body_wall_muscle	Glia	Intestine
aap-1	Moderate	High	Moderate	Moderate	Low	Moderate	Moderate
ace-1	Moderate	Rare	Low	Moderate	High	Low	Low
ace-2	High	Low	High	High	High	High	High
ace-4	High	Low	Low	Moderate	Low	Rare	Low
aco-1	Moderate	Low	High	High	Moderate	High	High
aco-2	High	High	High	High	High	High	High
acy-1	High	Moderate	Moderate	High	High	High	Low
acy-2	High	Rare	Low	Low	Low	Low	Low
acy-4	High	Rare	Low	Moderate	Rare	Moderate	High
ads-1	Low	Low	Low	Low	Low	Moderate	High
age-1	High	High	High	High	High	High	High
alh-1	Moderate	High	High	Moderate	High	Moderate	High
alh-2	Low	Rare	Rare	Rare	Rare	Low	Low
alh-3	Moderate	High	High	Moderate	Low	Moderate	High
alh-4	High	High	High	High	Moderate	High	High
alh-5	Low	Rare	Low	Rare	Rare	Rare	High
alh-6	High	High	Moderate	High	High	High	High
alh-7	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Moderate
alh-8	High	High	High	High	High	High	High
alh-9	Low	High	High	Low	Low	Low	Moderate
alh-11	High	High	High	High	Moderate	High	High
alh-12	Low	Rare	Low	Rare	High	Low	High
ama-1	High	High	High	High	High	High	High
amx-2	Moderate	Low	High	High	Low	Low	Moderate
ard-1	Moderate	High	Moderate	Moderate	High	Moderate	High
aars-1	High	High	High	High	High	High	High
aars-2	High	High	High	High	High	High	High
art-1	High	High	High	High	High	High	High
asb-1	High	High	Moderate	Moderate	Moderate	Moderate	Low
asb-2	High	High	High	High	High	High	High
asg-1	Moderate	High	Moderate	Moderate	High	Moderate	Moderate
asg-2	High	Moderate	High	High	High	High	High
asm-1	Rare	Low	Low	Low	High	Moderate	Low
asm-2	Low	Rare	Rare	Rare	Rare	Rare	High
asm-3	Low	Rare	Rare	Rare	Rare	Rare	Low
asp-1	Moderate	Low	Moderate	Low	Low	Rare	High
asp-2	Low	Low	Low	Low	Low	Low	High
asp-3	Low	Low	Low	Moderate	Low	Low	High
asp-5	Low	Low	Low	Low	Low	Low	High
atp-2	High	High	High	High	High	High	High
atp-3	High	High	High	High	High	High	High
bas-1	Moderate	Rare	Low	Rare	Low	High	Low
