Gene	B-cells	NK-cells	T-cells	adipose tissue	adrenal gland	amygdala	appendix	basal ganglia	bone marrow	breast	cerebellum	cerebral cortex	cervix, uterine	colon	corpus callosum	dendritic cells	ductus deferens	duodenum	endometrium	epididymis	esophagus	fallopian tube	gallbladder	granulocytes	heart muscle	hippocampal formation	hypothalamus	kidney	liver	lung	lymph node	midbrain	monocytes	olfactory region	ovary	pancreas	parathyroid gland	pituitary gland	placenta	pons and medulla	prostate	rectum	retina	salivary gland	seminal vesicle	skeletal muscle	skin	small intestine	smooth muscle	spinal cord	spleen	stomach	substantia nigra	testis	thalamus	thymus	thyroid gland	tongue	tonsil	total PBMC	urinary bladder	vagina
HGNC:4008	Moderate	Moderate	Moderate	High	High	Moderate	Moderate	High	Moderate	High	Moderate	Moderate	High	High	High	High	High	High	High	High	Moderate	High	High	Moderate	High	Moderate	Moderate	High	High	High	High	High	High	Moderate	High	High	High	Moderate	High	High	Moderate	High	High	High	High	Moderate	Moderate	High	Moderate	High	High	High	High	Moderate	High	Moderate	High	Moderate	Moderate	High	High	High
HGNC:4311	Low	Moderate	Moderate	High	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	High	Moderate	High	High	Moderate	Moderate	High	Moderate	Moderate	High	High	High	Moderate	Moderate	Moderate	Moderate	High	High	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	High	High	High	Moderate	High	Moderate	Moderate	High	Moderate	Low	High	Moderate
HGNC:1884	Rare	Rare	Rare	Low	Rare	Low	Moderate	Low	Rare	Rare	Rare	Rare	Low	High	Rare	Rare	Low	Moderate	Low	Low	Low	Low	High	Rare	Rare	Low	Rare	Low	Low	Moderate	Rare	Low	Rare	Rare	Rare	High	Rare	Rare	Rare	Rare	Low	Moderate	Rare	High	Rare	Rare	Low	High	Rare	Low	Rare	Low	Low	Low	Rare	Rare	Rare	Rare	Rare	Rare	Low	Rare
HGNC:2649	Moderate	Moderate	Moderate	Moderate	High	High	Moderate	High	Moderate	High	Moderate	High	Moderate	High	High	Moderate	Moderate	High	Moderate	High	High	Moderate	Moderate	Moderate	Moderate	High	High	High	High	High	Moderate	High	Moderate	Moderate	High	High	High	Moderate	Moderate	High	High	High	High	Moderate	Moderate	Moderate	Moderate	High	Moderate	High	Moderate	High	High	High	High	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate
HGNC:18449	Moderate	Moderate	Moderate	High	High	High	High	High	High	High	Moderate	High	Moderate	High	High	High	Moderate	High	High	High	High	High	High	Moderate	High	High	High	High	High	High	High	High	High	High	Moderate	High	High	Moderate	High	High	High	High	High	High	Moderate	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High
HGNC:5194	High	Rare	Rare	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Low	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Rare	Moderate	Low	Low	Moderate	Low	Moderate	Moderate	Moderate	Rare	Low	High	Low	Low	Moderate	Low	Moderate	Moderate	Low	Low	Moderate	Moderate	Low	Low	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Rare	Moderate	Low	Moderate	Moderate	Low	Moderate	Moderate
HGNC:80	Rare	Rare	Rare	Rare	Rare	Rare	Moderate	Rare	Rare	Rare	Rare	Rare	Low	High	Rare	Low	Low	High	Rare	Moderate	Low	Rare	Moderate	High	Rare	Rare	Rare	High	Low	Rare	Low	Rare	Rare	Rare	Rare	Low	Rare	Rare	High	Rare	Low	High	Rare	Low	Rare	Rare	Low	High	Rare	Rare	Low	Low	Rare	Low	Rare	Low	Rare	Rare	Low	Rare	Low	Low
HGNC:20581	Rare	Rare	Rare	High	Moderate	Moderate	Moderate	Moderate	Rare	Moderate	High	High	Moderate	Moderate	Low	Rare	Low	Moderate	Low	Low	Moderate	Moderate	Low	Rare	Moderate	Moderate	Low	Moderate	Low	Moderate	Moderate	Moderate	Rare	Moderate	Moderate	Rare	Low	Moderate	Moderate	High	Low	Low	Low	Moderate	Moderate	Moderate	High	Moderate	Low	Low	Moderate	Low	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Rare	Low	Moderate
HGNC:11060	Rare	Rare	Rare	Moderate	Moderate	Moderate	Low	Moderate	Rare	High	Moderate	Moderate	Moderate	Moderate	Moderate	Rare	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Low	Moderate	High	Moderate	Moderate	Moderate	Rare	Moderate	High	High	High	Moderate	High	Moderate	Moderate	Low	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Rare	Moderate	Moderate	Low	Rare	Moderate	Moderate
HGNC:362	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	Moderate	High	High	High	High	High	High	Moderate	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High
HGNC:1667	Moderate	High	Low	Moderate	Low	Moderate	High	Moderate	Moderate	Low	Low	Moderate	Low	Low	Moderate	Moderate	Moderate	Moderate	Low	Low	Low	Low	Low	Low	Moderate	Moderate	Moderate	Low	Moderate	Moderate	High	Moderate	Low	Low	Low	Low	Rare	Low	Low	Low	Moderate	Low	Moderate	Low	High	Moderate	Low	Moderate	Low	Low	High	Low	Moderate	Low	Low	High	Low	Low	Moderate	Moderate	Moderate	Low
