	TAG	ID	KEGGID	EC	BIGG	KEGG	GENES	PATHWAY	LB	UB	BIO0010_X	BIO0010_I	RCC0005_X	RCC0005_I
0	b	BIO0001_I	BIO0001	NA	[m]: (2.0) gtp_I + (0.324) atp_I + (2.324) h2o_I + (0.111867) alatrna_I + (0.048846) argtrna_I + (0.035405) asntrna_I + (0.064946) asptrna_I + (0.008665) cystrna_I + (0.067386) glutrna_I + (0.037694) glntrna_I + (0.094618) glytrna_I + (0.01782) histrna_I + (0.053231) iletrna_I + (0.082051) leutrna_I + (0.071622) lystrna_I + (0.020458) mettrna_I + (0.035592) phetrna_I + (0.043238) protrna_I + (0.045815) sertrna_I + (0.049868) thrtrna_I + (0.008944) trptrna_I + (0.026832) tyrtrna_I + (0.075105) valtrna_I --> prot_mito_I + (2.0) gdp_I + (0.324) adp_I + (3.324) h_I + (2.324) pi_I + (0.111867) trnaala_I + (0.048846) trnaarg_I + (0.035405) trnaasn_I + (0.064946) trnaasp_I + (0.008665) trnacys_I + (0.067386) trnaglu_I + (0.037694) trnagln_I + (0.094618) trnagly_I + (0.01782) trnahis_I + (0.053231) trnaile_I + (0.082051) trnaleu_I + (0.071622) trnalys_I + (0.020458) trnamet_I + (0.035592) trnaphe_I + (0.043238) trnapro_I + (0.045815) trnaser_I + (0.049868) trnathr_I + (0.008944) trnatrp_I + (0.026832) trnatyr_I + (0.075105) trnaval_I	(2.0) M00044_I + (0.324) M00002_I + (2.324) M00001_I + (0.111867) M00886_I + (0.048846) M02163_I + (0.035405) M03402_I + (0.064946) M02984_I + (0.008665) M03125_I + (0.067386) M02987_I + (0.037694) M02282_I + (0.094618) M02412_I + (0.01782) M02988_I + (0.053231) M03127_I + (0.082051) M02047_I + (0.071622) M01931_I + (0.020458) M02430_I + (0.035592) M03511_I + (0.043238) M02702_I + (0.045815) M02553_I + (0.049868) M02992_I + (0.008944) M03512_I + (0.026832) M02839_I + (0.075105) M02554_I --> MC0117_I + (2.0) M00035_I + (0.324) M00008_I + (3.324) M00080_I + (2.324) M00009_I + (0.111867) M01635_I + (0.048846) M01636_I + (0.035405) M01637_I + (0.064946) M01638_I + (0.008665) M01639_I + (0.067386) M01641_I + (0.037694) M01640_I + (0.094618) M01642_I + (0.01782) M01643_I + (0.053231) M01644_I + (0.082051) M01645_I + (0.071622) M01646_I + (0.020458) M01647_I + (0.035592) M01648_I + (0.043238) M01649_I + (0.045815) M01650_I + (0.049868) M01651_I + (0.008944) M01652_I + (0.026832) M00787_I + (0.075105) M01653_I	NA	Biomass assembly	-0.0	1000.0	0.0	0.992646678891	0.0	0.0
1	b	BIO0001_X	BIO0001	NA	[m]: (2.0) gtp_X + (0.324) atp_X + (2.324) h2o_X + (0.111867) alatrna_X + (0.048846) argtrna_X + (0.035405) asntrna_X + (0.064946) asptrna_X + (0.008665) cystrna_X + (0.067386) glutrna_X + (0.037694) glntrna_X + (0.094618) glytrna_X + (0.01782) histrna_X + (0.053231) iletrna_X + (0.082051) leutrna_X + (0.071622) lystrna_X + (0.020458) mettrna_X + (0.035592) phetrna_X + (0.043238) protrna_X + (0.045815) sertrna_X + (0.049868) thrtrna_X + (0.008944) trptrna_X + (0.026832) tyrtrna_X + (0.075105) valtrna_X --> prot_mito_X + (2.0) gdp_X + (0.324) adp_X + (3.324) h_X + (2.324) pi_X + (0.111867) trnaala_X + (0.048846) trnaarg_X + (0.035405) trnaasn_X + (0.064946) trnaasp_X + (0.008665) trnacys_X + (0.067386) trnaglu_X + (0.037694) trnagln_X + (0.094618) trnagly_X + (0.01782) trnahis_X + (0.053231) trnaile_X + (0.082051) trnaleu_X + (0.071622) trnalys_X + (0.020458) trnamet_X + (0.035592) trnaphe_X + (0.043238) trnapro_X + (0.045815) trnaser_X + (0.049868) trnathr_X + (0.008944) trnatrp_X + (0.026832) trnatyr_X + (0.075105) trnaval_X	(2.0) M00044_X + (0.324) M00002_X + (2.324) M00001_X + (0.111867) M00886_X + (0.048846) M02163_X + (0.035405) M03402_X + (0.064946) M02984_X + (0.008665) M03125_X + (0.067386) M02987_X + (0.037694) M02282_X + (0.094618) M02412_X + (0.01782) M02988_X + (0.053231) M03127_X + (0.082051) M02047_X + (0.071622) M01931_X + (0.020458) M02430_X + (0.035592) M03511_X + (0.043238) M02702_X + (0.045815) M02553_X + (0.049868) M02992_X + (0.008944) M03512_X + (0.026832) M02839_X + (0.075105) M02554_X --> MC0117_X + (2.0) M00035_X + (0.324) M00008_X + (3.324) M00080_X + (2.324) M00009_X + (0.111867) M01635_X + (0.048846) M01636_X + (0.035405) M01637_X + (0.064946) M01638_X + (0.008665) M01639_X + (0.067386) M01641_X + (0.037694) M01640_X + (0.094618) M01642_X + (0.01782) M01643_X + (0.053231) M01644_X + (0.082051) M01645_X + (0.071622) M01646_X + (0.020458) M01647_X + (0.035592) M01648_X + (0.043238) M01649_X + (0.045815) M01650_X + (0.049868) M01651_X + (0.008944) M01652_X + (0.026832) M00787_X + (0.075105) M01653_X	NA	Biomass assembly	-0.0	1000.0	0.992380426491	0.0	0.0	0.0
2	b	BIO0002_I	BIO0002	NA	[c]: (2.0) gtp_I + (0.324) atp_I + (2.324) h2o_I + (0.12769) alatrna_I + (0.042387) argtrna_I + (0.025739) asntrna_I + (0.084822) asptrna_I + (0.000208) cystrna_I + (0.085568) glutrna_I + (0.026184) glntrna_I + (0.074691) glytrna_I + (0.017927) histrna_I + (0.052143) iletrna_I + (0.079867) leutrna_I + (0.079083) lystrna_I + (0.012181) mettrna_I + (0.036544) phetrna_I + (0.045145) protrna_I + (0.051284) sertrna_I + (0.052305) thrtrna_I + (0.007259) trptrna_I + (0.027882) tyrtrna_I + (0.071091) valtrna_I --> prot_other_I + (2.0) gdp_I + (0.324) adp_I + (3.324) h_I + (2.324) pi_I + (0.12769) trnaala_I + (0.042387) trnaarg_I + (0.025739) trnaasn_I + (0.084822) trnaasp_I + (0.000208) trnacys_I + (0.085568) trnaglu_I + (0.026184) trnagln_I + (0.074691) trnagly_I + (0.017927) trnahis_I + (0.052143) trnaile_I + (0.079867) trnaleu_I + (0.079083) trnalys_I + (0.012181) trnamet_I + (0.036544) trnaphe_I + (0.045145) trnapro_I + (0.051284) trnaser_I + (0.052305) trnathr_I + (0.007259) trnatrp_I + (0.027882) trnatyr_I + (0.071091) trnaval_I	(2.0) C00044_I + (0.324) C00002_I + (2.324) C00001_I + (0.12769) C00886_I + (0.042387) C02163_I + (0.025739) C03402_I + (0.084822) C02984_I + (0.000208) C03125_I + (0.085568) C02987_I + (0.026184) C02282_I + (0.074691) C02412_I + (0.017927) C02988_I + (0.052143) C03127_I + (0.079867) C02047_I + (0.079083) C01931_I + (0.012181) C02430_I + (0.036544) C03511_I + (0.045145) C02702_I + (0.051284) C02553_I + (0.052305) C02992_I + (0.007259) C03512_I + (0.027882) C02839_I + (0.071091) C02554_I --> CC0118_I + (2.0) C00035_I + (0.324) C00008_I + (3.324) C00080_I + (2.324) C00009_I + (0.12769) C01635_I + (0.042387) C01636_I + (0.025739) C01637_I + (0.084822) C01638_I + (0.000208) C01639_I + (0.085568) C01641_I + (0.026184) C01640_I + (0.074691) C01642_I + (0.017927) C01643_I + (0.052143) C01644_I + (0.079867) C01645_I + (0.079083) C01646_I + (0.012181) C01647_I + (0.036544) C01648_I + (0.045145) C01649_I + (0.051284) C01650_I + (0.052305) C01651_I + (0.007259) C01652_I + (0.027882) C00787_I + (0.071091) C01653_I	NA	Biomass assembly	-0.0	1000.0	-0.0	3.46948212303	-0.0	-0.0
3	b	BIO0002_X	BIO0002	NA	[c]: (2.0) gtp_X + (0.324) atp_X + (2.324) h2o_X + (0.12769) alatrna_X + (0.042387) argtrna_X + (0.025739) asntrna_X + (0.084822) asptrna_X + (0.000208) cystrna_X + (0.085568) glutrna_X + (0.026184) glntrna_X + (0.074691) glytrna_X + (0.017927) histrna_X + (0.052143) iletrna_X + (0.079867) leutrna_X + (0.079083) lystrna_X + (0.012181) mettrna_X + (0.036544) phetrna_X + (0.045145) protrna_X + (0.051284) sertrna_X + (0.052305) thrtrna_X + (0.007259) trptrna_X + (0.027882) tyrtrna_X + (0.071091) valtrna_X --> prot_other_X + (2.0) gdp_X + (0.324) adp_X + (3.324) h_X + (2.324) pi_X + (0.12769) trnaala_X + (0.042387) trnaarg_X + (0.025739) trnaasn_X + (0.084822) trnaasp_X + (0.000208) trnacys_X + (0.085568) trnaglu_X + (0.026184) trnagln_X + (0.074691) trnagly_X + (0.017927) trnahis_X + (0.052143) trnaile_X + (0.079867) trnaleu_X + (0.079083) trnalys_X + (0.012181) trnamet_X + (0.036544) trnaphe_X + (0.045145) trnapro_X + (0.051284) trnaser_X + (0.052305) trnathr_X + (0.007259) trnatrp_X + (0.027882) trnatyr_X + (0.071091) trnaval_X	(2.0) C00044_X + (0.324) C00002_X + (2.324) C00001_X + (0.12769) C00886_X + (0.042387) C02163_X + (0.025739) C03402_X + (0.084822) C02984_X + (0.000208) C03125_X + (0.085568) C02987_X + (0.026184) C02282_X + (0.074691) C02412_X + (0.017927) C02988_X + (0.052143) C03127_X + (0.079867) C02047_X + (0.079083) C01931_X + (0.012181) C02430_X + (0.036544) C03511_X + (0.045145) C02702_X + (0.051284) C02553_X + (0.052305) C02992_X + (0.007259) C03512_X + (0.027882) C02839_X + (0.071091) C02554_X --> CC0118_X + (2.0) C00035_X + (0.324) C00008_X + (3.324) C00080_X + (2.324) C00009_X + (0.12769) C01635_X + (0.042387) C01636_X + (0.025739) C01637_X + (0.084822) C01638_X + (0.000208) C01639_X + (0.085568) C01641_X + (0.026184) C01640_X + (0.074691) C01642_X + (0.017927) C01643_X + (0.052143) C01644_X + (0.079867) C01645_X + (0.079083) C01646_X + (0.012181) C01647_X + (0.036544) C01648_X + (0.045145) C01649_X + (0.051284) C01650_X + (0.052305) C01651_X + (0.007259) C01652_X + (0.027882) C00787_X + (0.071091) C01653_X	NA	Biomass assembly	-0.0	1000.0	3.46855152208	-0.0	-0.0	-0.0
4	b	BIO0003_I	R00444;R00435	2.7.7.19;2.7.7.6	[c]: (0.639534) atp_I + (0.228426) ctp_I + (0.233503) gtp_I + (0.304569) utp_I + (0.406032) h2o_I --> RNA_I + ppi_I + (0.406032) adp_I + (0.406032) pi_I + (0.406032) h_I	(0.639534) C00002_I + (0.228426) C00063_I + (0.233503) C00044_I + (0.304569) C00075_I + (0.406032) C00001_I --> CC0120_I + C00013_I + (0.406032) C00008_I + (0.406032) C00009_I + (0.406032) C00080_I	[(F43G6.5_I | T15H9.6_I | pap-1_I) & gld-2_I & gld-4_I] & (rpoa-1_I & rpoa-2_I & ama-1_I & rpb-2_I & rpc-1_I & rpc-2_I & rpom-1_I & rpb-3_I & rpb-4_I & rpb-5_I & rpb-6_I & rpb-7_I & rpb-8_I & rpb-9_I & rpb-10_I & rpb-11_I & rpc-11_I & rpoa-12_I & rpb-12_I & rpac-19_I & rpac-40_I & rpc-25_I & let-611_I & Y47G6A.9_I & W09C3.4_I & F26E4.4_I & W06E11.1_I)	Biomass assembly	-0.0	1000.0	-0.0	0.162612612612	-0.0	-0.0
5	b	BIO0003_X	R00444;R00435	2.7.7.19;2.7.7.6	[c]: (0.639534) atp_X + (0.228426) ctp_X + (0.233503) gtp_X + (0.304569) utp_X + (0.406032) h2o_X --> RNA_X + ppi_X + (0.406032) adp_X + (0.406032) pi_X + (0.406032) h_X	(0.639534) C00002_X + (0.228426) C00063_X + (0.233503) C00044_X + (0.304569) C00075_X + (0.406032) C00001_X --> CC0120_X + C00013_X + (0.406032) C00008_X + (0.406032) C00009_X + (0.406032) C00080_X	[(F43G6.5_X | T15H9.6_X | pap-1_X) & gld-2_X & gld-4_X] & (rpoa-1_X & rpoa-2_X & ama-1_X & rpb-2_X & rpc-1_X & rpc-2_X & rpom-1_X & rpb-3_X & rpb-4_X & rpb-5_X & rpb-6_X & rpb-7_X & rpb-8_X & rpb-9_X & rpb-10_X & rpb-11_X & rpc-11_X & rpoa-12_X & rpb-12_X & rpac-19_X & rpac-40_X & rpc-25_X & let-611_X & Y47G6A.9_X & W09C3.4_X & F26E4.4_X & W06E11.1_X)	Biomass assembly	-0.0	1000.0	0.162568995885	-0.0	-0.0	-0.0
6	b	BIO0004_I	R00379	2.7.7.7	[c]: (0.325) datp_I + (0.175) dctp_I + (0.175) dgtp_I + (0.325) dttp_I + (0.368) atp_I + (0.368) h2o_I --> DNA_I + ppi_I + (0.368) adp_I + (0.368) pi_I + (0.368) h_I	(0.325) C00131_I + (0.175) C00458_I + (0.175) C00286_I + (0.325) C00459_I + (0.368) C00002_I + (0.368) C00001_I --> CC0121_I + C00013_I + (0.368) C00008_I + (0.368) C00009_I + (0.368) C00080_I	Y47D3A.29_I & pole-1_I & pole-2_I & F10C2.4_I & K04C2.2_I & polg-1_I & (polq-1_I | helq-1_I) & Y37B11A.2_I & Y53F4B.3_I & polh-1_I & polk-1_I & T26A5.8_I & div-1_I & F12F6.7_I & (pri-1_I | T24C4.5_I) & pri-2_I & R04F11.3_I	Biomass assembly	-0.0	1000.0	0.0	0.014067613668	0.0	0.0
7	b	BIO0004_X	R00379	2.7.7.7	[c]: (0.325) datp_X + (0.175) dctp_X + (0.175) dgtp_X + (0.325) dttp_X + (0.368) atp_X + (0.368) h2o_X --> DNA_X + ppi_X + (0.368) adp_X + (0.368) pi_X + (0.368) h_X	(0.325) C00131_X + (0.175) C00458_X + (0.175) C00286_X + (0.325) C00459_X + (0.368) C00002_X + (0.368) C00001_X --> CC0121_X + C00013_X + (0.368) C00008_X + (0.368) C00009_X + (0.368) C00080_X	Y47D3A.29_X & pole-1_X & pole-2_X & F10C2.4_X & K04C2.2_X & polg-1_X & (polq-1_X | helq-1_X) & Y37B11A.2_X & Y53F4B.3_X & polh-1_X & polk-1_X & T26A5.8_X & div-1_X & F12F6.7_X & (pri-1_X | T24C4.5_X) & pri-2_X & R04F11.3_X	Biomass assembly	-0.0	1000.0	0.0140638403859	0.0	0.0	0.0
8	b	BIO0005_I	BIO0005	NA	[c]: (0.008687) arachdcoa_I + (0.02991) fa16p1n7coa_I + (0.033888) tmndnccoa_I + (0.070249) odecoa_I + (0.016289) eicostetcoa_I + (0.039136) fa17p0isocoa_I + (0.051607) pmtcoa_I + (0.041849) stcoa_I + (0.026969) dlnlcgcoa_I + (0.170938) vacccoa_I + (0.354879) fa17c9coa_I + (0.033335) tdcoa_I + (0.077813) fa15p0isocoa_I + (0.035378) lnlccoa_I + (0.008964) lgnccoa_I + (0.000111) fa19c11coa_I <==> Rtotal3coa_I	(0.008687) C02249_I + (0.02991) CC0067_I + (0.033888) C16165_I + (0.070249) C00510_I + (0.016289) C16164_I + (0.039136) CC0095_I + (0.051607) C00154_I + (0.041849) C00412_I + (0.026969) C03595_I + (0.170938) CC0068_I + (0.354879) CC0098_I + (0.033335) C02593_I + (0.077813) CC0094_I + (0.035378) C02050_I + (0.008964) CC0116_I + (0.000111) CC0099_I <==> CC0003_I	NA	Biomass assembly	-1000.0	1000.0	0.0	-0.0338739733137	0.0	0.0
9	b	BIO0005_X	BIO0005	NA	[c]: (0.008687) arachdcoa_X + (0.02991) fa16p1n7coa_X + (0.033888) tmndnccoa_X + (0.070249) odecoa_X + (0.016289) eicostetcoa_X + (0.039136) fa17p0isocoa_X + (0.051607) pmtcoa_X + (0.041849) stcoa_X + (0.026969) dlnlcgcoa_X + (0.170938) vacccoa_X + (0.354879) fa17c9coa_X + (0.033335) tdcoa_X + (0.077813) fa15p0isocoa_X + (0.035378) lnlccoa_X + (0.008964) lgnccoa_X + (0.000111) fa19c11coa_X <==> Rtotal3coa_X	(0.008687) C02249_X + (0.02991) CC0067_X + (0.033888) C16165_X + (0.070249) C00510_X + (0.016289) C16164_X + (0.039136) CC0095_X + (0.051607) C00154_X + (0.041849) C00412_X + (0.026969) C03595_X + (0.170938) CC0068_X + (0.354879) CC0098_X + (0.033335) C02593_X + (0.077813) CC0094_X + (0.035378) C02050_X + (0.008964) CC0116_X + (0.000111) CC0099_X <==> CC0003_X	NA	Biomass assembly	-1000.0	1000.0	-0.0338739733137	0.0	-0.0338739733137	-0.0338739733137
