	Gonad	Glia	Intestine	Pharynx	Hypodermis	Body_wall_muscle	Neurons
BIO0001_I	0.0	0.0	0.486288104231	0.0	0.0	0.0	0.0
BIO0001_X	0.486184645369	0.486184645411	nan	0.486184645369	0.486184645369	0.486184645411	0.486184645369
BIO0002_I	0.0	0.0	1.93300221995	0.0	0.0	0.0	0.0
BIO0002_X	1.69930476141	1.91364215209	nan	1.91364215192	1.91364219143	1.69930439322	1.93258895421
BIO0003_I	0.0	0.0	0.079662358048	-0.0	-0.0	0.0	0.0
BIO0003_X	0.0796454136928	0.0796454097847	nan	0.0796454097778	0.0796454136928	0.0796454097847	0.0796454097778
BIO0004_I	0.0	0.0	-0.0	0.0	0.0	0.0	0.0
BIO0004_X	0.00686658957057	0.0	nan	-0.0	0.0068665895703	0.0	0.0
BIO0005_I	-0.00742600590023	-0.00902515840901	0.106133182593	0.100964270043	0.00327316887626	0.344353786352	0.0970617632434
BIO0005_X	-0.0225739940997	-0.0367220574936	nan	-0.125733877328	-0.0210873879082	-0.381764944746	-0.125684214632
BIO0006_I	0.0651236222169	0.0575657855196	0.160427064677	0.0674539867443	0.0231315625778	-0.029295249247	0.0463694170198
BIO0006_X	0.0593885270053	0.0378059634056	nan	0.0490098199132	0.0933323172022	0.12575905635	0.0490023314599
BIO0007_I	0.01	0.01	0.0506633535933	0.00999999999999	0.00999999999999	0.00999999999993	0.01
BIO0007_X	0.0106610883741	0.0106710805831	nan	0.0206710805332	0.000671088714853	0.0206710805831	0.0106710805332
BIO0008_I	0.0	0.0	0.0547817696647	0.0	0.0	0.0	0.0
BIO0008_X	0.0547701567223	0.0547701149854	nan	0.0547701147295	0.0547701567223	0.0547701149854	0.0547701147295
BIO0009_I	0.0	0.0	0.0247452505707	0.0	0.0	0.0	0.0
BIO0009_X	0.0247401839416	0.0247399858935	nan	0.0247399858913	0.0247401839416	0.0247399858935	0.0247399858913
BIO0010_I	0.0	0.0	0.359064619412	0.0	0.0	0.0	0.0
BIO0010_X	0.360184962064	0.3589622861	nan	0.3589622861	0.360184962064	0.358962286088	0.3589622861
BIO0011_I	-0.00361387506025	0.0180485603015	0.0356410453976	0.00576062343703	-0.00914032762012	-0.0392952492469	0.00718722496796
BIO0011_X	0.0533559223303	0.0216934566836	nan	0.0439813933624	0.0588823748901	0.079037266232	0.0325547918315
