	TAG	ID	KEGGID	EC	BIGG	KEGG	GENES	PATHWAY
RC00959	r	RC00959	R00959	5.4.2.2	[c] : g1p <==> g6p-A	C00103 <==> C00668	R05F9.6 | Y43F4B.5	Glycolysis / Gluconeogenesis
RC02740	r	RC02740	R02740	5.3.1.9	[c] : g6p-A <==> f6p	C00668 <==> C00085	gpi-1	Glycolysis / Gluconeogenesis
RC03321	r	RC03321	R03321	5.3.1.9	[c] : g6p-B <==> f6p	C01172 <==> C00085	gpi-1	Glycolysis / Gluconeogenesis
RC02739	r	RC02739	R02739	5.3.1.9	[c] : g6p-A <==> g6p-B	C00668 <==> C01172	gpi-1	Glycolysis / Gluconeogenesis
RC01600	r	RC01600	R01600	2.7.1.1	[c] : atp + glc-D-B --> adp + g6p-B + h	C00002 + C00221 --> C00008 + C01172 + C00080	hxk-1 | hxk-2 | hxk-3	Glycolysis / Gluconeogenesis
RC01786	r	RC01786	R01786	2.7.1.1	[c] : atp + glc-D-A --> adp + g6p-A + h	C00002 + C00267 --> C00008 + C00668 + C00080	hxk-1 | hxk-2 | hxk-3	Glycolysis / Gluconeogenesis
RC09085	r	RC09085	R09085	2.7.1.147	[c] : glc-D-A + adp --> g6p-A + amp + h	C00267 + C00008 --> C00668 + C00020 + C00080	C50D2.7	Glycolysis / Gluconeogenesis
RC09086	r	RC09086	R09086	2.7.1.147	[c] : glc-D-B + adp --> g6p-B + amp + h	C00221 + C00008 --> C01172 + C00020 + C00080	C50D2.7	Glycolysis / Gluconeogenesis
RC01602	r	RC01602	R01602	5.1.3.3	[c] : glc-D-A <==> glc-D-B	C00267 <==> C00221	C01B4.6 | Y19D10A.16	Glycolysis / Gluconeogenesis
RC01070	r	RC01070	R01070	4.1.2.13	[c] : fdp <==> dhap + g3p	C00354 <==> C00111 + C00118	aldo-2 | aldo-1	Glycolysis / Gluconeogenesis
RC04780	r	RC04780	R04780	3.1.3.11	[c] : fdp + h2o --> f6p + pi	C00354 + C00001 --> C00085 + C00009	fbp-1	Glycolysis / Gluconeogenesis
RC04779	r	RC04779	R04779	2.7.1.11	[c] : atp + f6p --> adp + fdp + h	C00002 + C00085 --> C00008 + C00354 + C00080	pfk-1.2 | pfk-1.1	Glycolysis / Gluconeogenesis
RC01015	r	RC01015	R01015	5.3.1.1	[c] : g3p <==> dhap	C00118 <==> C00111	tpi-1	Glycolysis / Gluconeogenesis
RC01061	r	RC01061	R01061	1.2.1.12	[c] : g3p + pi + nad <==> 13dpg + nadh + h	C00118 + C00009 + C00003 <==> C00236 + C00004 + C00080	gpd-4 | gpd-3 | gpd-2 | gpd-1	Glycolysis / Gluconeogenesis
RC01512	r	RC01512	R01512	2.7.2.3	[c] : atp + 3pg <==> adp + 13dpg	C00002 + C00197 <==> C00008 + C00236	pgk-1	Glycolysis / Gluconeogenesis
RC01518	r	RC01518	R01518	5.4.2.12	[c] : 2pg <==> 3pg	C00631 <==> C00197	ipgm-1	Glycolysis / Gluconeogenesis
RC00658	r	RC00658	R00658	4.2.1.11	[c] : 2pg <==> pep + h2o	C00631 <==> C00074 + C00001	enol-1	Glycolysis / Gluconeogenesis
