	Abbreviation	Name	Formula	Charge	Comments	BiGG	Other names
C05684	selnt	Selenite	O3Se	-2.0	charge based on MetaCyc		
C00492	raffin	Raffinose	C18H32O16	0	BiGG compound	raffin	Melitose, Melitriose, Gossypose, 6G-alpha-D-galactosylsucrose
CC0020	m4mpdol	(alpha-D-Mannosyl)4-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol	C156H256N2O42P2	-2.0	assumed n=18 for the number of isoprene units; designated as G00006 in KEGG nomenclature	m4macchitppdol,m4mpdol_L,m4mpdol_U	
C05172	selnp	Selenophosphate	H2O3PSe	-1	BiGG compound	selnp	Selenophosphoric acid
C00307	cdpchol	CDPcholine	C14H25N4O11P2	-1	BiGG compound	cdpchol	CDP-choline, Cytidine 5'-diphosphocholine, Citicoline
C02512	cyanala	Beta cyanoalanine	C4H5N2O2	-1.0	charge based on MetaCyc		3-Cyano-L-alanine, L-3-Cyanoalanine, L-beta-Cyanoalanine
C00322	2oxoadp	2-Oxoadipate	C6H6O5	-2	BiGG compound	2oxoadp	2-Oxoadipic acid
CC0055	lps_BAC	Lipopolysaccharide (bacteria)	C171H297N4O88P2	-7.0	charge is based on matching BiGG compounds	lps_EC	
C00416	pa_pl	Phosphatidic acid (phospholipids)	C3H5O4PFULLRCO2FULLR2CO2	-2.0	charge based on human version in BiGG	pa_hs,pa_Hp	Phosphatidate, Phosphatidic acid, 1,2-Diacyl-sn-glycerol 3-phosphate, 3-sn-Phosphatidate
C00100	ppcoa	Propanoyl-CoA	C24H36N7O17P3S	-4	BiGG compound	ppcoa	Propionyl-CoA, Propionyl coenzyme A
CC0081	alpa_tag	Lysophosphatidic acid (TAG)	C3H6O5PFULLR4CO2	-2.0	charge based on human version in BiGG	alpa_hs	
C15647	alkenac2gp	2-Acyl-1-(1-alkenyl)-sn-glycero-3-phosphate	C4H5O7PRRC2H2	-2.0	followed CEL nomenclature in creating formula; charge based on similar compounds in MetaCyc		
